Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-06,22.961304,[115  63] ; [99 11],[132.26388889  45.73611111] ; [81.73611111 28.26388889],1
s6,1,7.1e-05,15.787722,[130  47] ; [100   8],[142.84210526  34.15789474] ; [87.15789474 20.84210526],1
p6,1,0.000826,11.181667,[ 51 123] ; [53 55],[ 64.17021277 109.82978723] ; [39.82978723 68.17021277],1
s4,1,0.000954,10.914494,[ 32 145] ; [38 69],[ 43.62676056 133.37323944] ; [26.37323944 80.62676056],1
p9,1,0.002153,9.414406,[135  42] ; [98 10],[144.70526316  32.29473684] ; [88.29473684 19.70526316],0
s7,1,0.00321,8.683844,[88 84] ; [72 32],[99.71014493 72.28985507] ; [60.28985507 43.71014493],0
v1,1,0.003284,8.64237,[ 62 109] ; [58 49],[73.81294964 97.18705036] ; [46.18705036 60.81294964],0
a5,1,0.003603,8.473554,[108  70] ; [85 25],[119.28472222  58.71527778] ; [73.71527778 36.28472222],0
p10,1,0.011025,6.461316,[131  45] ; [94 14],[139.43661972  36.56338028] ; [85.56338028 22.43661972],0
d4,1,0.012685,6.212505,[135  42] ; [97 13],[143.08013937  33.91986063] ; [88.91986063 21.08013937],0
n2,1,0.014717,5.950011,[29 14] ; [25  2],[33.17142857  9.82857143] ; [20.82857143  6.17142857],0
a3,1,0.021465,5.288629,[116  62] ; [85 24],[124.66202091  53.33797909] ; [76.33797909 32.66202091],0
r2,1,0.029595,4.732664,[161  14] ; [106   2],[165.10600707   9.89399293] ; [101.89399293   6.10600707],0
d1,1,0.029786,4.721598,[85 93] ; [67 43],[93.94444444 84.05555556] ; [58.05555556 51.94444444],0
p3,1,0.038754,4.271603,[ 70 106] ; [57 52],[78.42807018 97.57192982] ; [48.57192982 60.42807018],0
p2,1,0.052223,3.7686,[140  37] ; [96 13],[146.05594406  30.94405594] ; [89.94405594 19.05594406],0
a4,1,0.068568,3.316966,[ 66 111] ; [53 57],[ 73.3902439 103.6097561] ; [45.6097561 64.3902439],0
d5,1,0.085139,2.963968,[128  50] ; [89 21],[134.11805556  43.88194444] ; [82.88194444 27.11805556],0
p7,1,0.099991,2.705685,[105  66] ; [74 30],[111.30545455  59.69454545] ; [67.69454545 36.30545455],0
a2,1,0.100529,2.697129,[ 31 147] ; [28 82],[ 36.46527778 141.53472222] ; [22.53472222 87.46527778],0
n1,1,0.183512,1.768948,[18 24] ; [16 11],[20.69565217 21.30434783] ; [13.30434783 13.69565217],0
d2,1,0.19891,1.650363,[80 98] ; [58 52],[85.29166667 92.70833333] ; [52.70833333 57.29166667],0
r1,1,0.220472,1.501295,[135  42] ; [89 19],[139.11578947  37.88421053] ; [84.88421053 23.11578947],0
s8,1,0.225206,1.470889,[84 94] ; [60 50],[89. 89.] ; [55. 55.],0
n6,1,0.290018,1.11954,[137  41] ; [88 19],[140.52631579  37.47368421] ; [84.47368421 22.52631579],0
r4,1,0.304695,1.053533,[151  27] ; [98 12],[153.89583333  24.10416667] ; [95.10416667 14.89583333],0
p12,1,0.309887,1.031157,[  8 168] ; [  8 100],[  9.91549296 166.08450704] ; [  6.08450704 101.91549296],0
b3,1,0.31369,1.015075,[33 72] ; [29 46],[36.16666667 68.83333333] ; [25.83333333 49.16666667],0
b2,1,0.31369,1.015075,[33 72] ; [29 46],[36.16666667 68.83333333] ; [25.83333333 49.16666667],0
b4,1,0.395281,0.722635,[101  77] ; [68 42],[104.45138889  73.54861111] ; [64.54861111 45.45138889],0
p8,1,0.397495,0.715892,[76 99] ; [52 55],[79.43262411 95.56737589] ; [48.56737589 58.43262411],0
d3,1,0.397998,0.714366,[111  67] ; [74 36],[114.34027778  63.65972222] ; [70.65972222 39.34027778],0
v4,1,0.424109,0.638901,[161  14] ; [103   6],[162.67605634  12.32394366] ; [101.32394366   7.67605634],0
p5,1,0.432635,0.615739,[ 13 162] ; [11 98],[ 14.78873239 160.21126761] ; [ 9.21126761 99.78873239],0
u3,1,0.436611,0.605174,[36 25] ; [17  8],[37.59302326 23.40697674] ; [15.40697674  9.59302326],0
u2,1,0.538043,0.379179,[35 26] ; [12 12],[33.72941176 27.27058824] ; [13.27058824 10.72941176],0
p4,1,0.560034,0.339645,[97 80] ; [63 45],[99.36842105 77.63157895] ; [60.63157895 47.36842105],0
a7,1,0.568338,0.325472,[127  51] ; [75 35],[124.84722222  53.15277778] ; [77.15277778 32.84722222],0
a6,1,0.576451,0.312007,[119  59] ; [70 40],[116.8125  61.1875] ; [72.1875 37.8125],0
u4,1,0.584416,0.29915,[  3 175] ; [  1 109],[  2.47222222 175.52777778] ; [  1.52777778 108.47222222],0
b1,1,0.586217,0.296292,[ 77 101] ; [44 66],[ 74.78472222 103.21527778] ; [46.21527778 63.78472222],0
r3,1,0.680235,0.169862,[165  12] ; [102   6],[165.82105263  11.17894737] ; [101.17894737   6.82105263],0
a1,1,0.723308,0.125345,[  8 170] ; [  4 106],[  7.41666667 170.58333333] ; [  4.58333333 105.41666667],0
p1,1,0.731722,0.117536,[ 15 162] ; [  8 101],[ 14.23426573 162.76573427] ; [  8.76573427 100.23426573],0
n3,1,0.769045,0.086215,[30 13] ; [19  7],[30.53623188 12.46376812] ; [18.46376812  7.53623188],0
a8,1,0.779589,0.078318,[ 26 143] ; [17 85],[ 26.81549815 142.18450185] ; [16.18450185 85.81549815],0
n5,1,0.780724,0.077493,[128  49] ; [79 28],[129.01056338  47.98943662] ; [77.98943662 29.01056338],0
u1,1,0.828245,0.047068,[ 29 149] ; [19 91],[ 29.66666667 148.33333333] ; [18.33333333 91.66666667],0
n4,1,0.846883,0.037286,[130  48] ; [80 28],[130.6993007  47.3006993] ; [79.3006993 28.6993007],0
v2,1,0.860311,0.030968,[ 63 105] ; [39 68],[ 62.31272727 105.68727273] ; [39.68727273 67.31272727],0
s1,1,0.880341,0.022661,[  9 166] ; [  6 102],[  9.27561837 165.72438163] ; [  5.72438163 102.27561837],0
b5,1,0.938489,0.005955,[106  72] ; [65 45],[105.6875  72.3125] ; [65.3125 44.6875],0
p11,1,0.941611,0.005365,[132  46] ; [82 28],[132.26388889  45.73611111] ; [81.73611111 28.26388889],0
