Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,38.700486,[149  71] ; [103 159],[115.02074689 104.97925311] ; [136.97925311 125.02074689],1
v3,1,2.6e-05,17.686938,[ 92 129] ; [ 63 202],[ 70.48353909 150.51646091] ; [ 84.51646091 180.48353909],1
n5,1,0.000226,13.604633,[170  55] ; [163 109],[150.75452716  74.24547284] ; [182.24547284  89.75452716],1
p4,1,0.000664,11.588737,[134  90] ; [120 150],[115.17408907 108.82591093] ; [138.82591093 131.17408907],1
p2,1,0.000899,11.025764,[194  30] ; [203  69],[179.29032258  44.70967742] ; [217.70967742  54.29032258],1
p3,1,0.00108,10.684716,[110 113] ; [ 95 178],[ 92.16733871 130.83266129] ; [112.83266129 160.16733871],0
n4,1,0.004385,8.117106,[174  53] ; [178  96],[159.48902196  67.51097804] ; [192.51097804  81.48902196],0
r1,1,0.005342,7.760007,[185  41] ; [195  79],[171.76  54.24] ; [208.24  65.76],0
p10,1,0.007374,7.179495,[177  46] ; [184  84],[163.95723014  59.04276986] ; [197.04276986  70.95723014],0
d1,1,0.018401,5.557563,[128  99] ; [126 149],[114.85657371 112.14342629] ; [139.14342629 135.85657371],0
a2,1,0.020866,5.33798,[ 56 171] ; [ 45 230],[ 45.67131474 181.32868526] ; [ 55.32868526 219.67131474],0
p11,1,0.024668,5.047054,[183  44] ; [198  77],[172.28486056  54.71513944] ; [208.71513944  66.28486056],0
v4,1,0.025201,5.010008,[217   8] ; [250  23],[210.9939759  14.0060241] ; [256.0060241  16.9939759],0
u1,1,0.030446,4.68393,[ 38 189] ; [ 28 247],[ 29.84462151 197.15537849] ; [ 36.15537849 238.84462151],0
s6,1,0.032515,4.57113,[127  94] ; [129 141],[115.22606925 105.77393075] ; [140.77393075 129.22606925],0
p9,1,0.041366,4.160975,[182  41] ; [198  70],[172.58655804  50.41344196] ; [207.41344196  60.58655804],0
