Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3e-06,21.529526,[ 5 32] ; [24 12],[14.69863014 22.30136986] ; [14.30136986 21.69863014],1
p2,1,1.9e-05,18.302867,[20 17] ; [35  1],[27.87671233  9.12328767] ; [27.12328767  8.87671233],1
s2,1,0.000112,14.928771,[ 9 28] ; [25 11],[17.23287671 19.76712329] ; [16.76712329 19.23287671],1
s3,1,0.000818,11.2,[14 22] ; [28  8],[21. 15.] ; [21. 15.],1
a3,1,0.001494,10.086233,[13 24] ; [26 10],[19.76712329 17.23287671] ; [19.23287671 16.76712329],0
p9,1,0.00565,7.658791,[24 13] ; [33  3],[28.89041096  8.10958904] ; [28.10958904  7.89041096],0
a5,1,0.020619,5.358736,[18 19] ; [27  9],[22.80821918 14.19178082] ; [22.19178082 13.80821918],0
d4,1,0.026347,4.933092,[13 24] ; [22 14],[17.73972603 19.26027397] ; [17.26027397 18.73972603],0
p11,1,0.027697,4.84686,[25 12] ; [32  4],[28.89041096  8.10958904] ; [28.10958904  7.89041096],0
n5,1,0.028643,4.788939,[21 16] ; [29  7],[25.34246575 11.65753425] ; [24.65753425 11.34246575],0
s6,1,0.030572,4.676824,[17 19] ; [26 10],[21.5 14.5] ; [21.5 14.5],0
p7,1,0.035238,4.433598,[24 13] ; [31  5],[27.87671233  9.12328767] ; [27.12328767  8.87671233],0
p10,1,0.04259,4.111601,[23 14] ; [30  6],[26.8630137 10.1369863] ; [26.1369863  9.8630137],0
r4,1,0.045938,3.983874,[29  8] ; [34  2],[31.93150685  5.06849315] ; [31.06849315  4.93150685],0
v4,1,0.051226,3.800867,[31  6] ; [35  1],[33.45205479  3.54794521] ; [32.54794521  3.45205479],0
r3,1,0.051226,3.800867,[31  6] ; [35  1],[33.45205479  3.54794521] ; [32.54794521  3.45205479],0
p5,1,0.051551,3.790291,[ 3 34] ; [ 9 27],[ 6.08219178 30.91780822] ; [ 5.91780822 30.08219178],0
b3,1,0.061545,3.49526,[ 6 15] ; [13 10],[ 9.06818182 11.93181818] ; [ 9.93181818 13.06818182],0
b2,1,0.061545,3.49526,[ 6 15] ; [13 10],[ 9.06818182 11.93181818] ; [ 9.93181818 13.06818182],0
p6,1,0.075667,3.1556,[13 23] ; [20 15],[16.73239437 19.26760563] ; [16.26760563 18.73239437],0
p8,1,0.082624,3.012508,[23 14] ; [29  7],[26.35616438 10.64383562] ; [25.64383562 10.35616438],0
r2,1,0.094983,2.78782,[32  5] ; [35  1],[33.95890411  3.04109589] ; [33.04109589  2.95890411],0
a7,1,0.114237,2.494606,[19 18] ; [25 11],[22.30136986 14.69863014] ; [21.69863014 14.30136986],0
u3,1,0.132184,2.266667,[10 14] ; [7 3],[12. 12.] ; [5. 5.],0
n6,1,0.164847,1.929192,[27 10] ; [31  5],[29.39726027  7.60273973] ; [28.60273973  7.39726027],0
s5,1,0.165154,1.926388,[ 8 27] ; [13 21],[10.65217391 24.34782609] ; [10.34782609 23.65217391],0
b1,1,0.194067,1.686467,[20 17] ; [14 22],[17.23287671 19.76712329] ; [16.76712329 19.23287671],0
n4,1,0.206089,1.598687,[25 12] ; [29  7],[27.36986301  9.63013699] ; [26.63013699  9.36986301],0
r1,1,0.223033,1.484748,[24 13] ; [28  8],[26.35616438 10.64383562] ; [25.64383562 10.35616438],0
p4,1,0.223033,1.484748,[24 13] ; [28  8],[26.35616438 10.64383562] ; [25.64383562 10.35616438],0
d3,1,0.286963,1.133814,[11 26] ; [15 21],[13.17808219 23.82191781] ; [12.82191781 23.17808219],0
s4,1,0.330879,0.945453,[ 5 32] ; [ 8 28],[ 6.5890411 30.4109589] ; [ 6.4109589 29.5890411],0
u2,1,0.340987,0.906718,[12 11] ; [7 3],[13.24242424  9.75757576] ; [5.75757576 4.24242424],0
p1,1,0.353089,0.862325,[ 6 31] ; [ 9 27],[ 7.60273973 29.39726027] ; [ 7.39726027 28.60273973],0
v1,1,0.416859,0.659152,[15 22] ; [18 18],[16.7260274 20.2739726] ; [16.2739726 19.7260274],0
a6,1,0.512129,0.429715,[23 14] ; [25 11],[24.32876712 12.67123288] ; [23.67123288 12.32876712],0
n2,1,0.57075,0.321429,[5 2] ; [1 1],[4.66666667 2.33333333] ; [1.33333333 0.66666667],0
n1,1,0.57075,0.321429,[2 5] ; [1 1],[2.33333333 4.66666667] ; [0.66666667 1.33333333],0
d1,1,0.620496,0.245171,[ 2 35] ; [ 3 33],[ 2.53424658 34.46575342] ; [ 2.46575342 33.53424658],0
a2,1,0.620496,0.245171,[ 2 35] ; [ 3 33],[ 2.53424658 34.46575342] ; [ 2.46575342 33.53424658],0
a4,1,0.726922,0.121956,[ 7 30] ; [ 8 28],[ 7.60273973 29.39726027] ; [ 7.39726027 28.60273973],0
v3,1,0.733791,0.115659,[14 22] ; [15 20],[14.70422535 21.29577465] ; [14.29577465 20.70422535],0
p12,1,0.781094,0.077225,[ 6 31] ; [ 5 31],[ 5.57534247 31.42465753] ; [ 5.42465753 30.57534247],0
d2,1,0.831759,0.045133,[ 9 28] ; [ 8 28],[ 8.61643836 28.38356164] ; [ 8.38356164 27.61643836],0
b5,1,0.89746,0.016608,[20 17] ; [20 16],[20.2739726 16.7260274] ; [19.7260274 16.2739726],0
b4,1,0.926434,0.008525,[23 14] ; [22 14],[22.80821918 14.19178082] ; [22.19178082 13.80821918],0
v2,1,0.989079,0.000187,[19 17] ; [18 16],[19.02857143 16.97142857] ; [17.97142857 16.02857143],0
a8,1,1.0,0.0,[ 3 32] ; [ 3 32],[ 3. 32.] ; [ 3. 32.],0
