Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.006319,7.457143,[24 21] ; [34  8],[30. 15.] ; [28. 14.],0
s7,1,0.008047,7.023075,[16 31] ; [25 15],[22.14942529 24.85057471] ; [18.85057471 21.14942529],0
p11,1,0.023997,5.09483,[25 22] ; [32 10],[30.1011236 16.8988764] ; [26.8988764 15.1011236],0
u3,1,0.064517,3.417279,[10  7] ; [14  2],[12.36363636  4.63636364] ; [11.63636364  4.36363636],0
p1,1,0.066301,3.372315,[ 1 46] ; [ 5 37],[ 3.16853933 43.83146067] ; [ 2.83146067 39.16853933],0
v4,1,0.074112,3.189511,[41  6] ; [40  1],[43.26136364  3.73863636] ; [37.73863636  3.26136364],0
b1,1,0.109915,2.555449,[20 27] ; [25 17],[23.76404494 23.23595506] ; [21.23595506 20.76404494],0
p9,1,0.115651,2.475253,[31 14] ; [35  7],[34.13793103 10.86206897] ; [31.86206897 10.13793103],0
b2,1,0.122073,2.390514,[ 4 19] ; [12 21],[ 6.57142857 16.42857143] ; [ 9.42857143 23.57142857],0
b3,1,0.122073,2.390514,[ 4 19] ; [12 21],[ 6.57142857 16.42857143] ; [ 9.42857143 23.57142857],0
p5,1,0.129313,2.300731,[ 1 45] ; [ 4 37],[ 2.64367816 43.35632184] ; [ 2.35632184 38.64367816],0
v2,1,0.156909,2.003767,[26 17] ; [17 21],[22.82716049 20.17283951] ; [20.17283951 17.82716049],0
s5,1,0.187273,1.738942,[11 32] ; [16 25],[13.82142857 29.17857143] ; [13.17857143 27.82142857],0
p3,1,0.187919,1.733861,[17 30] ; [21 21],[20.06741573 26.93258427] ; [17.93258427 24.06741573],0
p8,1,0.200607,1.637953,[17 27] ; [22 20],[19.95348837 24.04651163] ; [19.04651163 22.95348837],0
s2,1,0.208073,1.584784,[24 23] ; [27 15],[26.93258427 20.06741573] ; [24.06741573 17.93258427],0
n3,1,0.211555,1.56075,[14  4] ; [8 6],[12.375  5.625] ; [9.625 4.375],0
d1,1,0.219516,1.507533,[23 24] ; [26 16],[25.87640449 21.12359551] ; [23.12359551 18.87640449],0
r4,1,0.308248,1.038167,[35 12] ; [35  7],[36.96629213 10.03370787] ; [33.03370787  8.96629213],0
d5,1,0.31117,1.025703,[33 13] ; [34  8],[35.02272727 10.97727273] ; [31.97727273 10.02272727],0
u2,1,0.31218,1.021429,[13  5] ; [13  2],[14.18181818  3.81818182] ; [11.81818182  3.18181818],0
p4,1,0.317138,1.000715,[23 24] ; [25 17],[25.34831461 21.65168539] ; [22.65168539 19.34831461],0
v1,1,0.387165,0.747826,[21 25] ; [22 18],[23. 23.] ; [20. 20.],0
a6,1,0.40324,0.698643,[29 17] ; [30 12],[30.84090909 15.15909091] ; [28.15909091 13.84090909],0
a4,1,0.421162,0.647069,[16 31] ; [11 31],[14.25842697 32.74157303] ; [12.74157303 29.25842697],0
d2,1,0.429976,0.622888,[17 29] ; [19 23],[18.81818182 27.18181818] ; [17.18181818 24.81818182],0
r1,1,0.459717,0.546584,[33 13] ; [33  9],[34.5 11.5] ; [31.5 10.5],0
s1,1,0.516507,0.420862,[ 1 44] ; [ 2 40],[ 1.55172414 43.44827586] ; [ 1.44827586 40.55172414],0
v3,1,0.559671,0.340274,[10 33] ; [11 27],[11.14814815 31.85185185] ; [ 9.85185185 28.14814815],0
a2,1,0.580745,0.305031,[10 37] ; [ 7 35],[ 8.97752809 38.02247191] ; [ 8.02247191 33.97752809],0
n1,1,0.580912,0.304762,[ 6 12] ; [6 8],[ 6.75 11.25] ; [5.25 8.75],0
p6,1,0.582329,0.302485,[11 32] ; [13 29],[12.14117647 30.85882353] ; [11.85882353 30.14117647],0
n4,1,0.599649,0.275526,[25 22] ; [20 22],[23.76404494 23.23595506] ; [21.23595506 20.76404494],0
p12,1,0.611546,0.25793,[ 2 44] ; [ 1 41],[ 1.56818182 44.43181818] ; [ 1.43181818 40.56818182],0
p2,1,0.616569,0.25072,[36 11] ; [34  8],[36.96629213 10.03370787] ; [33.03370787  8.96629213],0
a8,1,0.61814,0.248491,[ 5 38] ; [ 6 33],[ 5.76829268 37.23170732] ; [ 5.23170732 33.76829268],0
n5,1,0.640083,0.218634,[22 24] ; [18 24],[20.90909091 25.09090909] ; [19.09090909 22.90909091],0
p7,1,0.669552,0.182127,[26 17] ; [26 14],[26.93975904 16.06024096] ; [25.06024096 14.93975904],0
d3,1,0.702604,0.145777,[30 16] ; [29 13],[30.84090909 15.15909091] ; [28.15909091 13.84090909],0
a7,1,0.70504,0.143282,[32 15] ; [27 15],[31.15730337 15.84269663] ; [27.84269663 14.15730337],0
r3,1,0.721692,0.126878,[43  3] ; [40  2],[43.38636364  2.61363636] ; [39.61363636  2.38636364],0
s4,1,0.775037,0.081678,[10 37] ; [10 32],[10.56179775 36.43820225] ; [ 9.43820225 32.56179775],0
a5,1,0.779153,0.078637,[30 17] ; [28 14],[30.62921348 16.37078652] ; [27.37078652 14.62921348],0
s3,1,0.788277,0.072119,[32 15] ; [29 12],[32.57954545 14.42045455] ; [28.42045455 12.57954545],0
d4,1,0.828638,0.04685,[37  9] ; [33  9],[36.59090909  9.40909091] ; [33.40909091  8.59090909],0
b5,1,0.851115,0.03523,[30 17] ; [26 16],[29.57303371 17.42696629] ; [26.42696629 15.57303371],0
n2,1,0.854,0.033862,[15  3] ; [12  2],[15.1875  2.8125] ; [11.8125  2.1875],0
u1,1,0.867507,0.027831,[ 4 43] ; [ 4 38],[ 4.2247191 42.7752809] ; [ 3.7752809 38.2247191],0
a1,1,0.908322,0.013261,[ 2 45] ; [ 2 40],[ 2.11235955 44.88764045] ; [ 1.88764045 40.11235955],0
b4,1,0.957925,0.002783,[26 21] ; [23 19],[25.87640449 21.12359551] ; [23.12359551 18.87640449],0
r2,1,0.970325,0.001384,[41  6] ; [35  5],[41.05747126  5.94252874] ; [34.94252874  5.05747126],0
a3,1,0.98433,0.000386,[29 18] ; [26 16],[29.04494382 17.95505618] ; [25.95505618 16.04494382],0
