Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,8.3e-05,15.490993,[ 8 57] ; [16 17],[15.91836735 49.08163265] ; [ 8.08163265 24.91836735],1
p4,1,0.00051,12.078102,[13 52] ; [18 15],[20.56122449 44.43877551] ; [10.43877551 22.56122449],1
p3,1,0.000592,11.80197,[12 54] ; [17 16],[19.33333333 46.66666667] ; [ 9.66666667 23.33333333],1
p2,1,0.003471,8.541846,[34 32] ; [27  6],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
p7,1,0.003861,8.347826,[24 40] ; [22 10],[30.66666667 33.33333333] ; [15.33333333 16.66666667],0
b5,1,0.004231,8.181818,[30 36] ; [25  8],[36.66666667 29.33333333] ; [18.33333333 14.66666667],0
p10,1,0.012671,6.214454,[28 37] ; [23 10],[33.82653061 31.17346939] ; [17.17346939 15.82653061],0
v2,1,0.016561,5.742259,[16 44] ; [17 16],[21.29032258 38.70967742] ; [11.70967742 21.29032258],0
a7,1,0.018275,5.569614,[25 40] ; [21 12],[30.51020408 34.48979592] ; [15.48979592 17.51020408],0
p1,1,0.023739,5.113636,[ 4 62] ; [ 7 26],[ 7.33333333 58.66666667] ; [ 3.66666667 29.33333333],0
n6,1,0.025925,4.961022,[38 26] ; [27  6],[42.88659794 21.11340206] ; [22.11340206 10.88659794],0
v3,1,0.030967,4.65478,[12 51] ; [13 20],[16.40625 46.59375] ; [ 8.59375 24.40625],0
n4,1,0.037294,4.336925,[33 32] ; [24  9],[37.80612245 27.19387755] ; [19.19387755 13.80612245],0
s8,1,0.059512,3.550933,[ 8 58] ; [ 9 24],[11.33333333 54.66666667] ; [ 5.66666667 27.33333333],0
p12,1,0.065171,3.400639,[ 1 65] ; [ 3 29],[ 2.69387755 63.30612245] ; [ 1.30612245 30.69387755],0
s7,1,0.073172,3.210391,[ 9 52] ; [10 23],[12.32978723 48.67021277] ; [ 6.67021277 26.32978723],0
d4,1,0.073551,3.201943,[32 33] ; [10 23],[27.85714286 37.14285714] ; [14.14285714 18.85714286],0
s1,1,0.077573,3.115037,[ 2 63] ; [ 4 29],[ 3.97959184 61.02040816] ; [ 2.02040816 30.97959184],0
v4,1,0.101809,2.676977,[47 17] ; [29  4],[50.1443299 13.8556701] ; [25.8556701  7.1443299],0
p9,1,0.113454,2.505436,[36 28] ; [24  9],[39.58762887 24.41237113] ; [20.41237113 12.58762887],0
a5,1,0.195615,1.674812,[25 41] ; [17 16],[28. 38.] ; [14. 19.],0
s3,1,0.205839,1.600452,[25 41] ; [ 8 24],[22.2244898 43.7755102] ; [10.7755102 21.2244898],0
p5,1,0.219394,1.508334,[ 1 64] ; [ 2 31],[ 1.98979592 63.01020408] ; [ 1.01020408 31.98979592],0
p11,1,0.24238,1.366695,[38 28] ; [23 10],[40.66666667 25.33333333] ; [20.33333333 12.66666667],0
r2,1,0.280567,1.164343,[49 16] ; [28  5],[51.07142857 13.92857143] ; [25.92857143  7.07142857],0
a4,1,0.319742,0.99,[14 52] ; [10 23],[16. 50.] ; [ 8. 25.],0
n5,1,0.321528,0.982722,[36 28] ; [22 11],[38.26804124 25.73195876] ; [19.73195876 13.26804124],0
r3,1,0.357856,0.845405,[47 17] ; [27  6],[48.82474227 15.17525773] ; [25.17525773  7.82474227],0
a2,1,0.371576,0.798387,[ 3 63] ; [ 3 30],[ 4. 62.] ; [ 2. 31.],0
a3,1,0.388652,0.743155,[35 29] ; [15 18],[32.98969072 31.01030928] ; [17.01030928 15.98969072],0
b4,1,0.391805,0.733333,[34 32] ; [20 13],[36. 30.] ; [18. 15.],0
u2,1,0.393633,0.727688,[10 21] ; [ 8 10],[11.3877551 19.6122449] ; [ 6.6122449 11.3877551],0
d2,1,0.500872,0.453089,[14 52] ; [ 9 24],[15.33333333 50.66666667] ; [ 7.66666667 25.33333333],0
v1,1,0.513339,0.427255,[22 43] ; [13 19],[23.45360825 41.54639175] ; [11.54639175 20.45360825],0
a8,1,0.527256,0.399678,[ 7 56] ; [ 2 27],[ 6.16304348 56.83695652] ; [ 2.83695652 26.16304348],0
b1,1,0.569179,0.324059,[30 36] ; [17 16],[31.33333333 34.66666667] ; [15.66666667 17.33333333],0
s5,1,0.608445,0.262446,[ 4 60] ; [ 3 30],[ 4.6185567 59.3814433] ; [ 2.3814433 30.6185567],0
b2,1,0.643177,0.214611,[19 24] ; [ 8 13],[18.140625 24.859375] ; [ 8.859375 12.140625],0
b3,1,0.643177,0.214611,[19 24] ; [ 8 13],[18.140625 24.859375] ; [ 8.859375 12.140625],0
d3,1,0.657619,0.196429,[23 43] ; [13 20],[24. 42.] ; [12. 21.],0
n3,1,0.659658,0.193939,[16  8] ; [6 2],[16.5  7.5] ; [5.5 2.5],0
r4,1,0.662597,0.190385,[39 27] ; [21 12],[40. 26.] ; [20. 13.],0
u1,1,0.718159,0.130263,[ 3 63] ; [ 1 32],[ 2.66666667 63.33333333] ; [ 1.33333333 31.66666667],0
d1,1,0.745537,0.105319,[ 3 63] ; [ 2 31],[ 3.33333333 62.66666667] ; [ 1.66666667 31.33333333],0
n1,1,0.809076,0.058379,[11 15] ; [3 5],[10.70588235 15.29411765] ; [3.29411765 4.70588235],0
u3,1,0.811609,0.056811,[11 20] ; [ 7 11],[11.3877551 19.6122449] ; [ 6.6122449 11.3877551],0
s4,1,0.813561,0.055618,[ 7 59] ; [ 3 30],[ 6.66666667 59.33333333] ; [ 3.33333333 29.66666667],0
n2,1,0.910717,0.012574,[20  6] ; [6 2],[19.88235294  6.11764706] ; [6.11764706 1.88235294],0
r1,1,0.950799,0.003807,[37 28] ; [19 14],[37.14285714 27.85714286] ; [18.85714286 14.14285714],0
s2,1,1.0,0.0,[14 52] ; [ 7 26],[14. 52.] ; [ 7. 26.],0
a6,1,1.0,0.0,[30 36] ; [15 18],[30. 36.] ; [15. 18.],0
