Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,2.7e-05,17.633971,[ 1 37] ; [7 7],[ 5.84615385 32.15384615] ; [ 2.15384615 11.84615385],1
n6,1,0.001262,10.397517,[13 24] ; [12  2],[18.1372549 18.8627451] ; [6.8627451 7.1372549],0
s5,1,0.003117,8.737891,[ 3 35] ; [6 8],[ 6.57692308 31.42307692] ; [ 2.42307692 11.57692308],0
v1,1,0.006261,7.473657,[ 7 31] ; [8 6],[10.96153846 27.03846154] ; [4.03846154 9.96153846],0
v4,1,0.008315,6.964322,[17 21] ; [12  2],[21.19230769 16.80769231] ; [7.80769231 6.19230769],0
p9,1,0.008558,6.912842,[11 25] ; [10  4],[15.12 20.88] ; [5.88 8.12],0
p2,1,0.035909,4.401406,[11 27] ; [8 5],[14.15686275 23.84313725] ; [4.84313725 8.15686275],0
r1,1,0.03821,4.295641,[10 28] ; [8 6],[13.15384615 24.84615385] ; [4.84615385 9.15384615],0
p11,1,0.040982,4.176766,[ 8 30] ; [7 7],[10.96153846 27.03846154] ; [4.03846154 9.96153846],0
n3,1,0.050694,3.818346,[ 6 13] ; [4 1],[ 7.91666667 11.08333333] ; [2.08333333 2.91666667],0
s4,1,0.052662,3.754625,[ 3 35] ; [ 4 10],[ 5.11538462 32.88461538] ; [ 1.88461538 12.11538462],0
s2,1,0.052662,3.754625,[ 3 35] ; [ 4 10],[ 5.11538462 32.88461538] ; [ 1.88461538 12.11538462],0
p3,1,0.080021,3.06448,[ 8 30] ; [6 7],[10.43137255 27.56862745] ; [3.56862745 9.43137255],0
s8,1,0.109878,2.555982,[ 1 37] ; [ 2 12],[ 2.19230769 35.80769231] ; [ 0.80769231 13.19230769],0
d4,1,0.122654,2.383101,[18 20] ; [10  4],[20.46153846 17.53846154] ; [7.53846154 6.46153846],0
p4,1,0.129388,2.299832,[ 8 29] ; [6 8],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
p8,1,0.129388,2.299832,[ 8 29] ; [6 8],[10.15686275 26.84313725] ; [ 3.84313725 10.15686275],0
p7,1,0.139547,2.182952,[ 9 28] ; [6 7],[11.1 25.9] ; [3.9 9.1],0
p10,1,0.154119,2.030998,[13 24] ; [8 6],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
p6,1,0.292485,1.108149,[ 2 35] ; [ 2 12],[ 2.90196078 34.09803922] ; [ 1.09803922 12.90196078],0
n4,1,0.29326,1.104593,[24 14] ; [11  3],[25.57692308 12.42307692] ; [9.42307692 4.57692308],0
d3,1,0.299228,1.077632,[13 25] ; [7 7],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
u2,1,0.317311,1.0,[ 5 13] ; [3 3],[ 6. 12.] ; [2. 4.],0
b4,1,0.373578,0.791729,[22 16] ; [10  4],[23.38461538 14.61538462] ; [8.61538462 5.38461538],0
p1,1,0.417765,0.656594,[ 6 32] ; [ 1 13],[ 5.11538462 32.88461538] ; [ 1.88461538 12.11538462],0
n1,1,0.420345,0.649351,[ 8 12] ; [3 2],[ 8.8 11.2] ; [2.2 2.8],0
n2,1,0.420345,0.649351,[ 8 12] ; [3 2],[ 8.8 11.2] ; [2.2 2.8],0
p12,1,0.453051,0.563008,[ 1 37] ; [ 1 13],[ 1.46153846 36.53846154] ; [ 0.53846154 13.46153846],0
n5,1,0.473604,0.513554,[26 12] ; [11  3],[27.03846154 10.96153846] ; [9.96153846 4.03846154],0
b1,1,0.495559,0.464434,[23 15] ; [7 7],[21.92307692 16.07692308] ; [8.07692308 5.92307692],0
b5,1,0.495559,0.464434,[15 23] ; [7 7],[16.07692308 21.92307692] ; [5.92307692 8.07692308],0
a5,1,0.531786,0.390977,[18 20] ; [8 6],[19. 19.] ; [7. 7.],0
v2,1,0.579663,0.30678,[ 6 31] ; [ 3 10],[ 6.66 30.34] ; [ 2.34 10.66],0
b3,1,0.635738,0.224359,[11 15] ; [3 6],[10.4 15.6] ; [3.6 5.4],0
b2,1,0.635738,0.224359,[11 15] ; [3 6],[10.4 15.6] ; [3.6 5.4],0
d1,1,0.639097,0.219925,[11 27] ; [5 9],[11.69230769 26.30769231] ; [4.30769231 9.69230769],0
a3,1,0.640032,0.2187,[20 17] ; [8 5],[20.72 16.28] ; [7.28 5.72],0
v3,1,0.715134,0.133203,[ 7 31] ; [ 3 10],[ 7.45098039 30.54901961] ; [ 2.54901961 10.45098039],0
r2,1,0.745861,0.105042,[24 12] ; [10  4],[24.48 11.52] ; [9.52 4.48],0
s3,1,0.74592,0.104992,[ 7 29] ; [ 2 11],[ 6.6122449 29.3877551] ; [ 2.3877551 10.6122449],0
p5,1,0.76519,0.089205,[ 2 35] ; [ 1 12],[ 2.22 34.78] ; [ 0.78 12.22],0
d5,1,0.772238,0.083781,[20 18] ; [8 6],[20.46153846 17.53846154] ; [7.53846154 6.46153846],0
a4,1,0.774987,0.081715,[13 24] ; [4 9],[12.58 24.42] ; [4.42 8.58],0
u3,1,0.795418,0.067227,[ 5 13] ; [2 4],[ 5.25 12.75] ; [1.75 4.25],0
a7,1,0.804781,0.06109,[15 23] ; [5 9],[14.61538462 23.38461538] ; [5.38461538 8.61538462],0
a1,1,0.807165,0.059578,[ 7 31] ; [ 3 11],[ 7.30769231 30.69230769] ; [ 2.69230769 11.30769231],0
d2,1,0.880754,0.022504,[15 22] ; [6 8],[15.23529412 21.76470588] ; [5.76470588 8.23529412],0
a6,1,0.903647,0.014654,[17 21] ; [6 8],[16.80769231 21.19230769] ; [6.19230769 7.80769231],0
