Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.895142,[71 24] ; [12 29],[57.97794118 37.02205882] ; [25.02205882 15.97794118],1
a4,1,6.7e-05,15.898499,[58 36] ; [10 31],[47.34814815 46.65185185] ; [20.65185185 20.34814815],1
n6,1,8.9e-05,15.363302,[89  6] ; [28 13],[81.72794118 13.27205882] ; [35.27205882  5.72794118],1
p10,1,0.000137,14.543817,[83 10] ; [25 16],[74.95522388 18.04477612] ; [33.04477612  7.95522388],1
b5,1,0.000419,12.445781,[43 52] ; [32  9],[52.38970588 42.61029412] ; [22.61029412 18.38970588],1
d2,1,0.001302,10.339243,[54 41] ; [11 30],[45.40441176 49.59558824] ; [19.59558824 21.40441176],0
p9,1,0.001632,9.923286,[87  8] ; [29 12],[81.02941176 13.97058824] ; [34.97058824  6.02941176],0
d4,1,0.002021,9.530629,[83 11] ; [27 14],[76.59259259 17.40740741] ; [33.40740741  7.59259259],0
d5,1,0.002042,9.511151,[81 13] ; [25 15],[74.35820896 19.64179104] ; [31.64179104  8.35820896],0
a3,1,0.00511,7.839923,[71 24] ; [20 20],[64.03703704 30.96296296] ; [26.96296296 13.03703704],0
u1,1,0.005838,7.599593,[20 75] ; [ 1 40],[14.66911765 80.33088235] ; [ 6.33088235 34.66911765],0
p4,1,0.007274,7.204011,[80 15] ; [26 15],[74.04411765 20.95588235] ; [31.95588235  9.04411765],0
d3,1,0.008231,6.982452,[73 22] ; [21 18],[66.64179104 28.35820896] ; [27.35820896 11.64179104],0
n4,1,0.010202,6.59923,[81 14] ; [27 14],[75.44117647 19.55882353] ; [32.55882353  8.44117647],0
s8,1,0.012775,6.19999,[54 40] ; [14 27],[47.34814815 46.65185185] ; [20.65185185 20.34814815],0
r1,1,0.016465,5.752568,[80 15] ; [27 14],[74.74264706 20.25735294] ; [32.25735294  8.74264706],0
p2,1,0.025861,4.965285,[90  5] ; [34  7],[86.61764706  8.38235294] ; [37.38235294  3.61764706],0
p5,1,0.028625,4.790036,[22 73] ; [ 3 38],[17.46323529 77.53676471] ; [ 7.53676471 33.46323529],0
s5,1,0.032923,4.549804,[46 44] ; [12 27],[40.46511628 49.53488372] ; [17.53488372 21.46511628],0
v1,1,0.039113,4.255968,[43 51] ; [11 30],[37.6 56.4] ; [16.4 24.6],0
a8,1,0.064201,3.425402,[ 8 80] ; [ 8 30],[11.17460317 76.82539683] ; [ 4.82539683 33.17460317],0
s6,1,0.069903,3.285297,[70 20] ; [25 15],[65.76923077 24.23076923] ; [29.23076923 10.76923077],0
p11,1,0.070554,3.270091,[80 15] ; [29 12],[76.13970588 18.86029412] ; [32.86029412  8.13970588],0
b4,1,0.08559,2.955424,[50 45] ; [15 26],[45.40441176 49.59558824] ; [19.59558824 21.40441176],0
p3,1,0.092463,2.830953,[61 34] ; [20 21],[56.58088235 38.41911765] ; [24.41911765 16.58088235],0
r4,1,0.116533,2.463307,[89  6] ; [35  6],[86.61764706  8.38235294] ; [37.38235294  3.61764706],0
a6,1,0.117963,2.444159,[60 35] ; [20 21],[55.88235294 39.11764706] ; [24.11764706 16.88235294],0
p12,1,0.14546,2.119227,[ 9 85] ; [ 1 40],[ 6.96296296 87.03703704] ; [ 3.03703704 37.96296296],0
r2,1,0.149878,2.073497,[90  2] ; [38  3],[88.54135338  3.45864662] ; [39.45864662  1.54135338],0
u2,1,0.160581,1.96875,[11 13] ; [14  7],[13.33333333 10.66666667] ; [11.66666667  9.33333333],0
n5,1,0.31534,1.008176,[74 20] ; [29 12],[71.71851852 22.28148148] ; [31.28148148  9.71851852],0
s3,1,0.320566,0.986637,[59 35] ; [22 19],[56.4 37.6] ; [24.6 16.4],0
s7,1,0.343408,0.897666,[56 37] ; [20 19],[53.54545455 39.45454545] ; [22.45454545 16.54545455],0
n3,1,0.345895,0.888462,[14  6] ; [7 6],[12.72727273  7.27272727] ; [8.27272727 4.72727273],0
a1,1,0.347749,0.881653,[ 6 89] ; [ 1 40],[ 4.88970588 90.11029412] ; [ 2.11029412 38.88970588],0
