Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.028657,4.78812,[15 49] ; [9 9],[18.73170732 45.26829268] ; [ 5.26829268 12.73170732],0
n1,1,0.030858,4.660832,[ 4 19] ; [5 4],[ 6.46875 16.53125] ; [2.53125 6.46875],0
n2,1,0.036226,4.386448,[ 8 14] ; [7 2],[10.64516129 11.35483871] ; [4.35483871 4.64516129],0
r1,1,0.044967,4.019888,[46 18] ; [17  1],[49.17073171 14.82926829] ; [13.82926829  4.17073171],0
b3,1,0.069678,3.290598,[14 28] ; [ 1 12],[11.45454545 30.54545455] ; [3.54545455 9.45454545],0
b2,1,0.069678,3.290598,[14 28] ; [ 1 12],[11.45454545 30.54545455] ; [3.54545455 9.45454545],0
s3,1,0.073577,3.201351,[24 40] ; [11  7],[27.31707317 36.68292683] ; [ 7.68292683 10.31707317],0
a4,1,0.083842,2.988812,[31 32] ; [13  5],[34.22222222 28.77777778] ; [9.77777778 8.22222222],0
s6,1,0.08572,2.952976,[28 36] ; [12  6],[31.2195122 32.7804878] ; [8.7804878 9.2195122],0
d2,1,0.125586,2.346238,[49 14] ; [16  1],[51.1875 11.8125] ; [13.8125  3.1875],0
a3,1,0.183496,1.769082,[43 21] ; [15  3],[45.26829268 18.73170732] ; [12.73170732  5.26829268],0
a7,1,0.188574,1.728724,[48 16] ; [10  7],[45.82716049 18.17283951] ; [12.17283951  4.82716049],0
u3,1,0.19043,1.714286,[15  6] ; [1 2],[14.  7.] ; [2. 1.],0
d3,1,0.214578,1.540271,[57  7] ; [14  4],[55.41463415  8.58536585] ; [15.58536585  2.41463415],0
r3,1,0.243485,1.360304,[53 11] ; [16  1],[54.51851852  9.48148148] ; [14.48148148  2.51851852],0
b5,1,0.259463,1.271622,[38 26] ; [ 8 10],[35.90243902 28.09756098] ; [10.09756098  7.90243902],0
a5,1,0.270679,1.213305,[45 19] ; [15  3],[46.82926829 17.17073171] ; [13.17073171  4.82926829],0
v2,1,0.29209,1.109964,[28 35] ; [10  7],[29.925 33.075] ; [8.075 8.925],0
s8,1,0.317262,1.000202,[14 50] ; [ 6 12],[15.6097561 48.3902439] ; [ 4.3902439 13.6097561],0
u1,1,0.317262,1.000202,[14 50] ; [ 6 12],[15.6097561 48.3902439] ; [ 4.3902439 13.6097561],0
p8,1,0.32068,0.986173,[26 38] ; [ 5 13],[24.19512195 39.80487805] ; [ 6.80487805 11.19512195],0
n3,1,0.32564,0.966157,[ 8 14] ; [5 4],[ 9.22580645 12.77419355] ; [3.77419355 5.22580645],0
n5,1,0.363999,0.82405,[35 29] ; [12  6],[36.68292683 27.31707317] ; [10.31707317  7.68292683],0
n6,1,0.36812,0.81,[42 21] ; [14  4],[43.55555556 19.44444444] ; [12.44444444  5.55555556],0
s2,1,0.385847,0.751989,[21 42] ; [ 8 10],[22.55555556 40.44444444] ; [ 6.44444444 11.55555556],0
v3,1,0.437838,0.601942,[15 47] ; [ 6 12],[16.275 45.725] ; [ 4.725 13.275],0
a1,1,0.48414,0.489522,[ 4 60] ; [ 2 16],[ 4.68292683 59.31707317] ; [ 1.31707317 16.68292683],0
p1,1,0.496601,0.462193,[ 7 57] ; [ 1 17],[ 6.24390244 57.75609756] ; [ 1.75609756 16.24390244],0
p4,1,0.50963,0.434827,[26 37] ; [9 9],[27.22222222 35.77777778] ; [ 7.77777778 10.22222222],0
a6,1,0.542354,0.371193,[44 20] ; [11  7],[42.92682927 21.07317073] ; [12.07317073  5.92682927],0
p11,1,0.593623,0.284722,[33 31] ; [ 8 10],[32. 32.] ; [9. 9.],0
p5,1,0.6275,0.235466,[ 2 62] ; [ 1 17],[ 2.34146341 61.65853659] ; [ 0.65853659 17.34146341],0
p6,1,0.656939,0.197263,[10 52] ; [ 2 15],[ 9.41772152 52.58227848] ; [ 2.58227848 14.41772152],0
p2,1,0.712596,0.135697,[36 28] ; [11  7],[36.68292683 27.31707317] ; [10.31707317  7.68292683],0
b1,1,0.712596,0.135697,[36 28] ; [11  7],[36.68292683 27.31707317] ; [10.31707317  7.68292683],0
v1,1,0.723434,0.125226,[22 42] ; [ 7 11],[22.63414634 41.36585366] ; [ 6.36585366 11.63414634],0
s4,1,0.730519,0.118636,[ 9 54] ; [ 3 14],[ 9.45 53.55] ; [ 2.55 14.45],0
a2,1,0.766589,0.088114,[19 45] ; [ 6 12],[19.51219512 44.48780488] ; [ 5.48780488 12.51219512],0
s7,1,0.811121,0.057112,[19 40] ; [ 6 11],[19.40789474 39.59210526] ; [ 5.59210526 11.40789474],0
p7,1,0.816995,0.053551,[24 39] ; [ 7 10],[24.4125 38.5875] ; [ 6.5875 10.4125],0
v4,1,0.818604,0.052597,[51 12] ; [15  3],[51.33333333 11.66666667] ; [14.66666667  3.33333333],0
n4,1,0.838231,0.04168,[41 23] ; [12  6],[41.36585366 22.63414634] ; [11.63414634  6.36585366],0
u2,1,0.84562,0.037912,[12  9] ; [1 1],[11.86956522  9.13043478] ; [1.13043478 0.86956522],0
r4,1,0.874993,0.02475,[45 19] ; [13  5],[45.26829268 18.73170732] ; [12.73170732  5.26829268],0
s1,1,0.879941,0.022814,[ 3 61] ; [ 1 17],[ 3.12195122 60.87804878] ; [ 0.87804878 17.12195122],0
p3,1,0.917547,0.010717,[18 44] ; [ 5 13],[17.825 44.175] ; [ 5.175 12.825],0
b4,1,0.93438,0.006779,[42 22] ; [12  6],[42.14634146 21.85365854] ; [11.85365854  6.14634146],0
