Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000185,13.98199,[33  7] ; [ 4 10],[27.40740741 12.59259259] ; [9.59259259 4.40740741],1
a5,1,0.001961,9.586134,[30 10] ; [ 4 10],[25.18518519 14.81481481] ; [8.81481481 5.18518519],0
n3,1,0.002197,9.377289,[11  1] ; [2 6],[7.8 4.2] ; [5.2 2.8],0
v4,1,0.01623,5.777778,[38  1] ; [10  3],[36.  3.] ; [12.  1.],0
r2,1,0.039285,4.248511,[38  2] ; [9 3],[36.15384615  3.84615385] ; [10.84615385  1.15384615],0
p9,1,0.107626,2.588733,[33  6] ; [9 5],[30.90566038  8.09433962] ; [11.09433962  2.90566038],0
p3,1,0.119452,2.42449,[18 22] ; [ 3 11],[15.55555556 24.44444444] ; [5.44444444 8.55555556],0
b3,1,0.221895,1.492071,[ 9 14] ; [2 9],[ 7.44117647 15.55882353] ; [3.55882353 7.44117647],0
b2,1,0.221895,1.492071,[ 9 14] ; [2 9],[ 7.44117647 15.55882353] ; [3.55882353 7.44117647],0
n1,1,0.259942,1.269066,[7 4] ; [3 5],[5.78947368 5.21052632] ; [4.21052632 3.78947368],0
a3,1,0.286958,1.133841,[29 11] ; [8 6],[27.40740741 12.59259259] ; [9.59259259 4.40740741],0
s4,1,0.286958,1.133841,[11 29] ; [6 8],[12.59259259 27.40740741] ; [4.40740741 9.59259259],0
p2,1,0.331525,0.942934,[31  9] ; [9 5],[29.62962963 10.37037037] ; [10.37037037  3.62962963],0
p4,1,0.356204,0.851232,[20 20] ; [5 9],[18.51851852 21.48148148] ; [6.48148148 7.51851852],0
d3,1,0.405224,0.692769,[26 13] ; [11  3],[27.22641509 11.77358491] ; [9.77358491 4.22641509],0
s5,1,0.442003,0.591076,[13 25] ; [6 7],[14.15686275 23.84313725] ; [4.84313725 8.15686275],0
s3,1,0.505705,0.442944,[27 12] ; [11  3],[27.96226415 11.03773585] ; [10.03773585  3.96226415],0
a8,1,0.509836,0.434404,[ 5 31] ; [ 1 13],[ 4.32 31.68] ; [ 1.68 12.32],0
d2,1,0.523848,0.40631,[13 26] ; [6 8],[13.98113208 25.01886792] ; [5.01886792 8.98113208],0
d1,1,0.534561,0.385714,[19 21] ; [8 6],[20. 20.] ; [7. 7.],0
a4,1,0.537721,0.37978,[12 28] ; [ 3 11],[11.11111111 28.88888889] ; [ 3.88888889 10.11111111],0
s2,1,0.547114,0.362513,[25 15] ; [10  4],[25.92592593 14.07407407] ; [9.07407407 4.92592593],0
p11,1,0.547114,0.362513,[25 15] ; [10  4],[25.92592593 14.07407407] ; [9.07407407 4.92592593],0
v2,1,0.594032,0.284091,[21 15] ; [7 7],[20.16 15.84] ; [7.84 6.16],0
v3,1,0.608919,0.261752,[10 25] ; [ 3 11],[ 9.28571429 25.71428571] ; [ 3.71428571 10.28571429],0
p10,1,0.621772,0.243385,[28 11] ; [11  3],[28.69811321 10.30188679] ; [10.30188679  3.69811321],0
p8,1,0.624473,0.239631,[15 24] ; [6 7],[15.75 23.25] ; [5.25 7.75],0
p7,1,0.633166,0.227792,[23 16] ; [8 4],[23.70588235 15.29411765] ; [7.29411765 4.70588235],0
b4,1,0.645258,0.211931,[20 20] ; [8 6],[20.74074074 19.25925926] ; [7.25925926 6.74074074],0
n5,1,0.679359,0.170848,[17 22] ; [7 7],[17.66037736 21.33962264] ; [6.33962264 7.66037736],0
u2,1,0.69627,0.152381,[9 1] ; [5 1],[8.75 1.25] ; [5.25 0.75],0
s8,1,0.746758,0.104276,[22 18] ; [7 7],[21.48148148 18.51851852] ; [7.51851852 6.48148148],0
n2,1,0.760907,0.092593,[11  1] ; [7 1],[10.8  1.2] ; [7.2 0.8],0
d4,1,0.775284,0.081493,[32  7] ; [11  3],[31.64150943  7.35849057] ; [11.35849057  2.64150943],0
a2,1,0.781207,0.077143,[ 7 33] ; [ 2 12],[ 6.66666667 33.33333333] ; [ 2.33333333 11.66666667],0
s6,1,0.787922,0.072367,[30 10] ; [11  3],[30.37037037  9.62962963] ; [10.62962963  3.37037037],0
v1,1,0.817375,0.053325,[23 17] ; [7 6],[22.64150943 17.35849057] ; [7.35849057 5.64150943],0
p6,1,0.877877,0.023612,[12 27] ; [ 4 10],[11.77358491 27.22641509] ; [4.22641509 9.77358491],0
b5,1,0.88955,0.019286,[22 18] ; [8 6],[22.22222222 17.77777778] ; [7.77777778 6.22222222],0
n4,1,0.88955,0.019286,[22 18] ; [8 6],[22.22222222 17.77777778] ; [7.77777778 6.22222222],0
b1,1,0.88955,0.019286,[22 18] ; [8 6],[22.22222222 17.77777778] ; [7.77777778 6.22222222],0
d5,1,0.942224,0.005253,[31  8] ; [11  3],[30.90566038  8.09433962] ; [11.09433962  2.90566038],0
p5,1,0.946771,0.004457,[ 3 36] ; [ 1 13],[ 2.94339623 36.05660377] ; [ 1.05660377 12.94339623],0
a7,1,0.961583,0.00232,[26 14] ; [9 5],[25.92592593 14.07407407] ; [9.07407407 4.92592593],0
a6,1,0.979178,0.000681,[28 11] ; [10  4],[27.96226415 11.03773585] ; [10.03773585  3.96226415],0
