Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,37.472023,[116 138] ; [208  83],[151.00183486 102.99816514] ; [172.99816514 118.00183486],1
v3,1,0.0,32.371794,[ 70 189] ; [146 141],[102.46153846 156.53846154] ; [113.53846154 173.46153846],1
p4,1,0.0,26.499841,[129 134] ; [209  88],[158.73928571 104.26071429] ; [179.26071429 117.73928571],1
p3,1,1e-06,23.695599,[ 99 166] ; [172 125],[127.78469751 137.21530249] ; [143.21530249 153.78469751],1
p6,1,2e-06,22.545977,[ 71 193] ; [135 156],[ 97.98918919 166.01081081] ; [108.01081081 182.98918919],1
n5,1,8e-06,19.938398,[163  98] ; [237  61],[186.76207513  74.23792487] ; [213.23792487  84.76207513],1
p8,1,9e-06,19.677926,[112 150] ; [181 113],[138.06834532 123.93165468] ; [154.93165468 139.06834532],1
p2,1,2e-05,18.229059,[203  62] ; [268  30],[221.69626998  43.30373002] ; [249.30373002  48.69626998],1
s5,1,0.000255,13.374319,[ 65 191] ; [115 171],[ 85.01845018 170.98154982] ; [ 94.98154982 191.01845018],1
s8,1,0.000283,13.179755,[ 91 173] ; [147 149],[112.2 151.8] ; [125.8 170.2],1
p9,1,0.00032,12.949806,[202  59] ; [261  33],[217.73513514  43.26486486] ; [245.26486486  48.73513514],1
p7,1,0.000857,11.112908,[141 117] ; [198  91],[159.89396709  98.10603291] ; [179.10603291 109.89396709],1
s6,1,0.001059,10.721474,[159 103] ; [216  77],[177.02702703  84.97297297] ; [197.97297297  95.02702703],0
a5,1,0.002106,9.454928,[185  80] ; [242  57],[200.62943262  64.37056738] ; [226.37056738  72.62943262],0
p12,1,0.002582,9.081478,[ 13 251] ; [ 36 261],[ 23.05882353 240.94117647] ; [ 25.94117647 271.05882353],0
p5,1,0.004135,8.223428,[ 19 246] ; [ 44 253],[ 29.70640569 235.29359431] ; [ 33.29359431 263.70640569],0
s7,1,0.004158,8.213545,[105 151] ; [150 131],[121.56424581 134.43575419] ; [133.43575419 147.56424581],0
v4,1,0.004909,7.912643,[245  18] ; [291   6],[251.72857143  11.27142857] ; [284.27142857  12.72857143],0
d1,1,0.007335,7.188939,[175  90] ; [228  71],[189.35283688  75.64716312] ; [213.64716312  85.35283688],0
p10,1,0.008806,6.861842,[199  63] ; [250  45],[211.19928187  50.80071813] ; [237.80071813  57.19928187],0
n4,1,0.009077,6.807704,[186  78] ; [239  60],[199.28952043  64.71047957] ; [225.71047957  73.28952043],0
