Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1e-06,23.87397,[13 32] ; [63 23],[26.10687023 18.89312977] ; [49.89312977 36.10687023],1
d3,1,0.000412,12.4772,[17 28] ; [60 26],[26.45038168 18.54961832] ; [50.54961832 35.45038168],1
b5,1,0.00178,9.763483,[17 28] ; [57 29],[25.41984733 19.58015267] ; [48.58015267 37.41984733],0
d4,1,0.002037,9.515859,[26 18] ; [72 14],[33.16923077 10.83076923] ; [64.83076923 21.16923077],0
a2,1,0.00204,9.513406,[ 2 43] ; [23 63],[ 8.58778626 36.41221374] ; [16.41221374 69.58778626],0
s1,1,0.01191,6.324216,[ 7 37] ; [ 3 83],[ 3.38461538 40.61538462] ; [ 6.61538462 79.38461538],0
u1,1,0.018025,5.593686,[ 2 43] ; [17 69],[ 6.52671756 38.47328244] ; [12.47328244 73.52671756],0
d1,1,0.037774,4.315188,[16 29] ; [47 39],[21.64122137 23.35877863] ; [41.35877863 44.64122137],0
d5,1,0.038502,4.282686,[28 17] ; [68 18],[32.97709924 12.02290076] ; [63.02290076 22.97709924],0
p8,1,0.08092,3.046331,[10 35] ; [32 54],[14.42748092 30.57251908] ; [27.57251908 58.42748092],0
p2,1,0.119747,2.42063,[23 22] ; [56 30],[27.13740458 17.86259542] ; [51.86259542 34.13740458],0
s6,1,0.123164,2.376617,[17 27] ; [45 40],[21.14728682 22.85271318] ; [40.85271318 44.14728682],0
p4,1,0.157162,2.001327,[14 30] ; [38 47],[17.73643411 26.26356589] ; [34.26356589 50.73643411],0
a3,1,0.161765,1.957647,[24 21] ; [56 29],[27.69230769 17.30769231] ; [52.30769231 32.69230769],0
r3,1,0.192001,1.702199,[38  7] ; [79  7],[40.19083969  4.80916031] ; [76.80916031  9.19083969],0
r4,1,0.196278,1.669855,[36  9] ; [76 10],[38.47328244  6.52671756] ; [73.52671756 12.47328244],0
s5,1,0.245282,1.349976,[11 33] ; [14 71],[ 8.52713178 35.47286822] ; [16.47286822 68.52713178],0
a1,1,0.250536,1.320311,[ 1 44] ; [ 6 80],[ 2.40458015 42.59541985] ; [ 4.59541985 81.40458015],0
r2,1,0.261168,1.262553,[39  5] ; [81  5],[40.61538462  3.38461538] ; [79.38461538  6.61538462],0
v3,1,0.26794,1.227262,[17 25] ; [26 59],[14.22047244 27.77952756] ; [28.77952756 56.22047244],0
u3,1,0.303762,1.057604,[11 10] ; [20 10],[12.76470588  8.23529412] ; [18.23529412 11.76470588],0
n5,1,0.304093,1.056156,[23 22] ; [52 34],[25.76335878 19.23664122] ; [49.23664122 36.76335878],0
b4,1,0.324699,0.969924,[27 18] ; [59 27],[29.54198473 15.45801527] ; [56.45801527 29.54198473],0
n6,1,0.324699,0.969924,[27 18] ; [59 27],[29.54198473 15.45801527] ; [56.45801527 29.54198473],0
a5,1,0.337561,0.919672,[26 19] ; [57 29],[28.51145038 16.48854962] ; [54.48854962 31.51145038],0
v4,1,0.344971,0.891869,[36  7] ; [77  9],[37.66666667  5.33333333] ; [75.33333333 10.66666667],0
