Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,169.86699,[115 335] ; [230  84],[203.20680628 246.79319372] ; [141.79319372 172.20680628],1
s2,1,0.0,110.802551,[156 310] ; [233  93],[228.88131313 237.11868687] ; [160.11868687 165.88131313],1
s6,1,0.0,99.106148,[232 231] ; [275  50],[297.89467005 165.10532995] ; [209.10532995 115.89467005],1
s3,1,0.0,70.669858,[197 266] ; [236  88],[254.73824651 208.26175349] ; [178.26175349 145.73824651],1
s5,1,0.0,38.343416,[ 95 364] ; [130 185],[133.43023256 325.56976744] ; [ 91.56976744 223.43023256],1
p6,1,1e-06,24.37313,[120 341] ; [140 187],[152.10659898 308.89340102] ; [107.89340102 219.10659898],1
p10,1,1e-06,23.651088,[336 129] ; [282  43],[363.75949367 101.24050633] ; [254.24050633  70.75949367],1
d2,1,1e-06,23.260488,[188 279] ; [190 140],[221.4880803 245.5119197] ; [156.5119197 173.4880803],1
d1,1,2e-06,22.500385,[237 233] ; [222 108],[269.6625 200.3375] ; [189.3375 140.6625],1
p9,1,3e-06,21.687775,[354 108] ; [292  34],[378.74619289  83.25380711] ; [267.25380711  58.74619289],1
u1,1,1.7e-05,18.452599,[ 59 411] ; [ 80 250],[ 81.6625 388.3375] ; [ 57.3375 272.6625],1
a3,1,1.8e-05,18.409259,[296 172] ; [255  74],[323.54830615 144.45169385] ; [227.45169385 101.54830615],1
v3,1,1.9e-05,18.246692,[137 316] ; [144 174],[165.10116732 287.89883268] ; [115.89883268 202.10116732],1
a5,1,2.2e-05,18.007964,[310 160] ; [263  67],[336.6375 133.3625] ; [236.3625  93.6375],1
p3,1,3.2e-05,17.300163,[181 286] ; [177 153],[209.76913425 257.23086575] ; [148.23086575 181.76913425],1
v1,1,4.4e-05,16.692155,[206 255] ; [190 129],[234.04615385 226.95384615] ; [161.95384615 157.04615385],1
n5,1,0.000257,13.359576,[306 160] ; [254  73],[329.07944515 136.92055485] ; [230.92055485  96.07944515],1
p4,1,0.000302,13.060267,[230 236] ; [205 124],[254.98113208 211.01886792] ; [180.01886792 148.98113208],1
p7,1,0.00031,13.006563,[257 204] ; [220 101],[281.19820972 179.80179028] ; [195.80179028 125.19820972],1
n4,1,0.000368,12.690531,[323 146] ; [263  65],[344.83563363 124.16436637] ; [241.16436637  86.83563363],1
d5,1,0.001366,10.251539,[360 108] ; [283  46],[377.57089084  90.42910916] ; [265.42910916  63.57089084],0
u3,1,0.00155,10.018029,[86 85] ; [54 21],[97.31707317 73.68292683] ; [42.68292683 32.31707317],0
p12,1,0.001708,9.839467,[ 15 452] ; [ 27 299],[ 24.73392182 442.26607818] ; [ 17.26607818 308.73392182],0
b3,1,0.002023,9.528933,[ 68 173] ; [ 93 129],[ 83.80345572 157.19654428] ; [ 77.19654428 144.80345572],0
b2,1,0.002023,9.528933,[ 68 173] ; [ 93 129],[ 83.80345572 157.19654428] ; [ 77.19654428 144.80345572],0
a2,1,0.002291,9.300533,[ 93 377] ; [ 96 234],[111.0375 358.9625] ; [ 77.9625 252.0375],0
n6,1,0.004368,8.124093,[368 100] ; [283  44],[383.23018868  84.76981132] ; [267.76981132  59.23018868],0
v2,1,0.00482,7.945882,[235 214] ; [199 119],[254.06258149 194.93741851] ; [179.93741851 138.06258149],0
r1,1,0.007232,7.21446,[357 111] ; [275  52],[372.04528302  95.95471698] ; [259.95471698  67.04528302],0
p8,1,0.008296,6.968344,[203 260] ; [173 151],[221.20457433 241.79542567] ; [154.79542567 169.20457433],0
a8,1,0.013871,6.054548,[ 48 385] ; [ 52 246],[ 59.23392613 373.76607387] ; [ 40.76607387 257.23392613],0
r4,1,0.014344,5.995331,[416  54] ; [309  21],[425.9375  44.0625] ; [299.0625  30.9375],0
a4,1,0.020293,5.386483,[190 279] ; [161 169],[206.03128911 262.96871089] ; [144.96871089 185.03128911],0
u4,1,0.020663,5.355019,[  4 466] ; [ 10 320],[  8.225 461.775] ; [  5.775 324.225],0
u2,1,0.043274,4.084683,[87 84] ; [48 26],[94.2244898 76.7755102] ; [40.7755102 33.2244898],0
d4,1,0.084728,2.971796,[373  95] ; [278  51],[382.2685069  85.7314931] ; [268.7314931  60.2685069],0
v4,1,0.086159,2.94472,[437  30] ; [316  12],[442.32830189  24.67169811] ; [310.67169811  17.32830189],0
p11,1,0.103643,2.648564,[356 114] ; [266  64],[365.425 104.575] ; [256.575  73.425],0
s4,1,0.115049,2.483465,[ 72 392] ; [ 65 263],[ 80.26262626 383.73737374] ; [ 56.73737374 271.26262626],0
b1,1,0.122468,2.38547,[167 303] ; [135 195],[177.425 292.575] ; [124.575 205.425],0
a7,1,0.128416,2.311545,[348 121] ; [228 101],[338.52631579 130.47368421] ; [237.47368421  91.52631579],0
p2,1,0.134249,2.242664,[373  95] ; [276  53],[381.09410289  86.90589711] ; [267.90589711  61.09410289],0
p1,1,0.21467,1.53965,[ 23 444] ; [ 23 305],[ 27.02138365 439.97861635] ; [ 18.97861635 309.02138365],0
n1,1,0.235363,1.408152,[39 82] ; [27 39],[42.70588235 78.29411765] ; [23.29411765 42.70588235],0
r2,1,0.32328,0.975631,[436  29] ; [311  15],[439.13400759  25.86599241] ; [307.86599241  18.13400759],0
a1,1,0.33835,0.916674,[ 14 456] ; [ 14 316],[ 16.45 453.55] ; [ 11.55 318.45],0
s1,1,0.428262,0.627533,[ 16 447] ; [  8 316],[ 14.11944091 448.88055909] ; [  9.88055909 314.11944091],0
n2,1,0.635544,0.224617,[91 30] ; [49 19],[89.62962963 31.37037037] ; [50.37037037 17.62962963],0
b5,1,0.702836,0.145538,[290 180] ; [208 122],[292.575 177.425] ; [205.425 124.575],0
n3,1,0.849442,0.036035,[89 30] ; [50 18],[88.45454545 30.54545455] ; [50.54545455 17.45454545],0
b4,1,0.858408,0.031827,[275 195] ; [191 139],[273.775 196.225] ; [192.225 137.775],0
d3,1,0.88585,0.020609,[319 148] ; [227 103],[319.9272271 147.0727729] ; [226.0727729 103.9272271],0
a6,1,0.893457,0.017937,[320 149] ; [223 106],[319.13157895 149.86842105] ; [223.86842105 105.13157895],0
