Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,37.338399,[27 72] ; [363 240],[55. 44.] ; [335. 268.],1
p7,1,0.0,37.091543,[39 57] ; [431 168],[64.92086331 31.07913669] ; [405.07913669 193.92086331],1
p4,1,0.0,28.501155,[37 60] ; [405 205],[60.64214993 36.35785007] ; [381.35785007 228.64214993],1
d5,1,0.000868,11.090899,[69 29] ; [513  96],[80.67326733 17.32673267] ; [501.32673267 107.67326733],1
p6,1,0.001161,10.552027,[23 75] ; [246 359],[37.49928876 60.50071124] ; [231.50071124 373.49928876],0
n4,1,0.003262,8.654702,[67 32] ; [493 118],[78.08450704 20.91549296] ; [481.91549296 129.08450704],0
p3,1,0.003617,8.466516,[38 60] ; [333 277],[51.35310734 46.64689266] ; [319.64689266 290.35310734],0
d3,1,0.005802,7.610744,[57 41] ; [438 171],[68.61386139 29.38613861] ; [426.38613861 182.61386139],0
v1,1,0.007886,7.059171,[42 54] ; [346 248],[53.9826087 42.0173913] ; [334.0173913 259.9826087],0
p9,1,0.008299,6.967761,[88 11] ; [582  28],[93.55430183  5.44569817] ; [576.44569817  33.55430183],0
p11,1,0.009214,6.780888,[76 23] ; [530  81],[84.49859155 14.50140845] ; [521.50140845  89.49859155],0
r2,1,0.010356,6.572557,[88 10] ; [580  25],[93.12091038  4.87908962] ; [574.87908962  30.12091038],0
r1,1,0.015753,5.830284,[72 27] ; [504 104],[80.6562942 18.3437058] ; [495.3437058 112.6562942],0
r4,1,0.017628,5.63273,[87 12] ; [576  35],[92.44647887  6.55352113] ; [570.55352113  40.44647887],0
d4,1,0.02517,5.012138,[74 24] ; [516  94],[81.66666667 16.33333333] ; [508.33333333 101.66666667],0
s4,1,0.030991,4.653452,[25 73] ; [100 505],[17.42532006 80.57467994] ; [107.57467994 497.42532006],0
n6,1,0.03426,4.48166,[79 19] ; [536  71],[85.4893617 12.5106383] ; [529.5106383  77.4893617],0
s6,1,0.035723,4.410264,[60 38] ; [428 169],[68.81151079 29.18848921] ; [419.18848921 177.81151079],0
v4,1,0.053566,3.726164,[92  7] ; [588  19],[95.35410765  3.64589235] ; [584.64589235  22.35410765],0
p5,1,0.054938,3.683961,[ 6 89] ; [ 81 529],[11.72340426 83.27659574] ; [ 75.27659574 534.72340426],0
n5,1,0.074013,3.191709,[70 28] ; [483 125],[76.76203966 21.23796034] ; [476.23796034 131.76203966],0
a1,1,0.080286,3.059102,[ 8 91] ; [ 25 586],[ 4.60140845 94.39859155] ; [ 28.39859155 582.60140845],0
d1,1,0.08325,3.000273,[52 47] ; [377 234],[59.81830986 39.18169014] ; [369.18169014 241.81830986],0
a3,1,0.0879,2.912425,[65 34] ; [450 159],[72.01271186 26.98728814] ; [442.98728814 166.01271186],0
a5,1,0.097148,2.751752,[68 31] ; [467 144],[74.59859155 24.40140845] ; [460.40140845 150.59859155],0
b1,1,0.128317,2.312747,[42 57] ; [211 400],[35.27746479 63.72253521] ; [217.72253521 393.27746479],0
s1,1,0.141488,2.161698,[ 5 92] ; [ 15 590],[ 2.76353276 94.23646724] ; [ 17.23646724 587.76353276],0
a7,1,0.180453,1.793885,[68 31] ; [457 152],[73.41101695 25.58898305] ; [451.58898305 157.41101695],0
n2,1,0.237634,1.394574,[27  5] ; [78 27],[24.52554745  7.47445255] ; [80.47445255 24.52554745],0
a2,1,0.245538,1.348516,[19 80] ; [150 461],[23.56478873 75.43521127] ; [145.43521127 465.56478873],0
p12,1,0.27463,1.193473,[12 87] ; [ 53 556],[ 9.08898305 89.91101695] ; [ 55.91101695 553.08898305],0
a8,1,0.333205,0.936401,[10 84] ; [ 80 477],[12.99539171 81.00460829] ; [ 77.00460829 479.99539171],0
b5,1,0.358937,0.841608,[63 36] ; [359 252],[58.84225352 40.15774648] ; [363.15774648 247.84225352],0
s7,1,0.381454,0.766011,[45 49] ; [309 277],[48.93529412 45.06470588] ; [305.06470588 280.93529412],0
v3,1,0.384655,0.755771,[34 57] ; [251 344],[37.80612245 53.19387755] ; [247.19387755 347.80612245],0
n1,1,0.435665,0.607675,[13 18] ; [36 69],[11.16911765 19.83088235] ; [37.83088235 67.16911765],0
s5,1,0.450757,0.568746,[30 61] ; [219 372],[33.22434018 57.77565982] ; [215.77565982 375.22434018],0
a6,1,0.484254,0.489268,[65 33] ; [426 184],[67.96327684 30.03672316] ; [423.03672316 186.96327684],0
s3,1,0.505594,0.443175,[54 44] ; [355 250],[57.01564723 40.98435277] ; [351.98435277 253.01564723],0
v2,1,0.520257,0.413385,[57 34] ; [348 241],[54.19852941 36.80147059] ; [350.80147059 238.19852941],0
b3,1,0.52272,0.408524,[22 40] ; [142 215],[24.2673031 37.7326969] ; [139.7326969 217.2673031],0
b2,1,0.52272,0.408524,[22 40] ; [142 215],[24.2673031 37.7326969] ; [139.7326969 217.2673031],0
u1,1,0.57658,0.311796,[16 83] ; [113 498],[17.98732394 81.01267606] ; [111.01267606 499.98732394],0
d2,1,0.603501,0.269748,[44 53] ; [294 316],[46.37340877 50.62659123] ; [291.62659123 318.37340877],0
a4,1,0.783003,0.075849,[43 56] ; [274 336],[44.26375176 54.73624824] ; [272.73624824 337.26375176],0
p1,1,0.808665,0.058636,[ 9 90] ; [ 51 559],[ 8.37799718 90.62200282] ; [ 51.62200282 558.37799718],0
n3,1,0.819729,0.051935,[23  8] ; [80 25],[23.47794118  7.52205882] ; [79.52205882 25.47794118],0
b4,1,0.821422,0.050948,[56 43] ; [353 258],[57.02957746 41.97042254] ; [351.97042254 259.02957746],0
s2,1,0.878504,0.023368,[52 45] ; [331 277],[52.6964539 44.3035461] ; [330.3035461 277.6964539],0
u4,1,0.87968,0.022914,[ 2 97] ; [ 11 600],[ 1.81267606 97.18732394] ; [ 11.18732394 599.81267606],0
u2,1,0.898894,0.016144,[20 14] ; [96 64],[20.32989691 13.67010309] ; [95.67010309 64.32989691],0
u3,1,0.971465,0.00128,[20 14] ; [93 66],[19.90673575 14.09326425] ; [93.09326425 65.90673575],0
s8,1,0.998279,5e-06,[47 51] ; [292 317],[46.99009901 51.00990099] ; [292.00990099 316.99009901],0
