Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.625008,[ 6 20] ; [65 20],[16.63063063  9.36936937] ; [54.36936937 30.63063063],1
b1,1,6e-06,20.442672,[22  4] ; [29 56],[11.94594595 14.05405405] ; [39.05405405 45.94594595],1
p10,1,0.001064,10.713501,[12 13] ; [68 16],[18.34862385  6.65137615] ; [61.65137615 22.34862385],0
r2,1,0.002023,9.528171,[14 10] ; [72 11],[19.28971963  4.71028037] ; [66.71028037 16.28971963],0
v3,1,0.00363,8.460325,[ 2 23] ; [33 52],[ 7.95454545 17.04545455] ; [27.04545455 57.95454545],0
p8,1,0.018906,5.510204,[ 9 15] ; [54 30],[14. 10.] ; [49. 35.],0
u2,1,0.019042,5.497666,[10  2] ; [15 19],[6.52173913 5.47826087] ; [18.47826087 15.52173913],0
p3,1,0.019515,5.454775,[ 9 16] ; [53 32],[14.09090909 10.90909091] ; [47.90909091 37.09090909],0
n4,1,0.022383,5.215802,[12 14] ; [60 25],[16.86486486  9.13513514] ; [55.13513514 29.86486486],0
p9,1,0.026194,4.943197,[16 10] ; [70 15],[20.14414414  5.85585586] ; [65.85585586 19.14414414],0
p2,1,0.031737,4.612628,[16  8] ; [73 12],[19.59633028  4.40366972] ; [69.40366972 15.59633028],0
v4,1,0.031844,4.606895,[19  6] ; [78  7],[22.04545455  2.95454545] ; [74.95454545 10.04545455],0
b2,1,0.055222,3.675372,[ 2 17] ; [18 36],[ 5.20547945 13.79452055] ; [14.79452055 39.20547945],0
b3,1,0.055222,3.675372,[ 2 17] ; [18 36],[ 5.20547945 13.79452055] ; [14.79452055 39.20547945],0
p11,1,0.061816,3.48799,[15 11] ; [65 20],[18.73873874  7.26126126] ; [61.26126126 23.73873874],0
d3,1,0.067026,3.354398,[10 15] ; [51 33],[13.99082569 11.00917431] ; [47.00917431 36.99082569],0
u3,1,0.098025,2.737379,[7 5] ; [11 24],[4.59574468 7.40425532] ; [13.40425532 21.59574468],0
a7,1,0.098171,2.735012,[11 15] ; [51 33],[14.65454545 11.34545455] ; [47.34545455 36.65454545],0
r3,1,0.103097,2.656968,[20  6] ; [76  9],[22.48648649  3.51351351] ; [73.51351351 11.48648649],0
n5,1,0.143259,2.1426,[14 12] ; [59 26],[17.0990991  8.9009009] ; [55.9009009 29.0990991],0
v1,1,0.167281,1.907145,[ 8 17] ; [40 44],[11.00917431 13.99082569] ; [36.99082569 47.00917431],0
n3,1,0.176827,1.82409,[10  1] ; [19  8],[8.39473684 2.60526316] ; [20.60526316  6.39473684],0
s8,1,0.226667,1.461654,[ 7 19] ; [34 51],[ 9.6036036 16.3963964] ; [31.3963964 53.6036036],0
b4,1,0.355633,0.853255,[12 14] ; [48 37],[14.05405405 11.94594595] ; [45.94594595 39.05405405],0
a4,1,0.360422,0.836421,[ 5 21] ; [24 61],[ 6.79279279 19.20720721] ; [22.20720721 62.79279279],0
p1,1,0.362924,0.827748,[ 1 25] ; [ 8 77],[ 2.10810811 23.89189189] ; [ 6.89189189 78.10810811],0
d5,1,0.405262,0.692657,[16 10] ; [59 25],[17.72727273  8.27272727] ; [57.27272727 26.72727273],0
a5,1,0.413749,0.668003,[12 14] ; [47 38],[13.81981982 12.18018018] ; [45.18018018 39.81981982],0
