Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,62.687942,[99 60] ; [ 1 57],[73.2718894 85.7281106] ; [26.7281106 31.2718894],1
d5,1,0.0,45.676787,[136  23] ; [23 35],[116.50230415  42.49769585] ; [42.49769585 15.50230415],1
a3,1,0.0,27.386293,[127  32] ; [25 33],[111.37327189  47.62672811] ; [40.62672811 17.37327189],1
a5,1,1e-06,25.11257,[125  34] ; [25 33],[109.9078341  49.0921659] ; [40.0921659 17.9078341],1
d3,1,6e-06,20.509666,[82 77] ; [10 48],[67.41013825 91.58986175] ; [24.58986175 33.41013825],1
p9,1,0.000219,13.659206,[140  16] ; [40 18],[131.21495327  24.78504673] ; [48.78504673  9.21495327],1
a4,1,0.002263,9.322792,[79 80] ; [15 42],[69.19444444 89.80555556] ; [24.80555556 32.19444444],0
s5,1,0.002424,9.197176,[65 86] ; [11 44],[55.70873786 95.29126214] ; [20.29126214 34.70873786],0
r3,1,0.002674,9.017578,[152   6] ; [49  9],[147.02777778  10.97222222] ; [53.97222222  4.02777778],0
v2,1,0.003075,8.762335,[84 69] ; [17 37],[74.65217391 78.34782609] ; [26.34782609 27.65217391],0
s7,1,0.004429,8.099097,[88 66] ; [20 37],[78.82464455 75.17535545] ; [29.17535545 27.82464455],0
s1,1,0.005806,7.609512,[  2 155] ; [ 5 51],[  5.15962441 151.84037559] ; [ 1.84037559 54.15962441],0
v3,1,0.006292,7.464612,[65 90] ; [12 44],[56.56398104 98.43601896] ; [20.43601896 35.56398104],0
r1,1,0.006313,7.458838,[123  36] ; [34 24],[115.03686636  43.96313364] ; [41.96313364 16.03686636],0
b2,1,0.008398,6.946546,[55 55] ; [10 29],[47.98657718 62.01342282] ; [17.01342282 21.98657718],0
b3,1,0.008398,6.946546,[55 55] ; [10 29],[47.98657718 62.01342282] ; [17.01342282 21.98657718],0
n4,1,0.008639,6.896053,[130  28] ; [38 20],[122.88888889  35.11111111] ; [45.11111111 12.88888889],0
d2,1,0.009885,6.65549,[83 75] ; [19 39],[74.61111111 83.38888889] ; [27.38888889 30.61111111],0
v1,1,0.010322,6.578547,[90 64] ; [22 35],[81.74407583 72.25592417] ; [30.25592417 26.74407583],0
r4,1,0.012687,6.212229,[138  21] ; [42 16],[131.88940092  27.11059908] ; [48.11059908  9.88940092],0
p10,1,0.013124,6.152328,[130  25] ; [39 18],[123.56132075  31.43867925] ; [45.43867925 11.56132075],0
s2,1,0.01606,5.796326,[82 76] ; [19 38],[74.22325581 83.77674419] ; [26.77674419 30.22325581],0
n6,1,0.020571,5.362791,[135  22] ; [42 16],[129.25116279  27.74883721] ; [47.74883721 10.25116279],0
p7,1,0.022402,5.214326,[105  48] ; [30 28],[97.89099526 55.10900474] ; [37.10900474 20.89099526],0
s8,1,0.023069,5.163325,[82 76] ; [20 38],[74.61111111 83.38888889] ; [27.38888889 30.61111111],0
p2,1,0.042974,4.096425,[126  28] ; [40 18],[120.58490566  33.41509434] ; [45.41509434 12.58490566],0
p3,1,0.044943,4.020763,[81 76] ; [21 37],[74.48372093 82.51627907] ; [27.51627907 30.48372093],0
p4,1,0.090129,2.872065,[87 68] ; [25 33],[81.50234742 73.49765258] ; [30.49765258 27.50234742],0
p6,1,0.13443,2.240586,[58 92] ; [16 42],[53.36538462 96.63461538] ; [20.63461538 37.36538462],0
n3,1,0.140013,2.177812,[22 12] ; [19  4],[24.45614035  9.54385965] ; [16.54385965  6.45614035],0
s3,1,0.167781,1.902661,[93 65] ; [27 29],[88.59813084 69.40186916] ; [31.40186916 24.59813084],0
a1,1,0.174891,1.840513,[ 10 149] ; [ 1 57],[  8.05990783 150.94009217] ; [ 2.94009217 55.05990783],0
p8,1,0.183376,1.770047,[79 74] ; [24 34],[74.68720379 78.31279621] ; [28.31279621 29.68720379],0
n5,1,0.185978,1.749193,[126  30] ; [42 16],[122.46728972  33.53271028] ; [45.53271028 12.46728972],0
b4,1,0.219183,1.50971,[81 78] ; [35 23],[84.99539171 74.00460829] ; [31.00460829 26.99539171],0
p1,1,0.234219,1.415057,[ 11 146] ; [ 7 51],[ 13.14418605 143.85581395] ; [ 4.85581395 53.14418605],0
v4,1,0.286004,1.138339,[143  16] ; [53  3],[144.94883721  14.05116279] ; [51.05116279  4.94883721],0
a6,1,0.289817,1.12047,[64 95] ; [28 30],[67.41013825 91.58986175] ; [24.58986175 33.41013825],0
s6,1,0.318161,0.996489,[100  53] ; [33 24],[96.9 56.1] ; [36.1 20.9],0
a2,1,0.378157,0.776686,[ 14 145] ; [ 3 55],[ 12.4562212 146.5437788] ; [ 4.5437788 53.4562212],0
s4,1,0.383007,0.761027,[ 27 130] ; [13 45],[ 29.20930233 127.79069767] ; [10.79069767 47.20930233],0
u3,1,0.389796,0.73958,[16 16] ; [13 20],[14.27692308 17.72307692] ; [14.72307692 18.27692308],0
a8,1,0.461619,0.541965,[ 15 138] ; [ 7 45],[ 16.4195122 136.5804878] ; [ 5.5804878 46.4195122],0
r2,1,0.464696,0.534559,[143  14] ; [50  7],[141.59345794  15.40654206] ; [51.40654206  5.59345794],0
b5,1,0.484457,0.488813,[71 88] ; [29 29],[73.2718894 85.7281106] ; [26.7281106 31.2718894],0
p5,1,0.531608,0.391317,[ 21 134] ; [ 6 52],[ 19.64788732 135.35211268] ; [ 7.35211268 50.64788732],0
p12,1,0.598809,0.276796,[ 10 143] ; [ 5 53],[ 10.87677725 142.12322275] ; [ 4.12322275 53.87677725],0
u1,1,0.758989,0.094132,[ 10 149] ; [ 3 55],[  9.52534562 149.47465438] ; [ 3.47465438 54.52534562],0
u2,1,0.776708,0.080436,[18 13] ; [18 15],[17.4375 13.5625] ; [18.5625 14.4375],0
b1,1,0.78635,0.07347,[68 91] ; [26 32],[68.87557604 90.12442396] ; [25.12442396 32.87557604],0
n1,1,0.884697,0.02103,[15 20] ; [ 9 13],[14.73684211 20.26315789] ; [ 9.26315789 12.73684211],0
n2,1,0.920439,0.009976,[27  8] ; [18  5],[27.15517241  7.84482759] ; [17.84482759  5.15517241],0
