Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.00039,12.580755,[32 16] ; [ 8 23],[24.30379747 23.69620253] ; [15.69620253 15.30379747],1
v4,1,0.002026,9.525602,[42  6] ; [17 13],[36.30769231 11.69230769] ; [22.69230769  7.30769231],0
p9,1,0.008541,6.916296,[27 19] ; [ 8 21],[21.46666667 24.53333333] ; [13.53333333 15.46666667],0
u2,1,0.018242,5.572755,[ 3 16] ; [9 8],[ 6.33333333 12.66666667] ; [ 5.66666667 11.33333333],0
s6,1,0.023368,5.140967,[26 20] ; [ 9 21],[21.18421053 24.81578947] ; [13.81578947 16.18421053],0
s8,1,0.023384,5.13973,[17 30] ; [ 4 27],[12.65384615 34.34615385] ; [ 8.34615385 22.65384615],0
n5,1,0.044724,4.029023,[34 14] ; [15 16],[29.7721519 18.2278481] ; [19.2278481 11.7721519],0
s5,1,0.051485,3.792433,[16 31] ; [ 4 25],[12.36842105 34.63157895] ; [ 7.63157895 21.36842105],0
p8,1,0.076083,3.146648,[18 29] ; [ 6 25],[14.46153846 32.53846154] ; [ 9.53846154 21.46153846],0
r4,1,0.088679,2.8982,[31 17] ; [14 17],[27.34177215 20.65822785] ; [17.65822785 13.34177215],0
r3,1,0.098092,2.736287,[35 13] ; [17 14],[31.59493671 16.40506329] ; [20.40506329 10.59493671],0
p2,1,0.126832,2.330857,[28 19] ; [13 18],[24.70512821 22.29487179] ; [16.29487179 14.70512821],0
p10,1,0.145253,2.121411,[23 25] ; [ 9 20],[19.94805195 28.05194805] ; [12.05194805 16.94805195],0
n4,1,0.146726,2.105959,[34 14] ; [17 14],[30.98734177 17.01265823] ; [20.01265823 10.98734177],0
a3,1,0.150615,2.066011,[29 18] ; [14 17],[25.91025641 21.08974359] ; [17.08974359 13.91025641],0
d5,1,0.154083,2.031358,[31 17] ; [15 16],[27.94936709 20.05063291] ; [18.05063291 12.94936709],0
a5,1,0.179392,1.802654,[26 22] ; [12 19],[23.08860759 24.91139241] ; [14.91139241 16.08860759],0
u3,1,0.195815,1.673318,[ 5 14] ; [8 9],[ 6.86111111 12.13888889] ; [ 6.13888889 10.86111111],0
p7,1,0.20839,1.582576,[23 23] ; [11 20],[20.31168831 25.68831169] ; [13.68831169 17.31168831],0
s4,1,0.214267,1.54236,[ 7 41] ; [ 8 23],[ 9.11392405 38.88607595] ; [ 5.88607595 25.11392405],0
b4,1,0.21607,1.530281,[30 18] ; [15 16],[27.34177215 20.65822785] ; [17.65822785 13.34177215],0
a8,1,0.233692,1.418247,[ 5 41] ; [ 1 29],[ 3.63157895 42.36842105] ; [ 2.36842105 27.63157895],0
s7,1,0.239612,1.382876,[17 28] ; [ 6 19],[14.78571429 30.21428571] ; [ 8.21428571 16.78571429],0
b1,1,0.255292,1.294112,[28 20] ; [22  9],[30.37974684 17.62025316] ; [19.62025316 11.37974684],0
p4,1,0.283143,1.15194,[22 24] ; [11 20],[19.71428571 26.28571429] ; [13.28571429 17.71428571],0
p6,1,0.301522,1.06745,[12 34] ; [ 5 26],[10.15584416 35.84415584] ; [ 6.84415584 24.15584416],0
d1,1,0.307053,1.04331,[21 27] ; [10 21],[18.83544304 29.16455696] ; [12.16455696 18.83544304],0
b3,1,0.309108,1.034483,[ 8 19] ; [ 8 10],[ 9.6 17.4] ; [ 6.4 11.6],0
b2,1,0.309108,1.034483,[ 8 19] ; [ 8 10],[ 9.6 17.4] ; [ 6.4 11.6],0
a1,1,0.309587,1.032438,[ 3 45] ; [ 4 27],[ 4.25316456 43.74683544] ; [ 2.74683544 28.25316456],0
r1,1,0.335452,0.927736,[27 21] ; [14 17],[24.91139241 23.08860759] ; [16.08860759 14.91139241],0
v2,1,0.350835,0.870434,[20 28] ; [ 9 20],[18.07792208 29.92207792] ; [10.92207792 18.07792208],0
p5,1,0.351064,0.869608,[ 4 43] ; [ 1 30],[ 3.01282051 43.98717949] ; [ 1.98717949 29.01282051],0
v3,1,0.364815,0.82125,[17 30] ; [ 7 20],[15.24324324 31.75675676] ; [ 8.75675676 18.24324324],0
a6,1,0.378098,0.776876,[14 34] ; [12 19],[15.79746835 32.20253165] ; [10.20253165 20.79746835],0
v1,1,0.399927,0.708547,[18 29] ; [ 9 22],[16.26923077 30.73076923] ; [10.73076923 20.26923077],0
p3,1,0.399927,0.708547,[18 29] ; [ 9 22],[16.26923077 30.73076923] ; [10.73076923 20.26923077],0
s2,1,0.509536,0.43502,[19 29] ; [10 21],[17.62025316 30.37974684] ; [11.37974684 19.62025316],0
s3,1,0.522186,0.409574,[20 27] ; [15 15],[21.36363636 25.63636364] ; [13.63636364 16.36363636],0
a2,1,0.549415,0.358367,[ 3 45] ; [ 1 30],[ 2.43037975 45.56962025] ; [ 1.56962025 29.43037975],0
n3,1,0.556732,0.345395,[10 10] ; [9 6],[10.85714286  9.14285714] ; [8.14285714 6.85714286],0
d4,1,0.621511,0.24375,[33 15] ; [19 11],[32. 16.] ; [20. 10.],0
d3,1,0.657372,0.196732,[21 27] ; [12 19],[20.05063291 27.94936709] ; [12.94936709 18.05063291],0
a4,1,0.674123,0.176817,[16 31] ; [12 19],[16.87179487 30.12820513] ; [11.12820513 19.87179487],0
n2,1,0.728532,0.120464,[13  8] ; [9 7],[12.48648649  8.51351351] ; [9.51351351 6.48648649],0
n1,1,0.728532,0.120464,[ 8 13] ; [7 9],[ 8.51351351 12.48648649] ; [6.48648649 9.51351351],0
p1,1,0.757876,0.095031,[ 4 44] ; [ 2 29],[ 3.64556962 44.35443038] ; [ 2.35443038 28.64556962],0
s1,1,0.757876,0.095031,[ 4 44] ; [ 2 29],[ 3.64556962 44.35443038] ; [ 2.35443038 28.64556962],0
u1,1,0.830832,0.04564,[ 2 46] ; [ 1 30],[ 1.82278481 46.17721519] ; [ 1.17721519 29.82278481],0
r2,1,0.831955,0.045026,[37 10] ; [23  7],[36.62337662 10.37662338] ; [23.37662338  6.62337662],0
d2,1,0.891322,0.018668,[22 25] ; [15 16],[22.29487179 24.70512821] ; [14.70512821 16.29487179],0
