Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.000166,14.176659,[ 7 22] ; [17  5],[13.64705882 15.35294118] ; [10.35294118 11.64705882],1
n6,1,0.000189,13.93902,[ 7 23] ; [16  5],[13.52941176 16.47058824] ; [ 9.47058824 11.52941176],1
r3,1,0.000216,13.688997,[10 20] ; [18  3],[16.47058824 13.52941176] ; [11.52941176  9.47058824],1
p10,1,0.001863,9.679634,[ 6 23] ; [14  8],[11.37254902 17.62745098] ; [ 8.62745098 13.37254902],0
p2,1,0.001971,9.576667,[ 7 23] ; [14  7],[12.35294118 17.64705882] ; [ 8.64705882 12.35294118],0
n3,1,0.017762,5.619444,[ 4 11] ; [5 1],[6.42857143 8.57142857] ; [2.57142857 3.42857143],0
p8,1,0.027759,4.843003,[ 4 25] ; [ 9 13],[ 7.39215686 21.60784314] ; [ 5.60784314 16.39215686],0
d5,1,0.03499,4.445668,[13 17] ; [16  6],[16.73076923 13.26923077] ; [12.26923077  9.73076923],0
s6,1,0.039142,4.254688,[ 5 25] ; [ 9 12],[ 8.23529412 21.76470588] ; [ 5.76470588 15.23529412],0
v2,1,0.059063,3.563491,[ 6 23] ; [10 12],[ 9.09803922 19.90196078] ; [ 6.90196078 15.09803922],0
v3,1,0.106712,2.602251,[ 6 24] ; [ 1 21],[ 4.03846154 25.96153846] ; [ 2.96153846 19.03846154],0
b3,1,0.12471,2.357143,[ 9 12] ; [ 2 10],[ 7. 14.] ; [4. 8.],0
b2,1,0.12471,2.357143,[ 9 12] ; [ 2 10],[ 7. 14.] ; [4. 8.],0
d1,1,0.159445,1.979481,[ 8 22] ; [10 12],[10.38461538 19.61538462] ; [ 7.61538462 14.38461538],0
u3,1,0.160581,1.96875,[ 1 15] ; [3 9],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
p5,1,0.180141,1.796463,[ 1 28] ; [ 3 19],[ 2.2745098 26.7254902] ; [ 1.7254902 20.2745098],0
r4,1,0.188742,1.727409,[ 6 24] ; [ 8 14],[ 8.07692308 21.92307692] ; [ 5.92307692 16.07692308],0
n5,1,0.189579,1.720886,[18 12] ; [17  5],[20.19230769  9.80769231] ; [14.80769231  7.19230769],0
p6,1,0.199913,1.643014,[ 3 26] ; [ 5 16],[ 4.64 24.36] ; [ 3.36 17.64],0
p4,1,0.279394,1.170033,[ 8 22] ; [ 9 13],[ 9.80769231 20.19230769] ; [ 7.19230769 14.80769231],0
p3,1,0.330879,0.945455,[ 6 24] ; [ 7 15],[ 7.5 22.5] ; [ 5.5 16.5],0
b5,1,0.375664,0.784844,[14 16] ; [13  9],[15.57692308 14.42307692] ; [11.42307692 10.57692308],0
s2,1,0.376352,0.782586,[ 4 26] ; [ 5 17],[ 5.19230769 24.80769231] ; [ 3.80769231 18.19230769],0
u2,1,0.377822,0.777778,[ 3 13] ; [4 8],[ 4. 12.] ; [3. 9.],0
