Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.001953,9.593001,[15 10] ; [26 70],[ 8.47107438 16.52892562] ; [32.52892562 63.47107438],0
b3,1,0.002468,9.164491,[9 7] ; [10 45],[ 4.28169014 11.71830986] ; [14.71830986 40.28169014],0
b2,1,0.002468,9.164491,[9 7] ; [10 45],[ 4.28169014 11.71830986] ; [14.71830986 40.28169014],0
v1,1,0.004236,8.179859,[17  7] ; [36 58],[10.77966102 13.22033898] ; [42.22033898 51.77966102],0
s4,1,0.006908,7.296657,[ 8 17] ; [10 86],[ 3.71900826 21.28099174] ; [14.28099174 81.71900826],0
s7,1,0.011407,6.400745,[13 10] ; [25 63],[ 7.87387387 15.12612613] ; [30.12612613 57.87387387],0
s6,1,0.015577,5.850014,[19  6] ; [47 49],[13.63636364 11.36363636] ; [52.36363636 43.63636364],0
s2,1,0.020638,5.357143,[15  9] ; [35 61],[10. 14.] ; [40. 56.],0
p5,1,0.023338,5.143206,[ 3 21] ; [ 2 93],[ 1.00840336 22.99159664] ; [ 3.99159664 91.00840336],0
p6,1,0.031786,4.610001,[ 9 14] ; [17 76],[ 5.15517241 17.84482759] ; [20.84482759 72.15517241],0
p12,1,0.042059,4.132844,[ 2 22] ; [ 1 94],[ 0.60504202 23.39495798] ; [ 2.39495798 92.60504202],0
a1,1,0.046264,3.97195,[ 2 23] ; [ 1 95],[ 0.61983471 24.38016529] ; [ 2.38016529 93.61983471],0
s3,1,0.049362,3.863006,[17  7] ; [46 49],[12.70588235 11.29411765] ; [50.29411765 44.70588235],0
p3,1,0.064078,3.428571,[14 10] ; [36 60],[10. 14.] ; [40. 56.],0
a6,1,0.086018,2.947368,[14 11] ; [70 25],[17.5  7.5] ; [66.5 28.5],0
p9,1,0.087485,2.920055,[20  4] ; [62 33],[16.53781513  7.46218487] ; [65.46218487 29.53781513],0
d4,1,0.106555,2.604593,[23  2] ; [73 21],[20.16806723  4.83193277] ; [75.83193277 18.16806723],0
