Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-05,18.181658,[61 28] ; [281  40],[74.23902439 14.76097561] ; [267.76097561  53.23902439],1
s5,1,4.8e-05,16.529847,[54 29] ; [125 187],[37.61265823 45.38734177] ; [141.38734177 170.61265823],1
n5,1,0.000769,11.313938,[61 28] ; [270  50],[72.02689487 16.97310513] ; [258.97310513  61.02689487],1
s2,1,0.001947,9.598896,[77 12] ; [226  96],[65.61313869 23.38686131] ; [237.38686131  84.61313869],0
a8,1,0.002371,9.237208,[ 5 77] ; [ 59 229],[14.18378378 67.81621622] ; [ 49.81621622 238.18378378],0
v2,1,0.003919,8.321023,[41 46] ; [201 112],[52.635 34.365] ; [189.365 123.635],0
b3,1,0.009135,6.796249,[14 39] ; [109 128],[22.47931034 30.52068966] ; [100.52068966 136.47931034],0
b2,1,0.009135,6.796249,[14 39] ; [109 128],[22.47931034 30.52068966] ; [100.52068966 136.47931034],0
v3,1,0.016548,5.743723,[31 57] ; [153 155],[40.88888889 47.11111111] ; [143.11111111 164.88888889],0
n1,1,0.023021,5.166888,[ 7 15] ; [40 27],[11.61797753 10.38202247] ; [35.38202247 31.61797753],0
r1,1,0.035647,4.413914,[69 20] ; [278  43],[75.32439024 13.67560976] ; [271.67560976  49.32439024],0
s6,1,0.049355,3.863231,[79  8] ; [261  57],[73.03703704 13.96296296] ; [266.96296296  51.03703704],0
v4,1,0.049464,3.859529,[83  5] ; [316   6],[85.63902439  2.36097561] ; [313.36097561   8.63902439],0
v1,1,0.057271,3.614702,[44 45] ; [190 123],[51.80597015 37.19402985] ; [182.19402985 130.80597015],0
r4,1,0.071081,3.257887,[80  9] ; [307  16],[83.59951456  5.40048544] ; [303.40048544  19.59951456],0
s3,1,0.07132,3.252372,[74 15] ; [235  83],[67.57002457 21.42997543] ; [241.42997543  76.57002457],0
n6,1,0.074643,3.177852,[74 15] ; [287  32],[78.74754902 10.25245098] ; [282.25245098  36.74754902],0
p5,1,0.077166,3.123607,[ 9 80] ; [ 57 261],[14.43243243 74.56756757] ; [ 51.56756757 266.43243243],0
n3,1,0.082124,3.022355,[19  3] ; [45 22],[15.82022472  6.17977528] ; [48.17977528 18.82022472],0
a5,1,0.110206,2.551261,[65 24] ; [261  62],[70.4223301 18.5776699] ; [255.5776699  67.4223301],0
d3,1,0.124425,2.360711,[70 19] ; [226  95],[64.25365854 24.74634146] ; [231.74634146  89.25365854],0
u4,1,0.128,2.316597,[ 1 88] ; [ 15 308],[ 3.45631068 85.54368932] ; [ 12.54368932 310.45631068],0
r3,1,0.184359,1.762129,[83  5] ; [314   9],[85.00243309  2.99756691] ; [311.99756691  11.00243309],0
