Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,40.8,[22 42] ; [63  9],[40. 24.] ; [45. 27.],1
p7,1,0.0,28.548786,[24 36] ; [61 11],[38.63636364 21.36363636] ; [46.36363636 25.63636364],1
p6,1,0.000207,13.770344,[14 49] ; [38 33],[24.44776119 38.55223881] ; [27.55223881 43.44776119],1
p10,1,0.000465,12.250975,[40 23] ; [64  8],[48.53333333 14.46666667] ; [55.46666667 16.53333333],1
p2,1,0.000714,11.451438,[47 17] ; [68  4],[54.11764706  9.88235294] ; [60.88235294 11.11764706],1
p9,1,0.001596,9.963861,[41 19] ; [65  7],[48.18181818 11.81818182] ; [57.81818182 14.18181818],0
v3,1,0.003268,8.651309,[14 48] ; [33 37],[22.07575758 39.92424242] ; [24.92424242 45.07575758],0
p8,1,0.003622,8.464248,[21 40] ; [43 29],[29.35338346 31.64661654] ; [34.64661654 37.35338346],0
s1,1,0.009162,6.791038,[ 8 55] ; [ 1 70],[ 4.23134328 58.76865672] ; [ 4.76865672 66.23134328],0
p5,1,0.042503,4.115079,[ 3 61] ; [11 61],[ 6.58823529 57.41176471] ; [ 7.41176471 64.58823529],0
r4,1,0.050267,3.832528,[50 14] ; [65  7],[54.11764706  9.88235294] ; [60.88235294 11.11764706],0
s5,1,0.070241,3.277374,[18 44] ; [31 39],[23.01515152 38.98484848] ; [25.98484848 44.01515152],0
p11,1,0.07509,3.168097,[43 21] ; [58 14],[47.52941176 16.47058824] ; [53.47058824 18.52941176],0
p12,1,0.077801,3.110252,[ 1 62] ; [ 6 66],[ 3.26666667 59.73333333] ; [ 3.73333333 68.26666667],0
r3,1,0.092806,2.82502,[56  6] ; [70  2],[58.29850746  3.70149254] ; [67.70149254  4.29850746],0
n5,1,0.112382,2.520407,[41 22] ; [55 16],[45.13432836 17.86567164] ; [50.86567164 20.13432836],0
v4,1,0.137483,2.205907,[54  8] ; [68  4],[56.44776119  5.55223881] ; [65.55223881  6.44776119],0
v1,1,0.165519,1.923071,[24 38] ; [36 35],[27.96992481 34.03007519] ; [32.03007519 38.96992481],0
v2,1,0.181314,1.786821,[29 33] ; [42 30],[32.85074627 29.14925373] ; [38.14925373 33.85074627],0
d4,1,0.206431,1.596284,[49 14] ; [62 10],[51.8 11.2] ; [59.2 12.8],0
d3,1,0.210163,1.5703,[42 21] ; [55 17],[45.26666667 17.73333333] ; [51.73333333 20.26666667],0
d5,1,0.211989,1.557791,[47 16] ; [60 12],[49.93333333 13.06666667] ; [57.06666667 14.93333333],0
r1,1,0.230276,1.439153,[48 16] ; [60 12],[50.82352941 13.17647059] ; [57.17647059 14.82352941],0
n6,1,0.279255,1.17071,[48 14] ; [61 11],[50.43283582 11.56716418] ; [58.56716418 13.43283582],0
