Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,2e-06,22.608941,[  9 160] ; [3 2],[ 11.65517241 157.34482759] ; [0.34482759 4.65517241],1
s1,1,0.001758,9.786899,[  9 159] ; [2 3],[ 10.68208092 157.31791908] ; [0.31791908 4.68208092],0
p8,1,0.012992,6.170244,[ 48 121] ; [4 1],[ 50.50574713 118.49425287] ; [1.49425287 3.50574713],0
s3,1,0.049634,3.853787,[ 61 105] ; [4 1],[ 63.0994152 102.9005848] ; [1.9005848 3.0994152],0
s6,1,0.059636,3.547487,[ 65 105] ; [4 1],[ 67.02857143 102.97142857] ; [1.97142857 3.02857143],0
s7,1,0.066418,3.369392,[ 38 121] ; [3 2],[ 39.75 119.25] ; [1.25 3.75],0
a6,1,0.070377,3.274204,[102  67] ; [1 4],[100.04022989  68.95977011] ; [2.95977011 2.04022989],0
u1,1,0.082993,3.005292,[ 22 148] ; [2 3],[ 23.31428571 146.68571429] ; [0.68571429 4.31428571],0
d1,1,0.118421,2.43808,[76 94] ; [4 1],[77.71428571 92.28571429] ; [2.28571429 2.71428571],0
s8,1,0.220103,1.503697,[ 31 139] ; [2 3],[ 32.05714286 137.94285714] ; [0.94285714 4.05714286],0
p11,1,0.251688,1.313912,[78 92] ; [1 4],[76.74285714 93.25714286] ; [2.25714286 2.74285714],0
a1,1,0.276767,1.182895,[ 12 158] ; [1 4],[ 12.62857143 157.37142857] ; [0.37142857 4.62857143],0
n1,1,0.276843,1.182521,[25 45] ; [2 1],[25.89041096 44.10958904] ; [1.10958904 1.89041096],0
p6,1,0.336345,0.924315,[ 36 129] ; [2 3],[ 36.88235294 128.11764706] ; [1.11764706 3.88235294],0
d3,1,0.336826,0.922474,[99 70] ; [4 1],[100.04022989  68.95977011] ; [2.95977011 2.04022989],0
a3,1,0.344151,0.894907,[99 69] ; [4 1],[100.02312139  67.97687861] ; [2.97687861 2.02312139],0
p7,1,0.351253,0.868926,[ 66 102] ; [3 2],[ 67.00578035 100.99421965] ; [1.99421965 3.00578035],0
a8,1,0.369385,0.805732,[ 13 141] ; [1 4],[ 13.55974843 140.44025157] ; [0.44025157 4.55974843],0
b5,1,0.393407,0.728384,[104  66] ; [4 1],[104.91428571  65.08571429] ; [3.08571429 1.91428571],0
a4,1,0.396521,0.71885,[ 65 103] ; [1 4],[ 64.09248555 103.90751445] ; [1.90751445 3.09248555],0
a5,1,0.448154,0.575316,[97 73] ; [2 3],[96.17142857 73.82857143] ; [2.82857143 2.17142857],0
s2,1,0.469353,0.523498,[ 43 125] ; [2 3],[ 43.69942197 124.30057803] ; [1.30057803 3.69942197],0
r1,1,0.483953,0.489942,[109  59] ; [4 1],[109.73410405  58.26589595] ; [3.26589595 1.73410405],0
d2,1,0.513742,0.426437,[76 92] ; [3 2],[76.71676301 91.28323699] ; [2.28323699 2.71676301],0
r4,1,0.59385,0.284372,[117  53] ; [4 1],[117.54285714  52.45714286] ; [3.45714286 1.54285714],0
d4,1,0.600605,0.274085,[116  52] ; [4 1],[116.53179191  51.46820809] ; [3.46820809 1.53179191],0
b1,1,0.697216,0.151384,[83 87] ; [2 3],[82.57142857 87.42857143] ; [2.42857143 2.57142857],0
p9,1,0.718552,0.129884,[ 54 113] ; [2 3],[ 54.37209302 112.62790698] ; [1.62790698 3.37209302],0
b2,1,0.728105,0.120858,[34 68] ; [1 3],[33.67924528 68.32075472] ; [1.32075472 2.67924528],0
b3,1,0.728105,0.120858,[34 68] ; [1 3],[33.67924528 68.32075472] ; [1.32075472 2.67924528],0
v3,1,0.781881,0.076656,[ 41 120] ; [1 4],[ 40.73493976 120.26506024] ; [1.26506024 3.73493976],0
r2,1,0.849081,0.036211,[139  28] ; [4 1],[138.84302326  28.15697674] ; [4.15697674 0.84302326],0
p2,1,0.895788,0.017157,[97 73] ; [3 2],[97.14285714 72.85714286] ; [2.85714286 2.14285714],0
b4,1,0.895788,0.017157,[97 73] ; [3 2],[97.14285714 72.85714286] ; [2.85714286 2.14285714],0
a7,1,0.944454,0.004854,[104  65] ; [3 2],[103.92528736  65.07471264] ; [3.07471264 1.92528736],0
r3,1,0.979011,0.000692,[136  33] ; [4 1],[135.97701149  33.02298851] ; [4.02298851 0.97701149],0
v4,1,0.98958,0.000171,[134  34] ; [4 1],[134.01156069  33.98843931] ; [3.98843931 1.01156069],0
