Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7.2e-05,15.752621,[46  7] ; [4 8],[40.76923077 12.23076923] ; [9.23076923 2.76923077],1
a5,1,0.053483,3.728748,[34 20] ; [11  1],[36.81818182 17.18181818] ; [8.18181818 3.81818182],0
s5,1,0.067673,3.338574,[24 29] ; [ 2 10],[21.2 31.8] ; [4.8 7.2],0
p6,1,0.074861,3.173077,[24 30] ; [ 2 10],[21.27272727 32.72727273] ; [4.72727273 7.27272727],0
v3,1,0.116854,2.458995,[22 32] ; [ 2 10],[19.63636364 34.36363636] ; [4.36363636 7.63636364],0
p3,1,0.161379,1.961258,[25 28] ; [3 9],[22.83076923 30.16923077] ; [5.16923077 6.83076923],0
p4,1,0.174712,1.842039,[34 20] ; [5 7],[31.90909091 22.09090909] ; [7.09090909 4.90909091],0
d5,1,0.201754,1.62963,[25 29] ; [8 4],[27. 27.] ; [6. 6.],0
n6,1,0.204747,1.608187,[48  6] ; [9 3],[46.63636364  7.36363636] ; [10.36363636  1.63636364],0
a7,1,0.215272,1.535613,[30 24] ; [9 3],[31.90909091 22.09090909] ; [7.09090909 4.90909091],0
b1,1,0.215272,1.535613,[24 30] ; [3 9],[22.09090909 31.90909091] ; [4.90909091 7.09090909],0
v1,1,0.22251,1.488112,[25 28] ; [8 4],[26.90769231 26.09230769] ; [6.09230769 5.90769231],0
s2,1,0.223309,1.482979,[37 17] ; [6 6],[35.18181818 18.81818182] ; [7.81818182 4.18181818],0
u2,1,0.273322,1.2,[ 9 11] ; [3 1],[10. 10.] ; [2. 2.],0
a6,1,0.365633,0.818452,[33 21] ; [9 3],[34.36363636 19.63636364] ; [7.63636364 4.36363636],0
p1,1,0.391805,0.733333,[10 44] ; [ 1 11],[ 9. 45.] ; [ 2. 10.],0
p2,1,0.391805,0.733333,[44 10] ; [11  1],[45.  9.] ; [10.  2.],0
r1,1,0.407579,0.685851,[38 15] ; [10  2],[39.13846154 13.86153846] ; [8.86153846 3.13846154],0
b5,1,0.481157,0.496241,[30 24] ; [8 4],[31.09090909 22.90909091] ; [6.90909091 5.09090909],0
r2,1,0.496643,0.462104,[51  2] ; [11  1],[50.55384615  2.44615385] ; [11.44615385  0.55384615],0
p7,1,0.498404,0.458333,[37 17] ; [7 5],[36. 18.] ; [8. 4.],0
p11,1,0.602257,0.271605,[40 14] ; [8 4],[39.27272727 14.72727273] ; [8.72727273 3.27272727],0
p10,1,0.642579,0.215385,[46  7] ; [11  1],[46.47692308  6.52307692] ; [10.52307692  1.47692308],0
s6,1,0.654328,0.200487,[42 10] ; [9 3],[41.4375 10.5625] ; [9.5625 2.4375],0
d2,1,0.65855,0.19529,[17 37] ; [3 9],[16.36363636 37.63636364] ; [3.63636364 8.36363636],0
v4,1,0.66884,0.182962,[50  3] ; [10  1],[49.6875  3.3125] ; [10.3125  0.6875],0
d3,1,0.672889,0.178241,[19 35] ; [5 7],[19.63636364 34.36363636] ; [4.36363636 7.63636364],0
s8,1,0.672889,0.178241,[35 19] ; [7 5],[34.36363636 19.63636364] ; [7.63636364 4.36363636],0
p8,1,0.726637,0.122222,[30 24] ; [6 6],[29.45454545 24.54545455] ; [6.54545455 5.45454545],0
b2,1,0.745159,0.105644,[12 27] ; [2 6],[11.61702128 27.38297872] ; [2.38297872 5.61702128],0
b3,1,0.745159,0.105644,[12 27] ; [2 6],[11.61702128 27.38297872] ; [2.38297872 5.61702128],0
a3,1,0.809362,0.058201,[34 20] ; [8 4],[34.36363636 19.63636364] ; [7.63636364 4.36363636],0
a8,1,0.813825,0.055458,[ 7 43] ; [ 2 10],[ 7.25806452 42.74193548] ; [ 1.74193548 10.25806452],0
b4,1,0.816126,0.054071,[25 29] ; [6 6],[25.36363636 28.63636364] ; [5.63636364 6.36363636],0
v2,1,0.819984,0.051786,[24 29] ; [5 7],[23.64615385 29.35384615] ; [5.35384615 6.64615385],0
s3,1,0.831229,0.045423,[37 16] ; [8 4],[36.69230769 16.30769231] ; [8.30769231 3.69230769],0
s4,1,0.845053,0.038194,[15 39] ; [3 9],[14.72727273 39.27272727] ; [3.27272727 8.72727273],0
u3,1,0.854632,0.033566,[11  9] ; [2 2],[10.83333333  9.16666667] ; [2.16666667 1.83333333],0
p9,1,0.880413,0.022634,[44 10] ; [10  2],[44.18181818  9.81818182] ; [9.81818182 2.18181818],0
n3,1,0.904552,0.014379,[14  4] ; [3 1],[13.90909091  4.09090909] ; [3.09090909 0.90909091],0
d1,1,0.912692,0.012022,[ 4 50] ; [ 1 11],[ 4.09090909 49.90909091] ; [ 0.90909091 11.09090909],0
n1,1,0.915605,0.01123,[9 8] ; [2 2],[8.9047619 8.0952381] ; [2.0952381 1.9047619],0
a2,1,0.919613,0.010185,[ 5 49] ; [ 1 11],[ 4.90909091 49.09090909] ; [ 1.09090909 10.90909091],0
a4,1,0.947103,0.004402,[14 40] ; [3 9],[13.90909091 40.09090909] ; [3.09090909 8.90909091],0
