Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,5e-06,21.001705,[ 4 26] ; [18  6],[12.22222222 17.77777778] ; [ 9.77777778 14.22222222],1
p2,1,0.002348,9.255099,[ 6 24] ; [14  9],[11.32075472 18.67924528] ; [ 8.67924528 14.32075472],0
p7,1,0.006839,7.314822,[ 3 27] ; [10 14],[ 7.22222222 22.77777778] ; [ 5.77777778 18.22222222],0
p11,1,0.008752,6.872727,[ 7 23] ; [14 10],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
a5,1,0.010112,6.615,[12 18] ; [18  6],[16.66666667 13.33333333] ; [13.33333333 10.66666667],0
r3,1,0.013962,6.042954,[12 18] ; [17  6],[16.41509434 13.58490566] ; [12.58490566 10.41509434],0
p6,1,0.017524,5.64314,[ 1 28] ; [ 6 17],[ 3.90384615 25.09615385] ; [ 3.09615385 19.90384615],0
p4,1,0.018234,5.573571,[ 4 26] ; [10 14],[ 7.77777778 22.22222222] ; [ 6.22222222 17.77777778],0
n2,1,0.028887,4.774306,[ 5 11] ; [5 1],[7.27272727 8.72727273] ; [2.72727273 3.27272727],0
n3,1,0.038214,4.295455,[ 5 10] ; [5 1],[7.14285714 7.85714286] ; [2.85714286 3.14285714],0
n1,1,0.055511,3.666667,[ 6 10] ; [5 1],[8. 8.] ; [3. 3.],0
n6,1,0.068745,3.312746,[12 18] ; [15  8],[15.28301887 14.71698113] ; [11.71698113 11.28301887],0
p3,1,0.078983,3.085714,[ 4 26] ; [ 8 16],[ 6.66666667 23.33333333] ; [ 5.33333333 18.66666667],0
n5,1,0.131836,2.270747,[18 12] ; [19  5],[20.55555556  9.44444444] ; [16.44444444  7.55555556],0
b5,1,0.161305,1.961951,[13 17] ; [15  9],[15.55555556 14.44444444] ; [12.44444444 11.55555556],0
s3,1,0.167937,1.90126,[ 8 21] ; [11 13],[10.39622642 18.60377358] ; [ 8.60377358 15.39622642],0
r1,1,0.189927,1.718182,[14 16] ; [ 7 17],[11.66666667 18.33333333] ; [ 9.33333333 14.66666667],0
a3,1,0.241674,1.370805,[16 13] ; [17  7],[18.05660377 10.94339623] ; [14.94339623  9.05660377],0
s8,1,0.245278,1.35,[ 2 28] ; [ 4 20],[ 3.33333333 26.66666667] ; [ 2.66666667 21.33333333],0
v2,1,0.245278,1.35,[ 8 22] ; [10 14],[10. 20.] ; [ 8. 16.],0
s2,1,0.272254,1.205357,[ 5 25] ; [ 7 17],[ 6.66666667 23.33333333] ; [ 5.33333333 18.66666667],0
b1,1,0.284073,1.1475,[17 13] ; [17  7],[18.88888889 11.11111111] ; [15.11111111  8.88888889],0
s4,1,0.364985,0.820669,[ 5 25] ; [ 2 22],[ 3.88888889 26.11111111] ; [ 3.11111111 20.88888889],0
d5,1,0.407472,0.686165,[18 12] ; [17  7],[19.44444444 10.55555556] ; [15.55555556  8.44444444],0
v1,1,0.414935,0.664615,[ 7 23] ; [ 8 16],[ 8.33333333 21.66666667] ; [ 6.66666667 17.33333333],0
a8,1,0.430878,0.620456,[ 3 27] ; [ 4 19],[ 3.96226415 26.03773585] ; [ 3.03773585 19.96226415],0
u2,1,0.431923,0.617647,[ 2 12] ; [2 5],[ 2.66666667 11.33333333] ; [1.33333333 5.66666667],0
r4,1,0.433681,0.612946,[ 6 24] ; [ 7 17],[ 7.22222222 22.77777778] ; [ 5.77777778 18.22222222],0
n4,1,0.444985,0.583393,[21  9] ; [19  5],[22.22222222  7.77777778] ; [17.77777778  6.22222222],0
d2,1,0.465329,0.533046,[15 14] ; [10 14],[13.67924528 15.32075472] ; [11.32075472 12.67924528],0
d1,1,0.498464,0.458205,[14 16] ; [ 9 15],[12.77777778 17.22222222] ; [10.22222222 13.77777778],0
d3,1,0.541691,0.372414,[15 15] ; [10 14],[13.88888889 16.11111111] ; [11.11111111 12.88888889],0
b2,1,0.542234,0.371415,[ 9 13] ; [ 5 11],[ 8.10526316 13.89473684] ; [ 5.89473684 10.10526316],0
b3,1,0.542234,0.371415,[ 9 13] ; [ 5 11],[ 8.10526316 13.89473684] ; [ 5.89473684 10.10526316],0
a4,1,0.561125,0.33776,[11 18] ; [11 13],[12.03773585 16.96226415] ; [ 9.96226415 14.03773585],0
b4,1,0.561276,0.3375,[19 11] ; [17  7],[20. 10.] ; [16.  8.],0
a6,1,0.625404,0.238345,[13 17] ; [12 12],[13.88888889 16.11111111] ; [11.11111111 12.88888889],0
v3,1,0.639938,0.218824,[ 5 25] ; [ 5 18],[ 5.66037736 24.33962264] ; [ 4.33962264 18.66037736],0
a7,1,0.666643,0.185554,[12 18] ; [11 13],[12.77777778 17.22222222] ; [10.22222222 13.77777778],0
s7,1,0.682601,0.167213,[ 6 21] ; [ 6 16],[ 6.6122449 20.3877551] ; [ 5.3877551 16.6122449],0
s1,1,0.690242,0.158824,[ 2 28] ; [ 1 23],[ 1.66666667 28.33333333] ; [ 1.33333333 22.66666667],0
p1,1,0.731881,0.117391,[ 4 26] ; [ 4 20],[ 4.44444444 25.55555556] ; [ 3.55555556 20.44444444],0
a2,1,0.731881,0.117391,[ 4 26] ; [ 4 20],[ 4.44444444 25.55555556] ; [ 3.55555556 20.44444444],0
d4,1,0.743224,0.107313,[20 10] ; [17  7],[20.55555556  9.44444444] ; [16.44444444  7.55555556],0
s6,1,0.762789,0.091096,[ 8 22] ; [ 7 16],[ 8.49056604 21.50943396] ; [ 6.50943396 16.49056604],0
s5,1,0.764773,0.089532,[ 5 25] ; [ 3 19],[ 4.61538462 25.38461538] ; [ 3.38461538 18.61538462],0
r2,1,0.879062,0.023152,[17 12] ; [13 10],[16.73076923 12.26923077] ; [13.26923077  9.73076923],0
a1,1,0.927818,0.008207,[ 4 26] ; [ 3 21],[ 3.88888889 26.11111111] ; [ 3.11111111 20.88888889],0
u3,1,1.0,0.0,[ 2 12] ; [1 6],[ 2. 12.] ; [1. 6.],0
