Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.006745,7.339627,[3 8] ; [10  2],[6.2173913 4.7826087] ; [6.7826087 5.2173913],0
s8,1,0.008042,7.024062,[ 7 25] ; [14 11],[11.78947368 20.21052632] ; [ 9.21052632 15.78947368],0
s2,1,0.02623,4.940792,[11 21] ; [16  9],[15.15789474 16.84210526] ; [11.84210526 13.15789474],0
n1,1,0.0455,4.0,[4 8] ; [5 1],[6. 6.] ; [3. 3.],0
s5,1,0.06203,3.482248,[ 7 23] ; [11 12],[10.18867925 19.81132075] ; [ 7.81132075 15.18867925],0
b3,1,0.065254,3.398532,[ 4 15] ; [9 9],[ 6.67567568 12.32432432] ; [ 6.32432432 11.67567568],0
b2,1,0.065254,3.398532,[ 4 15] ; [9 9],[ 6.67567568 12.32432432] ; [ 6.32432432 11.67567568],0
p11,1,0.075639,3.156205,[17 15] ; [19  6],[20.21052632 11.78947368] ; [15.78947368  9.21052632],0
s7,1,0.113331,2.507143,[ 8 20] ; [12 12],[10.76923077 17.23076923] ; [ 9.23076923 14.76923077],0
p9,1,0.121054,2.403628,[18 14] ; [19  6],[20.77192982 11.22807018] ; [16.22807018  8.77192982],0
p1,1,0.155868,2.01386,[ 5 27] ; [ 1 24],[ 3.36842105 28.63157895] ; [ 2.63157895 22.36842105],0
p6,1,0.212699,1.552961,[ 9 23] ; [11 14],[11.22807018 20.77192982] ; [ 8.77192982 16.22807018],0
s3,1,0.223319,1.482913,[14 18] ; [15 10],[16.28070175 15.71929825] ; [12.71929825 12.28070175],0
d3,1,0.248664,1.330792,[13 19] ; [14 11],[15.15789474 16.84210526] ; [11.84210526 13.15789474],0
b5,1,0.290522,1.1172,[16 16] ; [16  9],[17.96491228 14.03508772] ; [14.03508772 10.96491228],0
a3,1,0.298137,1.082508,[21 11] ; [13 12],[19.0877193 12.9122807] ; [14.9122807 10.0877193],0
p10,1,0.321659,0.982191,[19 13] ; [18  7],[20.77192982 11.22807018] ; [16.22807018  8.77192982],0
v2,1,0.35176,0.867097,[16 15] ; [16  9],[17.71428571 13.28571429] ; [14.28571429 10.71428571],0
s4,1,0.360881,0.834824,[ 6 26] ; [ 7 17],[ 7.42857143 24.57142857] ; [ 5.57142857 18.42857143],0
s6,1,0.365878,0.817617,[18 14] ; [17  8],[19.64912281 12.35087719] ; [15.35087719  9.64912281],0
n6,1,0.373961,0.790459,[23  8] ; [21  4],[24.35714286  6.64285714] ; [19.64285714  5.35714286],0
a2,1,0.384115,0.757489,[ 5 27] ; [ 2 23],[ 3.92982456 28.07017544] ; [ 3.07017544 21.92982456],0
p8,1,0.409269,0.680923,[15 17] ; [ 9 16],[13.47368421 18.52631579] ; [10.52631579 14.47368421],0
n3,1,0.422678,0.642857,[10  2] ; [4 2],[9.33333333 2.66666667] ; [4.66666667 1.33333333],0
p4,1,0.45195,0.565757,[16 16] ; [15 10],[17.40350877 14.59649123] ; [13.59649123 11.40350877],0
d1,1,0.494093,0.4676,[15 17] ; [14 11],[16.28070175 15.71929825] ; [12.71929825 12.28070175],0
u2,1,0.509903,0.434266,[4 7] ; [6 6],[4.7826087 6.2173913] ; [5.2173913 6.7826087],0
r1,1,0.545537,0.365373,[22 10] ; [19  6],[23.01754386  8.98245614] ; [17.98245614  7.01754386],0
a4,1,0.577664,0.310027,[13 19] ; [12 13],[14.03508772 17.96491228] ; [10.96491228 14.03508772],0
r3,1,0.582778,0.301765,[28  4] ; [23  2],[28.63157895  3.36842105] ; [22.36842105  2.63157895],0
n2,1,0.595883,0.28125,[11  1] ; [5 1],[10.66666667  1.33333333] ; [5.33333333 0.66666667],0
b4,1,0.619644,0.246368,[20 12] ; [14 11],[19.0877193 12.9122807] ; [14.9122807 10.0877193],0
a8,1,0.653999,0.200895,[ 3 28] ; [ 3 19],[ 3.50943396 27.49056604] ; [ 2.49056604 19.50943396],0
v3,1,0.685151,0.164385,[10 21] ; [ 9 15],[10.70909091 20.29090909] ; [ 8.29090909 15.70909091],0
