Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,2e-06,22.54902,[93 69] ; [ 75 151],[70.1443299 91.8556701] ; [ 97.8556701 128.1443299],1
a5,1,0.000978,10.868816,[136  31] ; [153  77],[121.56926952  45.43073048] ; [167.43073048  62.56926952],1
u1,1,0.001879,9.663984,[ 44 123] ; [ 32 198],[ 31.9697733 135.0302267] ; [ 44.0302267 185.9697733],0
r1,1,0.005027,7.86973,[140  26] ; [165  63],[128.50253807  37.49746193] ; [176.49746193  51.50253807],0
s6,1,0.008576,6.909109,[120  47] ; [134  93],[107.65989848  59.34010152] ; [146.34010152  80.65989848],0
r3,1,0.010463,6.554319,[160   5] ; [206  22],[153.66412214  11.33587786] ; [212.33587786  15.66412214],0
s7,1,0.017075,5.688606,[78 83] ; [ 79 139],[66.6939314 94.3060686] ; [ 90.3060686 127.6939314],0
a6,1,0.020366,5.380206,[136  31] ; [164  66],[126.19647355  40.80352645] ; [173.80352645  56.19647355],0
p3,1,0.06387,3.433917,[83 83] ; [ 93 136],[73.96455696 92.03544304] ; [102.03544304 126.96455696],0
d4,1,0.074719,3.176192,[145  22] ; [184  46],[138.39546599  28.60453401] ; [190.60453401  39.39546599],0
p6,1,0.081599,3.032762,[66 98] ; [ 73 157],[ 57.85786802 106.14213198] ; [ 81.14213198 148.85786802],0
n1,1,0.085186,2.963075,[11 27] ; [30 35],[15.12621359 22.87378641] ; [25.87378641 39.12621359],0
d3,1,0.093284,2.816762,[130  37] ; [161  68],[122.71969697  44.28030303] ; [168.28030303  60.71969697],0
d5,1,0.097144,2.751817,[143  24] ; [182  48],[136.71284635  30.28715365] ; [188.28715365  41.71284635],0
n2,1,0.108086,2.581982,[30  7] ; [43 22],[26.48039216 10.51960784] ; [46.51960784 18.48039216],0
a3,1,0.112084,2.524596,[121  46] ; [148  80],[113.72911392  53.27088608] ; [155.27088608  72.72911392],0
