Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,5e-06,20.737303,[ 4 40] ; [36 35],[15.30434783 28.69565217] ; [24.69565217 46.30434783],1
a3,1,3.6e-05,17.093102,[19 25] ; [58 14],[29.20689655 14.79310345] ; [47.79310345 24.20689655],1
a4,1,0.000132,14.618648,[ 6 38] ; [35 37],[15.55172414 28.44827586] ; [25.44827586 46.55172414],1
d1,1,0.0016,9.95977,[13 31] ; [43 29],[21.24137931 22.75862069] ; [34.75862069 37.24137931],0
d5,1,0.007943,7.046204,[26 18] ; [58 13],[32.13913043 11.86086957] ; [51.86086957 19.13913043],0
r4,1,0.008014,7.030303,[27 17] ; [60 12],[33. 11.] ; [54. 18.],0
n4,1,0.014615,5.962239,[16 28] ; [43 29],[22.37931034 21.62068966] ; [36.62068966 35.37931034],0
p3,1,0.021259,5.305433,[11 33] ; [33 38],[16.83478261 27.16521739] ; [27.16521739 43.83478261],0
v2,1,0.027349,4.868634,[14 27] ; [37 29],[19.54205607 21.45794393] ; [31.45794393 34.54205607],0
r3,1,0.030213,4.697125,[35  9] ; [67  5],[38.68965517  5.31034483] ; [63.31034483  8.68965517],0
r1,1,0.0306,4.675264,[25 19] ; [54 17],[30.22608696 13.77391304] ; [48.77391304 22.22608696],0
v3,1,0.035303,4.430482,[ 7 35] ; [23 42],[11.77570093 30.22429907] ; [18.22429907 46.77570093],0
p4,1,0.037744,4.316541,[15 28] ; [39 32],[20.36842105 22.63157895] ; [33.63157895 37.36842105],0
a6,1,0.03958,4.235789,[24 20] ; [52 19],[29.07826087 14.92173913] ; [46.92173913 24.07826087],0
s8,1,0.049609,3.85464,[11 33] ; [31 41],[15.93103448 28.06896552] ; [26.06896552 45.93103448],0
a8,1,0.077784,3.110602,[ 2 41] ; [10 54],[ 4.82242991 38.17757009] ; [ 7.17757009 56.82242991],0
s4,1,0.093617,2.811058,[10 34] ; [ 8 64],[ 6.82758621 37.17241379] ; [11.17241379 60.82758621],0
b1,1,0.125812,2.343434,[18 26] ; [40 32],[22. 22.] ; [36. 36.],0
p11,1,0.166519,1.914008,[27 17] ; [53 19],[30.34482759 13.65517241] ; [49.65517241 22.34482759],0
u2,1,0.198358,1.654422,[16  8] ; [12  2],[17.68421053  6.31578947] ; [10.31578947  3.68421053],0
p7,1,0.204482,1.61007,[19 21] ; [42 28],[22.18181818 17.81818182] ; [38.81818182 31.18181818],0
u1,1,0.221521,1.494492,[ 2 42] ; [ 8 64],[ 3.79310345 40.20689655] ; [ 6.20689655 65.79310345],0
s6,1,0.240986,1.374815,[22 22] ; [44 28],[25.03448276 18.96551724] ; [40.96551724 31.03448276],0
a7,1,0.2561,1.289715,[28 16] ; [53 19],[30.72413793 13.27586207] ; [50.27586207 21.72413793],0
d4,1,0.2574,1.282686,[32 12] ; [58 13],[34.43478261  9.56521739] ; [55.56521739 15.43478261],0
p6,1,0.259796,1.269841,[13 29] ; [15 55],[10.5 31.5] ; [17.5 52.5],0
p5,1,0.423683,0.640078,[ 2 42] ; [ 6 65],[ 3.06086957 40.93913043] ; [ 4.93913043 66.06086957],0
d3,1,0.438764,0.599514,[26 17] ; [48 23],[27.9122807 15.0877193] ; [46.0877193 24.9122807],0
p8,1,0.497535,0.460191,[16 27] ; [31 40],[17.72807018 25.27192982] ; [29.27192982 41.72807018],0
s2,1,0.497683,0.459874,[17 27] ; [32 39],[18.74782609 25.25217391] ; [30.25217391 40.74782609],0
v1,1,0.500626,0.45361,[19 24] ; [35 34],[20.73214286 22.26785714] ; [33.26785714 35.73214286],0
n3,1,0.502927,0.448754,[8 4] ; [17  5],[8.82352941 3.17647059] ; [16.17647059  5.82352941],0
p10,1,0.504517,0.445423,[33 11] ; [57 14],[34.43478261  9.56521739] ; [55.56521739 15.43478261],0
b5,1,0.578045,0.309407,[29 15] ; [51 21],[30.34482759 13.65517241] ; [49.65517241 22.34482759],0
p1,1,0.588702,0.292377,[ 3 41] ; [ 7 65],[ 3.79310345 40.20689655] ; [ 6.20689655 65.79310345],0
