Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.009588,6.709852,[29 25] ; [ 4 16],[24.08108108 29.91891892] ; [ 8.91891892 11.08108108],0
b3,1,0.009588,6.709852,[29 25] ; [ 4 16],[24.08108108 29.91891892] ; [ 8.91891892 11.08108108],0
n6,1,0.011465,6.391811,[82 10] ; [24 10],[77.3968254 14.6031746] ; [28.6031746  5.3968254],0
n4,1,0.013369,6.119548,[74 18] ; [20 14],[68.63492063 23.36507937] ; [25.36507937  8.63492063],0
r3,1,0.017563,5.639211,[88  3] ; [28  5],[85.12903226  5.87096774] ; [30.87096774  2.12903226],0
s7,1,0.019362,5.468496,[45 43] ; [24  8],[50.6 37.4] ; [18.4 13.6],0
s5,1,0.034301,4.479617,[28 61] ; [15 13],[32.70940171 56.29059829] ; [10.29059829 17.70940171],0
s2,1,0.034453,4.472065,[45 46] ; [24 10],[50.232 40.768] ; [18.768 15.232],0
a8,1,0.044557,4.035321,[14 71] ; [ 1 33],[10.71428571 74.28571429] ; [ 4.28571429 29.71428571],0
s3,1,0.04631,3.970291,[49 42] ; [25  9],[53.872 37.128] ; [20.128 13.872],0
s6,1,0.046795,3.952748,[56 33] ; [27  6],[60.54918033 28.45081967] ; [22.45081967 10.54918033],0
d3,1,0.072873,3.217086,[56 35] ; [26  7],[60.17741935 30.82258065] ; [21.82258065 11.17741935],0
p11,1,0.083688,2.99179,[71 21] ; [21 13],[67.17460317 24.82539683] ; [24.82539683  9.17460317],0
s8,1,0.101861,2.676158,[36 55] ; [19 15],[40.04 50.96] ; [14.96 19.04],0
p8,1,0.154839,2.023918,[55 37] ; [25  9],[58.41269841 33.58730159] ; [21.58730159 12.41269841],0
p5,1,0.188037,1.732933,[17 75] ; [ 3 31],[14.6031746 77.3968254] ; [ 5.3968254 28.6031746],0
b4,1,0.189286,1.723164,[42 50] ; [20 14],[45.26984127 46.73015873] ; [16.73015873 17.26984127],0
n3,1,0.193824,1.688312,[20  8] ; [10  1],[21.53846154  6.46153846] ; [8.46153846 2.53846154],0
n5,1,0.196093,1.671235,[67 24] ; [21 13],[64.064 26.936] ; [23.936 10.064],0
s1,1,0.203732,1.61542,[ 3 87] ; [ 3 31],[ 4.35483871 85.64516129] ; [ 1.64516129 32.35483871],0
a7,1,0.210951,1.564889,[64 28] ; [19 14],[61.088 30.912] ; [21.912 11.088],0
a3,1,0.282368,1.155657,[66 26] ; [21 13],[63.52380952 28.47619048] ; [23.47619048 10.52380952],0
d1,1,0.285788,1.139357,[47 45] ; [21 13],[49.65079365 42.34920635] ; [18.34920635 15.65079365],0
u3,1,0.307431,1.041678,[13 12] ; [9 4],[14.47368421 10.52631579] ; [7.52631579 5.47368421],0
p2,1,0.310479,1.028639,[82 10] ; [28  6],[80.31746032 11.68253968] ; [29.68253968  4.31746032],0
r2,1,0.344139,0.894951,[83  7] ; [32  1],[84.14634146  5.85365854] ; [30.85365854  2.14634146],0
b1,1,0.382339,0.763169,[38 54] ; [17 17],[40.15873016 51.84126984] ; [14.84126984 19.15873016],0
n2,1,0.383281,0.760151,[19  9] ; [9 2],[20.1025641  7.8974359] ; [7.8974359 3.1025641],0
p4,1,0.384579,0.756013,[66 26] ; [27  7],[67.9047619 24.0952381] ; [25.0952381  8.9047619],0
r4,1,0.406586,0.688761,[81 11] ; [28  6],[79.58730159 12.41269841] ; [29.41269841  4.58730159],0
d2,1,0.422086,0.644501,[44 48] ; [19 15],[46. 46.] ; [17. 17.],0
v4,1,0.429362,0.624549,[85  6] ; [33  1],[85.904  5.096] ; [32.096  1.904],0
v3,1,0.430653,0.621061,[26 66] ; [ 7 26],[24.288 67.712] ; [ 8.712 24.288],0
b5,1,0.506222,0.441869,[48 44] ; [20 14],[49.65079365 42.34920635] ; [18.34920635 15.65079365],0
p1,1,0.512152,0.429668,[12 80] ; [ 6 28],[13.14285714 78.85714286] ; [ 4.85714286 29.14285714],0
p3,1,0.555923,0.346813,[57 35] ; [23 11],[58.41269841 33.58730159] ; [21.58730159 12.41269841],0
p10,1,0.585111,0.298044,[68 23] ; [27  7],[69.16 21.84] ; [25.84  8.16],0
u1,1,0.620519,0.245139,[17 75] ; [ 5 29],[16.06349206 75.93650794] ; [ 5.93650794 28.06349206],0
a6,1,0.63215,0.229156,[58 34] ; [23 11],[59.14285714 32.85714286] ; [21.85714286 12.14285714],0
u2,1,0.636871,0.222857,[16 10] ; [9 4],[16.66666667  9.33333333] ; [8.33333333 4.66666667],0
a5,1,0.648699,0.207544,[61 31] ; [24 10],[62.06349206 29.93650794] ; [22.93650794 11.06349206],0
v2,1,0.681116,0.168873,[35 56] ; [11 21],[34.03252033 56.96747967] ; [11.96747967 20.03252033],0
d4,1,0.693913,0.154882,[70 22] ; [27  7],[70.82539683 21.17460317] ; [26.17460317  7.82539683],0
d5,1,0.731255,0.117963,[67 25] ; [23 10],[66.24 25.76] ; [23.76  9.24],0
p12,1,0.759969,0.093344,[ 9 82] ; [ 4 30],[ 9.464 81.536] ; [ 3.536 30.464],0
p9,1,0.827469,0.047502,[77 15] ; [29  5],[77.3968254 14.6031746] ; [28.6031746  5.3968254],0
n1,1,0.858273,0.031888,[ 9 18] ; [4 7],[ 9.23684211 17.76315789] ; [3.76315789 7.23684211],0
a4,1,0.888173,0.019773,[42 50] ; [16 18],[42.34920635 49.65079365] ; [15.65079365 18.34920635],0
p7,1,0.928994,0.007941,[73 17] ; [27  6],[73.17073171 16.82926829] ; [26.82926829  6.17073171],0
a2,1,0.993719,6.2e-05,[19 73] ; [ 7 27],[18.98412698 73.01587302] ; [ 7.01587302 26.98412698],0
r1,1,0.994419,4.9e-05,[65 27] ; [24 10],[64.98412698 27.01587302] ; [24.01587302  9.98412698],0
