Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.000407,12.498641,[37 30] ; [ 86 183],[24.52678571 42.47321429] ; [ 98.47321429 170.52678571],1
p9,1,0.001543,10.026879,[49 17] ; [233  28],[56.91743119  9.08256881] ; [225.08256881  35.91743119],0
p10,1,0.003028,8.790707,[49 17] ; [232  30],[56.54268293  9.45731707] ; [224.45731707  37.54268293],0
v1,1,0.022954,5.172012,[37 29] ; [188  78],[44.72891566 21.27108434] ; [180.27108434  85.72891566],0
p2,1,0.030418,4.685537,[51 16] ; [230  35],[56.70783133 10.29216867] ; [224.29216867  40.70783133],0
a7,1,0.038431,4.285832,[42 25] ; [201  66],[48.74550898 18.25449102] ; [194.25449102  72.74550898],0
p11,1,0.038706,4.273708,[49 18] ; [226  43],[54.83630952 12.16369048] ; [220.16369048  48.83630952],0
p8,1,0.050065,3.839287,[32 35] ; [158 101],[39.04907975 27.95092025] ; [150.95092025 108.04907975],0
d1,1,0.050625,3.820641,[36 31] ; [179  90],[42.87202381 24.12797619] ; [172.12797619  96.87202381],0
p12,1,0.072812,3.218471,[ 4 63] ; [ 37 226],[ 8.32424242 58.67575758] ; [ 32.67575758 230.32424242],0
b4,1,0.078037,3.105312,[35 32] ; [172  97],[41.27678571 25.72321429] ; [165.72321429 103.27678571],0
s4,1,0.086776,2.933182,[13 53] ; [ 31 234],[ 8.7734139 57.2265861] ; [ 35.2265861 229.7734139],0
a5,1,0.0943,2.799397,[46 21] ; [210  58],[51.2 15.8] ; [204.8  63.2],0
a3,1,0.097887,2.739638,[45 21] ; [208  59],[50.14414414 15.85585586] ; [202.85585586  64.14414414],0
n2,1,0.136037,2.222222,[11  1] ; [34 14],[9. 3.] ; [36. 12.],0
p5,1,0.147577,2.097118,[15 52] ; [ 40 226],[11.06606607 55.93393393] ; [ 43.93393393 222.06606607],0
p7,1,0.147799,2.094822,[41 25] ; [184  74],[45.83333333 20.16666667] ; [179.16666667  78.83333333],0
s8,1,0.15089,2.063234,[31 36] ; [148 116],[36.2326284 30.7673716] ; [142.7673716 121.2326284],0
d5,1,0.199227,1.648032,[51 15] ; [225  43],[54.53892216 11.46107784] ; [221.46107784  46.53892216],0
s1,1,0.212401,1.554986,[ 3 63] ; [  5 258],[ 1.60486322 64.39513678] ; [  6.39513678 256.60486322],0
s5,1,0.218423,1.514701,[21 45] ; [103 154],[25.3374613 40.6625387] ; [ 98.6625387 158.3374613],0
r2,1,0.242231,1.367561,[63  4] ; [259   8],[64.59281437  2.40718563] ; [257.40718563   9.59281437],0
d2,1,0.261415,1.261247,[31 36] ; [144 123],[35.10479042 31.89520958] ; [139.89520958 127.10479042],0
a2,1,0.27059,1.213753,[14 53] ; [ 74 195],[17.54761905 49.45238095] ; [ 70.45238095 198.54761905],0
a8,1,0.274565,1.193795,[ 6 54] ; [ 37 201],[ 8.65771812 51.34228188] ; [ 34.34228188 203.65771812],0
s6,1,0.290767,1.116065,[50 16] ; [179  80],[46.50461538 19.49538462] ; [182.49538462  76.50461538],0
a1,1,0.30168,1.066752,[ 3 64] ; [ 22 247],[ 4.98511905 62.01488095] ; [ 20.01488095 248.98511905],0
u3,1,0.308907,1.035341,[15  7] ; [34 27],[12.98795181  9.01204819] ; [36.01204819 24.98795181],0
r1,1,0.326735,0.961793,[54 13] ; [229  39],[56.6 10.4] ; [226.4  41.6],0
b5,1,0.328896,0.953241,[43 24] ; [155 114],[39.48214286 27.51785714] ; [158.51785714 110.48214286],0
d4,1,0.374564,0.788469,[54 12] ; [230  37],[56.28828829  9.71171171] ; [227.71171171  39.28828829],0
d3,1,0.407648,0.685651,[45 22] ; [193  74],[47.74251497 19.25748503] ; [190.25748503  76.74251497],0
n5,1,0.409319,0.680777,[52 15] ; [219  48],[54.36227545 12.63772455] ; [216.63772455  50.36227545],0
p4,1,0.414524,0.665788,[39 27] ; [169  93],[41.85365854 24.14634146] ; [166.14634146  95.85365854],0
n1,1,0.438592,0.599962,[4 6] ; [13 34],[2.98245614 7.01754386] ; [14.01754386 32.98245614],0
