Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b4,1,0.01623,5.777778,[10  3] ; [15 24],[6.25 6.75] ; [18.75 20.25],0
s2,1,0.036078,4.393433,[2 9] ; [21 18],[5.06 5.94] ; [17.94 21.06],0
u1,1,0.057289,3.614184,[ 3 10] ; [ 2 37],[ 1.25 11.75] ; [ 3.75 35.25],0
p5,1,0.083206,3.00113,[4 9] ; [ 4 34],[ 2.03921569 10.96078431] ; [ 5.96078431 32.03921569],0
p12,1,0.085992,2.947846,[ 2 11] ; [ 1 38],[ 0.75 12.25] ; [ 2.25 36.75],0
p1,1,0.085992,2.947846,[ 2 11] ; [ 1 38],[ 0.75 12.25] ; [ 2.25 36.75],0
n3,1,0.122398,2.386364,[2 5] ; [9 5],[3.66666667 3.33333333] ; [7.33333333 6.66666667],0
v4,1,0.125202,2.351006,[6 6] ; [28 10],[8.16 3.84] ; [25.84 12.16],0
a2,1,0.13268,2.26087,[ 3 10] ; [ 3 36],[ 1.5 11.5] ; [ 4.5 34.5],0
v3,1,0.13849,2.19466,[4 9] ; [ 5 34],[ 2.25 10.75] ; [ 6.75 32.25],0
d3,1,0.187986,1.733333,[10  3] ; [22 17],[8. 5.] ; [24. 15.],0
u3,1,0.193472,1.69098,[1 4] ; [9 8],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
a6,1,0.198851,1.650794,[5 8] ; [23 16],[7. 6.] ; [21. 18.],0
s5,1,0.201087,1.634465,[4 8] ; [ 6 31],[2.44897959 9.55102041] ; [ 7.55102041 29.44897959],0
p2,1,0.20999,1.571497,[12  1] ; [29  9],[10.45098039  2.54901961] ; [30.54901961  7.45098039],0
n1,1,0.216522,1.527273,[2 5] ; [8 6],[3.33333333 3.66666667] ; [6.66666667 7.33333333],0
r3,1,0.222836,1.486014,[6 6] ; [27 12],[7.76470588 4.23529412] ; [25.23529412 13.76470588],0
a4,1,0.253364,1.304659,[7 6] ; [14 25],[5.25 7.75] ; [15.75 23.25],0
s7,1,0.272114,1.206059,[6 4] ; [15 22],[4.46808511 5.53191489] ; [16.53191489 20.46808511],0
r2,1,0.290607,1.116809,[5 8] ; [20 16],[6.63265306 6.36734694] ; [18.36734694 17.63265306],0
s3,1,0.299358,1.077054,[3 8] ; [17 21],[4.48979592 6.51020408] ; [15.51020408 22.48979592],0
a5,1,0.312612,1.019608,[10  3] ; [24 15],[8.5 4.5] ; [25.5 13.5],0
d2,1,0.312612,1.019608,[6 7] ; [12 27],[4.5 8.5] ; [13.5 25.5],0
p10,1,0.362498,0.829221,[9 3] ; [23 15],[7.68 4.32] ; [24.32 13.68],0
p7,1,0.442003,0.591076,[7 6] ; [25 13],[8.15686275 4.84313725] ; [23.84313725 14.15686275],0
p8,1,0.471855,0.517628,[8 5] ; [19 19],[6.88235294 6.11764706] ; [20.11764706 17.88235294],0
d4,1,0.487752,0.481481,[10  3] ; [26 13],[9. 4.] ; [27. 12.],0
b1,1,0.510358,0.433333,[7 6] ; [25 14],[8. 5.] ; [24. 15.],0
v1,1,0.510358,0.433333,[4 9] ; [16 23],[5. 8.] ; [15. 24.],0
a7,1,0.520603,0.412698,[7 6] ; [17 22],[6. 7.] ; [18. 21.],0
p6,1,0.552789,0.352344,[6 7] ; [14 24],[5.09803922 7.90196078] ; [14.90196078 23.09803922],0
s4,1,0.556444,0.345898,[ 2 11] ; [ 9 30],[ 2.75 10.25] ; [ 8.25 30.75],0
s6,1,0.56012,0.339497,[5 7] ; [20 19],[5.88235294 6.11764706] ; [19.11764706 19.88235294],0
d5,1,0.595994,0.281081,[10  3] ; [27 12],[9.25 3.75] ; [27.75 11.25],0
a3,1,0.628659,0.233883,[8 5] ; [21 18],[7.25 5.75] ; [21.75 17.25],0
b2,1,0.667436,0.184615,[3 7] ; [ 6 20],[2.5 7.5] ; [ 6.5 19.5],0
b3,1,0.667436,0.184615,[3 7] ; [ 6 20],[2.5 7.5] ; [ 6.5 19.5],0
v2,1,0.672704,0.178456,[6 7] ; [15 23],[5.35294118 7.64705882] ; [15.64705882 22.35294118],0
n6,1,0.682241,0.167614,[10  3] ; [27 11],[9.43137255 3.56862745] ; [27.56862745 10.43137255],0
n5,1,0.692472,0.156423,[9 4] ; [24 14],[8.41176471 4.58823529] ; [24.58823529 13.41176471],0
b5,1,0.745851,0.105051,[8 5] ; [22 17],[7.5 5.5] ; [22.5 16.5],0
p9,1,0.827768,0.047334,[9 3] ; [28 11],[8.70588235 3.29411765] ; [28.29411765 10.70588235],0
u2,1,0.859234,0.031453,[2 3] ; [ 8 10],[2.17391304 2.82608696] ; [ 7.82608696 10.17391304],0
p11,1,0.859726,0.031231,[9 4] ; [28 11],[9.25 3.75] ; [27.75 11.25],0
d1,1,0.870382,0.026626,[5 8] ; [16 23],[5.25 7.75] ; [15.75 23.25],0
s8,1,0.870884,0.026418,[4 8] ; [14 25],[4.23529412 7.76470588] ; [13.76470588 25.23529412],0
n4,1,0.871932,0.025987,[7 6] ; [22 17],[7.25 5.75] ; [21.75 17.25],0
n2,1,1.0,0.0,[5 2] ; [10  4],[5. 2.] ; [10.  4.],0
p3,1,1.0,0.0,[7 6] ; [21 18],[7. 6.] ; [21. 18.],0
