Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.2e-05,19.207603,[30 22] ; [335  67],[41.8061674 10.1938326] ; [323.1938326  78.8061674],1
u4,1,6.1e-05,16.068139,[ 3 49] ; [  1 401],[ 0.45814978 51.54185022] ; [  3.54185022 398.45814978],1
n6,1,0.000241,13.484019,[33 18] ; [341  59],[42.29268293  8.70731707] ; [331.70731707  68.29268293],1
p8,1,0.002692,9.005159,[16 36] ; [210 187],[26.17371938 25.82628062] ; [199.82628062 197.17371938],0
p7,1,0.003109,8.742285,[22 30] ; [248 142],[31.76470588 20.23529412] ; [238.23529412 151.76470588],0
n4,1,0.005615,7.669832,[29 22] ; [302 100],[37.26490066 13.73509934] ; [293.73509934 108.26490066],0
d5,1,0.008726,6.878148,[33 19] ; [319  82],[40.40618102 11.59381898] ; [311.59381898  89.40618102],0
s6,1,0.011264,6.423219,[27 25] ; [275 121],[35.05357143 16.94642857] ; [266.94642857 129.05357143],0
a6,1,0.019766,5.432406,[27 25] ; [274 128],[34.47577093 17.52422907] ; [266.52422907 135.47577093],0
n5,1,0.021425,5.291895,[30 21] ; [295 103],[36.91536748 14.08463252] ; [288.08463252 109.91536748],0
s2,1,0.026196,4.943032,[18 34] ; [204 196],[25.53982301 26.46017699] ; [196.46017699 203.53982301],0
b5,1,0.029382,4.745097,[40 12] ; [247 155],[32.8722467 19.1277533] ; [254.1277533 147.8722467],0
d1,1,0.02951,4.737628,[20 32] ; [219 183],[27.37444934 24.62555066] ; [211.62555066 190.37444934],0
p4,1,0.036001,4.397058,[23 29] ; [238 162],[30.02654867 21.97345133] ; [230.97345133 169.02654867],0
u2,1,0.042238,4.125649,[ 5 12] ; [69 55],[8.92198582 8.07801418] ; [65.07801418 58.92198582],0
a7,1,0.043148,4.089606,[31 21] ; [293 108],[37.19205298 14.80794702] ; [286.80794702 114.19205298],0
v1,1,0.045234,4.009907,[17 34] ; [188 202],[23.70748299 27.29251701] ; [181.29251701 208.70748299],0
a5,1,0.05116,3.803022,[31 21] ; [292 110],[36.99559471 15.00440529] ; [286.00440529 115.99559471],0
a8,1,0.052235,3.768223,[11 35] ; [ 50 327],[ 6.63356974 39.36643026] ; [ 54.36643026 322.63356974],0
n1,1,0.052471,3.760684,[13  9] ; [32 56],[ 9. 13.] ; [36. 52.],0
u3,1,0.053519,3.727633,[ 6 11] ; [75 50],[9.6971831 7.3028169] ; [71.3028169 53.6971831],0
r3,1,0.057557,3.606412,[46  6] ; [379  20],[49.00221729  2.99778271] ; [375.99778271  23.00221729],0
r4,1,0.062987,3.456925,[41 11] ; [354  48],[45.24229075  6.75770925] ; [349.75770925  52.24229075],0
r2,1,0.065697,3.387384,[44  7] ; [370  26],[47.23489933  3.76510067] ; [366.76510067  29.23489933],0
r1,1,0.080718,3.050379,[34 18] ; [306  94],[39.11504425 12.88495575] ; [300.88495575  99.11504425],0
p2,1,0.138958,2.189459,[41 11] ; [346  54],[44.52212389  7.47787611] ; [342.47787611  57.52212389],0
d3,1,0.148029,2.09245,[30 22] ; [271 129],[34.62831858 17.37168142] ; [266.37168142 133.62831858],0
s5,1,0.156676,2.00602,[12 37] ; [134 253],[16.40825688 32.59174312] ; [129.59174312 257.40825688],0
d4,1,0.172369,1.862218,[38 14] ; [326  76],[41.69162996 10.30837004] ; [322.30837004  79.69162996],0
s4,1,0.190932,1.71041,[ 7 44] ; [ 86 312],[10.56347439 40.43652561] ; [ 82.43652561 315.56347439],0
p3,1,0.23095,1.435004,[20 32] ; [190 212],[24.05286344 27.94713656] ; [185.94713656 216.05286344],0
a1,1,0.233869,1.417178,[ 3 49] ; [ 11 391],[ 1.60352423 50.39647577] ; [ 12.39647577 389.60352423],0
s8,1,0.247486,1.337441,[17 35] ; [165 237],[20.84581498 31.15418502] ; [161.15418502 240.84581498],0
v4,1,0.279064,1.171643,[47  5] ; [376  23],[48.77161863  3.22838137] ; [374.22838137  24.77161863],0
p5,1,0.352295,0.865172,[ 3 49] ; [ 39 361],[ 4.83185841 47.16814159] ; [ 37.16814159 362.83185841],0
p6,1,0.37751,0.778796,[16 36] ; [147 250],[18.87750557 33.12249443] ; [144.12249443 252.87750557],0
b1,1,0.380057,0.770519,[22 30] ; [145 257],[19.1277533 32.8722467] ; [147.8722467 254.1277533],0
u1,1,0.460138,0.54556,[ 6 46] ; [ 62 340],[ 7.78854626 44.21145374] ; [ 60.21145374 341.78854626],0
v2,1,0.464164,0.535835,[19 33] ; [162 225],[21.43963554 30.56036446] ; [159.56036446 227.43963554],0
a2,1,0.495559,0.464434,[ 9 43] ; [ 86 316],[10.88105727 41.11894273] ; [ 84.11894273 317.88105727],0
s1,1,0.552456,0.352937,[ 2 49] ; [ 10 390],[ 1.35698448 49.64301552] ; [ 10.64301552 389.35698448],0
s7,1,0.574492,0.315224,[21 30] ; [175 211],[22.87414188 28.12585812] ; [173.12585812 212.87414188],0
b2,1,0.607836,0.263338,[14 22] ; [ 79 150],[12.63396226 23.36603774] ; [ 80.36603774 148.63396226],0
b3,1,0.607836,0.263338,[14 22] ; [ 79 150],[12.63396226 23.36603774] ; [ 80.36603774 148.63396226],0
p12,1,0.614322,0.25393,[ 2 50] ; [ 22 377],[ 2.76718404 49.23281596] ; [ 21.23281596 377.76718404],0
b4,1,0.620067,0.245774,[28 24] ; [231 171],[29.66519824 22.33480176] ; [229.33480176 172.66519824],0
n3,1,0.760898,0.0926,[16  6] ; [66 21],[16.55045872  5.44954128] ; [65.44954128 21.55045872],0
a4,1,0.779359,0.078486,[23 28] ; [173 229],[22.06622517 28.93377483] ; [173.93377483 228.06622517],0
s3,1,0.780858,0.077396,[27 24] ; [220 180],[27.93126386 23.06873614] ; [219.06873614 180.93126386],0
p1,1,0.843004,0.039225,[ 3 49] ; [ 26 375],[ 3.32891832 48.67108168] ; [ 25.67108168 375.32891832],0
a3,1,0.846685,0.037384,[35 15] ; [276 126],[34.40265487 15.59734513] ; [276.59734513 125.40265487],0
d2,1,0.882012,0.022028,[22 30] ; [174 227],[22.49889625 29.50110375] ; [173.50110375 227.49889625],0
n2,1,1.0,0.0,[17  5] ; [68 20],[17.  5.] ; [68. 20.],0
