Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,1.8e-05,18.34223,[22  6] ; [46 87],[11.82608696 16.17391304] ; [56.17391304 76.82608696],1
s2,1,0.000613,11.737442,[16 13] ; [ 31 102],[ 8.41358025 20.58641975] ; [38.58641975 94.41358025],1
p4,1,0.003402,8.578093,[16 11] ; [39 92],[ 9.39873418 17.60126582] ; [45.60126582 85.39873418],0
a4,1,0.00439,8.11498,[18 11] ; [44 87],[11.2375 17.7625] ; [50.7625 80.2375],0
d4,1,0.004954,7.896103,[27  2] ; [88 43],[20.84375  8.15625] ; [94.15625 36.84375],0
r4,1,0.008311,6.965167,[24  5] ; [75 58],[17.72222222 11.27777778] ; [81.27777778 51.72222222],0
s4,1,0.01015,6.608314,[10 19] ; [ 19 114],[ 5.19135802 23.80864198] ; [ 23.80864198 109.19135802],0
p3,1,0.011877,6.329082,[14 14] ; [34 97],[ 8.45283019 19.54716981] ; [39.54716981 91.45283019],0
s7,1,0.012569,6.228814,[10 15] ; [ 22 103],[ 5.33333333 19.66666667] ; [26.66666667 98.33333333],0
d3,1,0.021147,5.314623,[23  6] ; [73 57],[17.50943396 11.49056604] ; [78.49056604 51.50943396],0
b4,1,0.025738,4.973506,[21  8] ; [66 67],[15.57407407 13.42592593] ; [71.42592593 61.57407407],0
p9,1,0.027278,4.873157,[18  9] ; [55 72],[12.7987013 14.2012987] ; [60.2012987 66.7987013],0
a5,1,0.031704,4.614415,[22  7] ; [72 61],[16.82716049 12.17283951] ; [77.17283951 55.82716049],0
r3,1,0.0321,4.593145,[25  3] ; [91 40],[20.42767296  7.57232704] ; [95.57232704 35.42767296],0
p5,1,0.033725,4.508604,[ 3 25] ; [  3 128],[ 1.05660377 26.94339623] ; [  4.94339623 126.05660377],0
d2,1,0.034044,4.492506,[18 11] ; [53 78],[12.86875 16.13125] ; [58.13125 72.86875],0
n2,1,0.03694,4.353177,[8 1] ; [29 27],[5.12307692 3.87692308] ; [31.87692308 24.12307692],0
s3,1,0.058305,3.584943,[16 13] ; [47 83],[11.49056604 17.50943396] ; [51.50943396 78.49056604],0
p10,1,0.060565,3.521855,[15 12] ; [47 83],[10.66242038 16.33757962] ; [51.33757962 78.66242038],0
d5,1,0.06163,3.49296,[24  5] ; [85 46],[19.75625  9.24375] ; [89.24375 41.75625],0
a6,1,0.064859,3.408559,[11 18] ; [75 57],[15.49068323 13.50931677] ; [70.50931677 61.49068323],0
n6,1,0.084763,2.971119,[21  8] ; [72 59],[16.85625 12.14375] ; [76.14375 54.85625],0
p2,1,0.114814,2.486679,[19  9] ; [68 64],[15.225 12.775] ; [71.775 60.225],0
p6,1,0.159992,1.974302,[ 8 20] ; [ 22 107],[ 5.35031847 22.64968153] ; [ 24.64968153 104.35031847],0
u3,1,0.205759,1.601017,[2 8] ; [23 33],[3.78787879 6.21212121] ; [21.21212121 34.78787879],0
v2,1,0.26653,1.234518,[13 16] ; [43 84],[10.41025641 18.58974359] ; [45.58974359 81.41025641],0
d1,1,0.307005,1.043517,[15 14] ; [55 78],[12.5308642 16.4691358] ; [57.4691358 75.5308642],0
a3,1,0.320291,0.98776,[19  9] ; [75 55],[16.65822785 11.34177215] ; [77.34177215 52.65822785],0
v3,1,0.329658,0.950241,[10 18] ; [34 94],[ 7.8974359 20.1025641] ; [36.1025641 91.8974359],0
b2,1,0.345062,0.891532,[ 3 10] ; [26 45],[4.48809524 8.51190476] ; [24.51190476 46.48809524],0
b3,1,0.345062,0.891532,[ 3 10] ; [26 45],[4.48809524 8.51190476] ; [24.51190476 46.48809524],0
v4,1,0.362691,0.828555,[24  5] ; [98 33],[22.1125  6.8875] ; [99.8875 31.1125],0
u1,1,0.435265,0.608735,[ 4 25] ; [ 12 121],[ 2.86419753 26.13580247] ; [ 13.13580247 119.86419753],0
b5,1,0.469055,0.524201,[16 13] ; [83 50],[17.72222222 11.27777778] ; [81.27777778 51.72222222],0
a8,1,0.518806,0.416266,[ 3 24] ; [  9 113],[ 2.17449664 24.82550336] ; [  9.82550336 112.17449664],0
v1,1,0.582013,0.302992,[11 17] ; [45 88],[ 9.73913043 18.26086957] ; [46.26086957 86.73913043],0
n4,1,0.604211,0.268692,[18 11] ; [75 57],[16.7515528 12.2484472] ; [76.2484472 55.7515528],0
u2,1,0.649723,0.20625,[3 7] ; [21 35],[3.63636364 6.36363636] ; [20.36363636 35.63636364],0
p8,1,0.697313,0.151283,[ 9 19] ; [37 93],[ 8.15189873 19.84810127] ; [37.84810127 92.15189873],0
