Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.00598,7.556253,[ 6 22] ; [8 4],[ 9.8 18.2] ; [4.2 7.8],0
s8,1,0.010469,6.553288,[ 5 23] ; [7 5],[ 8.4 19.6] ; [3.6 8.4],0
u3,1,0.02234,5.219118,[ 3 14] ; [3 1],[ 4.85714286 12.14285714] ; [1.14285714 2.85714286],0
p10,1,0.039229,4.250906,[13 14] ; [10  2],[15.92307692 11.07692308] ; [7.07692308 4.92307692],0
n2,1,0.052958,3.745238,[6 1] ; [2 4],[4.30769231 2.69230769] ; [3.69230769 2.30769231],0
r3,1,0.065986,3.380141,[17 10] ; [11  1],[19.38461538  7.61538462] ; [8.61538462 3.38461538],0
s2,1,0.07076,3.265306,[ 6 22] ; [6 6],[ 8.4 19.6] ; [3.6 8.4],0
b3,1,0.109249,2.565058,[ 5 15] ; [5 4],[ 6.89655172 13.10344828] ; [3.10344828 5.89655172],0
b2,1,0.109249,2.565058,[ 5 15] ; [5 4],[ 6.89655172 13.10344828] ; [3.10344828 5.89655172],0
v3,1,0.111017,2.539683,[ 5 23] ; [5 7],[ 7. 21.] ; [3. 9.],0
d4,1,0.111509,2.532705,[16 12] ; [10  2],[18.2  9.8] ; [7.8 4.2],0
p2,1,0.111509,2.532705,[16 12] ; [10  2],[18.2  9.8] ; [7.8 4.2],0
a3,1,0.134909,2.235088,[11 16] ; [8 4],[13.15384615 13.84615385] ; [5.84615385 6.15384615],0
n6,1,0.137916,2.201064,[19  9] ; [10  1],[20.82051282  7.17948718] ; [8.17948718 2.82051282],0
s3,1,0.141032,2.166667,[ 7 20] ; [6 6],[ 9. 18.] ; [4. 8.],0
d1,1,0.160126,1.973033,[ 8 20] ; [ 1 11],[ 6.3 21.7] ; [2.7 9.3],0
d2,1,0.161617,1.959029,[11 17] ; [ 2 10],[ 9.1 18.9] ; [3.9 8.1],0
a5,1,0.167546,1.904762,[12 16] ; [8 4],[14. 14.] ; [6. 6.],0
s5,1,0.167546,1.904762,[ 4 24] ; [4 8],[ 5.6 22.4] ; [2.4 9.6],0
p3,1,0.192884,1.695447,[ 8 20] ; [6 6],[ 9.8 18.2] ; [4.2 7.8],0
p9,1,0.203327,1.618313,[17 10] ; [10  2],[18.69230769  8.30769231] ; [8.30769231 3.69230769],0
s6,1,0.240163,1.37964,[13 15] ; [8 4],[14.7 13.3] ; [6.3 5.7],0
a8,1,0.254698,1.297349,[ 6 19] ; [ 1 11],[ 4.72972973 20.27027027] ; [2.27027027 9.72972973],0
s4,1,0.282759,1.153781,[ 5 23] ; [4 8],[ 6.3 21.7] ; [2.7 9.3],0
s1,1,0.357527,0.846561,[ 2 26] ; [ 2 10],[ 2.8 25.2] ; [ 1.2 10.8],0
p1,1,0.357527,0.846561,[ 2 26] ; [ 2 10],[ 2.8 25.2] ; [ 1.2 10.8],0
b5,1,0.369074,0.806779,[16 12] ; [5 7],[14.7 13.3] ; [6.3 5.7],0
p7,1,0.369074,0.806779,[12 16] ; [7 5],[13.3 14.7] ; [5.7 6.3],0
d3,1,0.38536,0.753532,[11 17] ; [3 9],[ 9.8 18.2] ; [4.2 7.8],0
v2,1,0.38917,0.741533,[13 14] ; [4 8],[11.76923077 15.23076923] ; [5.23076923 6.76923077],0
n1,1,0.390636,0.736961,[4 3] ; [2 4],[3.23076923 3.76923077] ; [2.76923077 3.23076923],0
b4,1,0.398025,0.714286,[18 10] ; [6 6],[16.8 11.2] ; [7.2 4.8],0
p8,1,0.417753,0.656627,[ 8 20] ; [5 7],[ 9.1 18.9] ; [3.9 8.1],0
a7,1,0.442631,0.589453,[13 15] ; [4 8],[11.9 16.1] ; [5.1 6.9],0
p6,1,0.444284,0.585193,[ 4 23] ; [3 9],[ 4.84615385 22.15384615] ; [2.15384615 9.84615385],0
v4,1,0.490153,0.47619,[13 15] ; [7 5],[14. 14.] ; [6. 6.],0
p4,1,0.490153,0.47619,[13 15] ; [7 5],[14. 14.] ; [6. 6.],0
p11,1,0.507335,0.43956,[18 10] ; [9 3],[18.9  9.1] ; [8.1 3.9],0
n5,1,0.563005,0.334528,[21  7] ; [10  2],[21.7  6.3] ; [9.3 2.7],0
d5,1,0.573138,0.31746,[16 12] ; [8 4],[16.8 11.2] ; [7.2 4.8],0
a6,1,0.72158,0.126984,[11 17] ; [4 8],[10.5 17.5] ; [4.5 7.5],0
v1,1,0.763285,0.090703,[ 8 20] ; [4 8],[ 8.4 19.6] ; [3.6 8.4],0
n3,1,0.796762,0.066327,[4 3] ; [3 3],[3.76923077 3.23076923] ; [3.23076923 2.76923077],0
a1,1,0.818075,0.05291,[ 3 25] ; [ 1 11],[ 2.8 25.2] ; [ 1.2 10.8],0
p12,1,0.818075,0.05291,[ 3 25] ; [ 1 11],[ 2.8 25.2] ; [ 1.2 10.8],0
p5,1,0.846758,0.037348,[ 4 24] ; [ 2 10],[ 4.2 23.8] ; [ 1.8 10.2],0
u2,1,0.915605,0.01123,[8 9] ; [2 2],[8.0952381 8.9047619] ; [1.9047619 2.0952381],0
b1,1,1.0,0.0,[14 14] ; [6 6],[14. 14.] ; [6. 6.],0
r4,1,1.0,0.0,[ 7 21] ; [3 9],[ 7. 21.] ; [3. 9.],0
