Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.016801,5.71705,[12  7] ; [10 24],[ 7.88679245 11.11320755] ; [14.11320755 19.88679245],0
p4,1,0.057082,3.620192,[ 6 13] ; [20 14],[9.32075472 9.67924528] ; [16.67924528 17.32075472],0
p11,1,0.094445,2.796932,[ 9 10] ; [24 10],[11.83018868  7.16981132] ; [21.16981132 12.83018868],0
p3,1,0.199781,1.643975,[ 5 14] ; [15 19],[ 7.16981132 11.83018868] ; [12.83018868 21.16981132],0
p1,1,0.666483,0.185744,[ 2 17] ; [ 5 29],[ 2.50943396 16.49056604] ; [ 4.49056604 29.50943396],0
