Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000279,13.206536,[30 75] ; [12  4],[36.44628099 68.55371901] ; [ 5.55371901 10.44628099],1
p5,1,0.001552,10.015824,[ 6 99] ; [ 5 12],[ 9.46721311 95.53278689] ; [ 1.53278689 15.46721311],0
p12,1,0.002462,9.168392,[  4 100] ; [ 4 13],[ 6.87603306 97.12396694] ; [ 1.12396694 15.87603306],0
v1,1,0.031181,4.642989,[42 62] ; [ 2 14],[38.13333333 65.86666667] ; [ 5.86666667 10.13333333],0
r1,1,0.041216,4.167124,[59 46] ; [14  3],[62.82786885 42.17213115] ; [10.17213115  6.82786885],0
n6,1,0.096326,2.76534,[72 33] ; [15  2],[74.87704918 30.12295082] ; [12.12295082  4.87704918],0
s3,1,0.101767,2.677633,[32 71] ; [ 2 15],[29.18333333 73.81666667] ; [ 4.81666667 12.18333333],0
p3,1,0.142856,2.146923,[31 75] ; [8 9],[33.6097561 72.3902439] ; [ 5.3902439 11.6097561],0
d3,1,0.158494,1.988534,[37 69] ; [ 3 14],[34.47154472 71.52845528] ; [ 5.52845528 11.47154472],0
p11,1,0.158494,1.988534,[69 37] ; [14  3],[71.52845528 34.47154472] ; [11.47154472  5.52845528],0
r4,1,0.158494,1.988534,[69 37] ; [14  3],[71.52845528 34.47154472] ; [11.47154472  5.52845528],0
v4,1,0.177894,1.81513,[84 20] ; [16  1],[85.95041322 18.04958678] ; [14.04958678  2.95041322],0
a4,1,0.292447,1.108322,[24 80] ; [ 2 15],[22.34710744 81.65289256] ; [ 3.65289256 13.34710744],0
n2,1,0.300954,1.069961,[29 10] ; [2 2],[28.11627907 10.88372093] ; [2.88372093 1.11627907],0
b2,1,0.321013,0.984817,[24 37] ; [2 7],[22.65714286 38.34285714] ; [3.34285714 5.65714286],0
b3,1,0.321013,0.984817,[24 37] ; [2 7],[22.65714286 38.34285714] ; [3.34285714 5.65714286],0
d2,1,0.368113,0.810023,[21 85] ; [ 5 12],[22.40650407 83.59349593] ; [ 3.59349593 13.40650407],0
p1,1,0.380959,0.767606,[11 95] ; [ 3 14],[12.06504065 93.93495935] ; [ 1.93495935 15.06504065],0
