Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,2e-06,22.762646,[295  62] ; [26 23],[282.25862069  74.74137931] ; [38.74137931 10.25862069],1
n4,1,4e-06,21.453998,[303  55] ; [28 21],[291.14987715  66.85012285] ; [39.85012285  9.14987715],1
r4,1,0.000337,12.851044,[334  25] ; [38 11],[327.32352941  31.67647059] ; [44.67647059  4.32352941],1
a2,1,0.001972,9.575045,[ 94 265] ; [ 3 46],[ 85.3504902 273.6495098] ; [11.6495098 37.3504902],0
b1,1,0.00208,9.47752,[111 248] ; [26 23],[120.54656863 238.45343137] ; [16.45343137 32.54656863],0
a4,1,0.003597,8.47673,[166 191] ; [12 37],[156.51724138 200.48275862] ; [21.48275862 27.51724138],0
d2,1,0.006924,7.292675,[190 167] ; [16 33],[181.13793103 175.86206897] ; [24.86206897 24.13793103],0
u1,1,0.009254,6.773155,[ 79 280] ; [ 3 46],[ 72.15196078 286.84803922] ; [ 9.84803922 39.15196078],0
p6,1,0.013276,6.13197,[143 209] ; [10 36],[135.31658291 216.68341709] ; [17.68341709 28.31658291],0
p3,1,0.01436,5.99337,[208 149] ; [19 29],[200.0962963 156.9037037] ; [26.9037037 21.0962963],0
p10,1,0.015872,5.817044,[315  38] ; [37 11],[309.86533666  43.13466334] ; [42.13466334  5.86533666],0
s6,1,0.017435,5.652028,[240 112] ; [25 24],[232.61845387 119.38154613] ; [32.38154613 16.61845387],0
r3,1,0.025741,4.973347,[352   5] ; [46  3],[349.96551724   7.03448276] ; [48.03448276  0.96551724],0
r2,1,0.027376,4.866933,[337  17] ; [41  6],[333.6957606  20.3042394] ; [44.3042394  2.6957606],0
s5,1,0.029302,4.7498,[126 216] ; [10 38],[119.26153846 222.73846154] ; [16.73846154 31.26153846],0
p9,1,0.029945,4.712423,[321  30] ; [40  9],[316.7775  34.2225] ; [44.2225  4.7775],0
v3,1,0.030159,4.700214,[209 144] ; [20 27],[202.0925 150.9075] ; [26.9075 20.0925],0
s2,1,0.039755,4.228294,[185 168] ; [18 31],[178.25621891 174.74378109] ; [24.74378109 24.25621891],0
d1,1,0.039961,4.21954,[237 122] ; [25 24],[230.53431373 128.46568627] ; [31.46568627 17.53431373],0
s8,1,0.05056,3.822797,[176 179] ; [17 32],[169.59158416 185.40841584] ; [23.40841584 25.59158416],0
s7,1,0.059455,3.552529,[185 157] ; [19 29],[178.89230769 163.10769231] ; [25.10769231 22.89230769],0
p8,1,0.060209,3.531623,[214 136] ; [22 25],[208.0604534 141.9395466] ; [27.9395466 19.0604534],0
n1,1,0.060579,3.521474,[16 45] ; [6 5],[18.63888889 42.36111111] ; [3.36111111 7.63888889],0
p4,1,0.066373,3.37051,[233 122] ; [25 23],[227.27047146 127.72952854] ; [30.72952854 17.27047146],0
p2,1,0.077844,3.10935,[315  42] ; [38 10],[311.16296296  45.83703704] ; [41.83703704  6.16296296],0
r1,1,0.078762,3.09026,[305  54] ; [36 12],[300.78378378  58.21621622] ; [40.21621622  7.78378378],0
d4,1,0.081603,3.03268,[310  47] ; [38 11],[306.  51.] ; [42.  7.],0
u2,1,0.089737,2.879091,[44 41] ; [8 2],[46.52631579 38.47368421] ; [5.47368421 4.52631579],0
v1,1,0.096736,2.758548,[239 111] ; [27 21],[233.91959799 116.08040201] ; [32.08040201 15.91959799],0
p7,1,0.101219,2.686231,[251  98] ; [29 19],[246.14609572 102.85390428] ; [33.85390428 14.14609572],0
a8,1,0.109407,2.562764,[ 53 272] ; [ 3 40],[ 49.45652174 275.54347826] ; [ 6.54347826 36.45652174],0
d3,1,0.134902,2.235168,[263  95] ; [31 18],[258.6044226  99.3955774] ; [35.3955774 13.6044226],0
a7,1,0.153842,2.033736,[273  83] ; [33 16],[268.97777778  87.02222222] ; [37.02222222 11.97777778],0
s4,1,0.156156,2.01106,[ 47 308] ; [ 3 46],[ 43.93564356 311.06435644] ; [ 6.06435644 42.93564356],0
s3,1,0.165651,1.921867,[197 152] ; [22 26],[192.52141058 156.47858942] ; [26.47858942 21.52141058],0
v4,1,0.203739,1.615367,[342  15] ; [44  4],[340.25185185  16.74814815] ; [45.74814815  2.25185185],0
p5,1,0.258767,1.275343,[ 50 307] ; [ 4 45],[ 47.48275862 309.51724138] ; [ 6.51724138 42.48275862],0
a5,1,0.265742,1.238595,[281  77] ; [35 14],[277.95577396  80.04422604] ; [38.04422604 10.95577396],0
b3,1,0.330271,0.947836,[ 93 144] ; [ 8 19],[ 90.67045455 146.32954545] ; [10.32954545 16.67045455],0
b2,1,0.330271,0.947836,[ 93 144] ; [ 8 19],[ 90.67045455 146.32954545] ; [10.32954545 16.67045455],0
u3,1,0.39069,0.736794,[48 38] ; [7 3],[49.27083333 36.72916667] ; [5.72916667 4.27083333],0
a6,1,0.40066,0.706344,[254 103] ; [32 17],[251.48275862 105.51724138] ; [34.51724138 14.48275862],0
b5,1,0.455346,0.557311,[207 152] ; [31 18],[209.41666667 149.58333333] ; [28.58333333 20.41666667],0
p12,1,0.506707,0.44086,[ 41 314] ; [ 4 44],[ 39.64019851 315.35980149] ; [ 5.35980149 42.64019851],0
a1,1,0.524412,0.405207,[ 23 336] ; [ 2 47],[ 21.99754902 337.00245098] ; [ 3.00245098 45.99754902],0
n3,1,0.547396,0.362004,[47 14] ; [11  2],[47.81081081 13.18918919] ; [10.18918919  2.81081081],0
b4,1,0.552035,0.353684,[221 138] ; [28 21],[219.09558824 139.90441176] ; [29.90441176 19.09558824],0
a3,1,0.627169,0.23592,[273  84] ; [39 10],[274.34482759  82.65517241] ; [37.65517241 11.34482759],0
d5,1,0.695102,0.153617,[301  58] ; [40  9],[300.04656863  58.95343137] ; [40.95343137  8.04656863],0
s1,1,0.833521,0.044179,[  6 347] ; [ 1 46],[  6.1775 346.8225] ; [ 0.8225 46.1775],0
u4,1,0.843084,0.039184,[  9 350] ; [ 1 48],[  8.79901961 350.20098039] ; [ 1.20098039 47.79901961],0
p1,1,0.903168,0.014801,[ 31 326] ; [ 4 45],[ 30.77586207 326.22413793] ; [ 4.22413793 44.77586207],0
