Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,47.329771,[291  13] ; [5 6],[285.66349206  18.33650794] ; [10.33650794  0.66349206],1
r2,1,0.0,35.55515,[290  12] ; [6 5],[285.59744409  16.40255591] ; [10.40255591  0.59744409],1
r3,1,0.003854,8.351243,[296   8] ; [9 2],[294.34920635   9.65079365] ; [10.65079365  0.34920635],0
p11,1,0.006276,7.469235,[259  45] ; [6 5],[255.74603175  48.25396825] ; [9.25396825 1.74603175],0
d1,1,0.022379,5.216074,[210  94] ; [4 7],[206.52698413  97.47301587] ; [7.47301587 3.52698413],0
d5,1,0.0226,5.198968,[265  38] ; [7 4],[262.47133758  40.52866242] ; [9.52866242 1.47133758],0
d4,1,0.033754,4.507117,[262  41] ; [7 4],[259.57643312  43.42356688] ; [9.42356688 1.57643312],0
r1,1,0.053448,3.729844,[258  45] ; [7 4],[255.71656051  47.28343949] ; [9.28343949 1.71656051],0
s4,1,0.062182,3.478203,[ 46 254] ; [4 7],[ 48.23151125 251.76848875] ; [1.76848875 9.23151125],0
a7,1,0.087647,2.917076,[233  70] ; [6 5],[230.62738854  72.37261146] ; [8.37261146 2.62738854],0
s5,1,0.156574,2.007005,[124 168] ; [2 8],[121.82781457 170.17218543] ; [4.17218543 5.82781457],0
s1,1,0.166746,1.911955,[  7 291] ; [ 1 10],[  7.71521036 290.28478964] ; [ 0.28478964 10.71521036],0
n5,1,0.168076,1.900022,[264  39] ; [8 3],[262.47133758  40.52866242] ; [9.52866242 1.47133758],0
p9,1,0.192891,1.695399,[278  25] ; [8 2],[276.86261981  26.13738019] ; [9.13738019 0.86261981],0
b3,1,0.209601,1.574177,[ 82 124] ; [2 8],[ 80.11111111 125.88888889] ; [3.88888889 6.11111111],0
b2,1,0.209601,1.574177,[ 82 124] ; [2 8],[ 80.11111111 125.88888889] ; [3.88888889 6.11111111],0
n4,1,0.212391,1.555051,[261  42] ; [8 3],[259.57643312  43.42356688] ; [9.42356688 1.57643312],0
u1,1,0.243335,1.361169,[ 74 230] ; [ 1 10],[ 72.38095238 231.61904762] ; [2.61904762 8.38095238],0
p2,1,0.248449,1.332001,[278  25] ; [9 2],[276.94585987  26.05414013] ; [10.05414013  0.94585987],0
s2,1,0.252109,1.311577,[174 125] ; [4 6],[172.2394822 126.7605178] ; [5.7605178 4.2394822],0
v3,1,0.256819,1.285824,[158 136] ; [4 7],[156.15737705 137.84262295] ; [5.84262295 5.15737705],0
s3,1,0.280572,1.164316,[171 128] ; [4 6],[169.33656958 129.66343042] ; [5.66343042 4.33656958],0
a6,1,0.283635,1.149591,[212  92] ; [6 5],[210.38730159  93.61269841] ; [7.61269841 3.38730159],0
p8,1,0.2863,1.136941,[209  91] ; [6 5],[207.39549839  92.60450161] ; [7.60450161 3.39549839],0
b1,1,0.316156,1.004785,[120 184] ; [6 5],[121.6 182.4] ; [4.4 6.6],0
p10,1,0.324707,0.969894,[271  31] ; [8 2],[270.05769231  31.94230769] ; [8.94230769 1.05769231],0
d3,1,0.334261,0.932319,[232  72] ; [7 4],[230.65396825  73.34603175] ; [8.34603175 2.65396825],0
b4,1,0.338977,0.914296,[182 122] ; [5 6],[180.46984127 123.53015873] ; [6.53015873 4.46984127],0
b5,1,0.439379,0.597904,[186 118] ; [8 3],[187.22539683 116.77460317] ; [6.77460317 4.22539683],0
u2,1,0.469719,0.522637,[42 35] ; [1 2],[41.3875 35.6125] ; [1.6125 1.3875],0
s8,1,0.525694,0.402708,[166 135] ; [5 6],[164.97115385 136.02884615] ; [6.02884615 4.97115385],0
d2,1,0.533801,0.387151,[164 139] ; [7 4],[165.00955414 137.99044586] ; [5.99044586 5.00955414],0
n1,1,0.601529,0.272696,[22 23] ; [1 2],[21.5625 23.4375] ; [1.4375 1.5625],0
s7,1,0.628678,0.233858,[165 121] ; [5 5],[164.25675676 121.74324324] ; [5.74324324 4.25675676],0
p7,1,0.656265,0.198093,[228  72] ; [9 2],[228.61736334  71.38263666] ; [8.38263666 2.61736334],0
a8,1,0.666262,0.186005,[ 40 228] ; [1 9],[ 39.52517986 228.47482014] ; [1.47482014 8.52517986],0
a4,1,0.75068,0.10096,[152 150] ; [5 6],[151.48242812 150.51757188] ; [5.51757188 5.48242812],0
s6,1,0.767862,0.087127,[221  77] ; [7 3],[220.5974026  77.4025974] ; [7.4025974 2.5974026],0
v2,1,0.7818,0.076715,[205  93] ; [8 3],[205.41747573  92.58252427] ; [7.58252427 3.41747573],0
p3,1,0.796797,0.066303,[210  94] ; [8 3],[210.38730159  93.61269841] ; [7.61269841 3.38730159],0
p12,1,0.801361,0.063296,[ 35 268] ; [ 1 10],[ 34.7388535 268.2611465] ; [1.2611465 9.7388535],0
a3,1,0.86938,0.027042,[227  76] ; [8 3],[226.76751592  76.23248408] ; [8.23248408 2.76751592],0
a5,1,0.878036,0.02355,[243  61] ; [9 2],[243.2  60.8] ; [8.8 2.2],0
a2,1,0.90418,0.014492,[ 88 216] ; [3 8],[ 87.82222222 216.17777778] ; [3.17777778 7.82222222],0
p5,1,0.911292,0.012412,[ 59 243] ; [2 9],[ 58.85623003 243.14376997] ; [2.14376997 8.85623003],0
n6,1,0.957569,0.002831,[274  29] ; [10  1],[274.05095541  28.94904459] ; [9.94904459 1.05095541],0
p6,1,0.963555,0.002088,[161 138] ; [6 5],[161.07419355 137.92580645] ; [5.92580645 5.07419355],0
u3,1,0.974942,0.000987,[52 25] ; [2 1],[51.975 25.025] ; [2.025 0.975],0
