Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,29.21652,[ 8 25] ; [62 17],[20.625 12.375] ; [49.375 29.625],1
s7,1,0.007121,7.242284,[ 4 28] ; [28 44],[ 9.84615385 22.15384615] ; [22.15384615 49.84615385],0
s6,1,0.055234,3.675003,[11 22] ; [41 36],[15.6 17.4] ; [36.4 40.6],0
d2,1,0.055278,3.673684,[ 4 29] ; [23 56],[ 7.95535714 25.04464286] ; [19.04464286 59.95535714],0
p10,1,0.058497,3.579503,[14 17] ; [50 27],[18.37037037 12.62962963] ; [45.62962963 31.37037037],0
a5,1,0.063729,3.437583,[10 23] ; [39 40],[14.4375 18.5625] ; [34.5625 44.4375],0
p9,1,0.108702,2.572996,[17 15] ; [52 23],[20.63551402 11.36448598] ; [48.36448598 26.63551402],0
v4,1,0.119079,2.429396,[30  2] ; [65 14],[27.38738739  4.61261261] ; [67.61261261 11.38738739],0
r3,1,0.120783,2.407132,[29  4] ; [59 20],[25.92857143  7.07142857] ; [62.07142857 16.92857143],0
v3,1,0.131337,2.276635,[ 4 27] ; [20 56],[ 6.95327103 24.04672897] ; [17.04672897 58.95327103],0
a4,1,0.154228,2.029925,[ 4 29] ; [19 60],[ 6.77678571 26.22321429] ; [16.22321429 62.77678571],0
r1,1,0.160081,1.973456,[14 19] ; [45 34],[17.38392857 15.61607143] ; [41.61607143 37.38392857],0
s5,1,0.160125,1.973041,[ 5 28] ; [21 55],[ 7.87155963 25.12844037] ; [18.12844037 57.87155963],0
p12,1,0.202373,1.625166,[ 1 32] ; [ 8 70],[ 2.67567568 30.32432432] ; [ 6.32432432 71.67567568],0
p5,1,0.209499,1.574887,[ 1 31] ; [ 8 69],[ 2.64220183 29.35779817] ; [ 6.35779817 70.64220183],0
n3,1,0.233751,1.417892,[9 2] ; [18 11],[7.425 3.575] ; [19.575  9.425],0
p2,1,0.24919,1.32784,[25  7] ; [53 26],[22.48648649  9.51351351] ; [55.51351351 23.48648649],0
u3,1,0.279773,1.168191,[ 9 11] ; [14 31],[ 7.07692308 12.92307692] ; [15.92307692 29.07692308],0
n1,1,0.321829,0.981499,[3 9] ; [12 17],[4.3902439 7.6097561] ; [10.6097561 18.3902439],0
p6,1,0.350122,0.873016,[ 7 26] ; [23 54],[ 9. 24.] ; [21. 56.],0
a7,1,0.368857,0.807512,[18 14] ; [37 42],[15.85585586 16.14414414] ; [39.14414414 39.85585586],0
d5,1,0.399759,0.709051,[11 21] ; [34 45],[12.97297297 19.02702703] ; [32.02702703 46.97297297],0
s4,1,0.422262,0.644012,[ 5 28] ; [17 61],[ 6.54054054 26.45945946] ; [15.45945946 62.54054054],0
a6,1,0.436662,0.605038,[17 16] ; [47 32],[18.85714286 14.14285714] ; [45.14285714 33.85714286],0
p4,1,0.4376,0.602569,[12 21] ; [35 44],[13.84821429 19.15178571] ; [33.15178571 45.84821429],0
s3,1,0.477791,0.503901,[12 20] ; [35 43],[13.67272727 18.32727273] ; [33.32727273 44.67272727],0
a2,1,0.479679,0.499593,[ 1 32] ; [ 5 74],[ 1.76785714 31.23214286] ; [ 4.23214286 74.76785714],0
r2,1,0.528297,0.397667,[28  5] ; [63 16],[26.8125  6.1875] ; [64.1875 14.8125],0
b5,1,0.534065,0.386651,[18 15] ; [38 41],[16.5 16.5] ; [39.5 39.5],0
p11,1,0.599397,0.275907,[20 13] ; [52 27],[21.21428571 11.78571429] ; [50.78571429 28.21428571],0
s1,1,0.617475,0.249433,[ 1 32] ; [ 4 73],[ 1.5 31.5] ; [ 3.5 73.5],0
b3,1,0.634641,0.225819,[ 3 14] ; [10 33],[ 3.68333333 13.31666667] ; [ 9.31666667 33.68333333],0
b2,1,0.634641,0.225819,[ 3 14] ; [10 33],[ 3.68333333 13.31666667] ; [ 9.31666667 33.68333333],0
a1,1,0.634831,0.225567,[ 1 32] ; [ 4 75],[ 1.47321429 31.52678571] ; [ 3.52678571 75.47321429],0
s2,1,0.659562,0.194056,[12 21] ; [25 53],[11. 22.] ; [26. 52.],0
a3,1,0.682596,0.167218,[13 20] ; [34 44],[13.97297297 19.02702703] ; [33.02702703 44.97297297],0
n6,1,0.688255,0.160981,[23 10] ; [58 21],[23.86607143  9.13392857] ; [57.13392857 21.86607143],0
p3,1,0.699664,0.148822,[11 22] ; [29 49],[11.89189189 21.10810811] ; [28.10810811 49.89189189],0
b1,1,0.719592,0.128884,[15 18] ; [33 46],[14.14285714 18.85714286] ; [33.85714286 45.14285714],0
r4,1,0.758514,0.094515,[22 11] ; [55 24],[22.6875 10.3125] ; [54.3125 24.6875],0
n2,1,0.76308,0.090865,[7 5] ; [19 11],[7.42857143 4.57142857] ; [18.57142857 11.42857143],0
p8,1,0.823181,0.049933,[14 19] ; [34 42],[14.53211009 18.46788991] ; [33.46788991 42.53211009],0
u2,1,0.830407,0.045873,[ 7 13] ; [17 28],[ 7.38461538 12.61538462] ; [16.61538462 28.38461538],0
s8,1,0.876762,0.024048,[ 8 25] ; [20 58],[ 8.32432432 24.67567568] ; [19.67567568 58.32432432],0
