Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,165.534134,[  6 105] ; [375 151],[66.39089482 44.60910518] ; [314.60910518 211.39089482],1
d3,1,0.0,105.428421,[31 80] ; [408 118],[76.49764521 34.50235479] ; [362.50235479 163.49764521],1
d5,1,0.0,98.820689,[52 59] ; [462  64],[89.566719 21.433281] ; [424.433281 101.566719],1
a3,1,0.0,32.153179,[56 55] ; [404 121],[80.28301887 30.71698113] ; [379.71698113 145.28301887],1
a5,1,0.0,31.004228,[60 51] ; [417 109],[83.11930926 27.88069074] ; [393.88069074 132.11930926],1
d2,1,0.0,25.932885,[30 81] ; [281 243],[54.36377953 56.63622047] ; [256.63622047 267.36377953],1
a4,1,1.1e-05,19.360398,[29 81] ; [259 266],[49.88976378 60.11023622] ; [238.11023622 286.88976378],1
u1,1,2.5e-05,17.784272,[  5 106] ; [114 412],[20.73626374 90.26373626] ; [ 98.26373626 427.73626374],1
a2,1,6.2e-05,16.052112,[ 10 101] ; [141 385],[26.31240188 84.68759812] ; [124.68759812 401.31240188],1
r3,1,0.000906,11.010087,[101   9] ; [513  11],[106.52996845   3.47003155] ; [507.47003155  16.52996845],1
v2,1,0.001793,9.749909,[47 58] ; [310 196],[61.3502455 43.6497545] ; [295.6497545 210.3502455],0
s2,1,0.002449,9.178096,[40 67] ; [278 242],[54.26794258 52.73205742] ; [263.73205742 256.26794258],0
p4,1,0.002991,8.813181,[55 55] ; [341 183],[68.70662461 41.29337539] ; [327.29337539 196.70662461],0
r1,1,0.006361,7.44513,[78 32] ; [432  93],[88.34645669 21.65354331] ; [421.65354331 103.34645669],0
s8,1,0.007388,7.17606,[37 72] ; [251 272],[49.67088608 59.32911392] ; [238.32911392 284.67088608],0
a7,1,0.009613,6.705223,[69 42] ; [390 135],[80.10849057 30.89150943] ; [378.89150943 146.10849057],0
b3,1,0.012158,6.287741,[19 52] ; [143 191],[28.4 42.6] ; [133.6 200.4],0
b2,1,0.012158,6.287741,[19 52] ; [143 191],[28.4 42.6] ; [133.6 200.4],0
v1,1,0.014418,5.986208,[49 59] ; [297 213],[60.46601942 47.53398058] ; [285.53398058 224.46601942],0
s5,1,0.019411,5.464095,[27 80] ; [187 317],[37.47626841 69.52373159] ; [176.52373159 327.47626841],0
p9,1,0.020141,5.399619,[91 18] ; [472  47],[97.71815287 11.28184713] ; [465.28184713  53.71815287],0
s7,1,0.022214,5.228956,[41 62] ; [266 244],[51.58401305 51.41598695] ; [255.41598695 254.58401305],0
u2,1,0.022243,5.226667,[23 32] ; [73 48],[30. 25.] ; [66. 55.],0
p2,1,0.031868,4.605605,[87 22] ; [459  65],[94.01895735 14.98104265] ; [451.98104265  72.01895735],0
r4,1,0.036054,4.394529,[96 15] ; [487  39],[101.59026688   9.40973312] ; [481.40973312  44.59026688],0
u3,1,0.039023,4.259846,[24 31] ; [73 48],[30.3125 24.6875] ; [66.6875 54.3125],0
p7,1,0.040457,4.198595,[62 45] ; [350 163],[71.10322581 35.89677419] ; [340.89677419 172.10322581],0
