Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2.2e-05,17.988659,[11  6] ; [13 68],[ 4.16326531 12.83673469] ; [19.83673469 61.16326531],1
s3,1,0.004801,7.952732,[9 8] ; [16 64],[ 4.3814433 12.6185567] ; [20.6185567 59.3814433],0
s8,1,0.02427,5.075226,[ 4 13] ; [ 5 76],[ 1.56122449 15.43877551] ; [ 7.43877551 73.56122449],0
n2,1,0.024641,5.048962,[8 1] ; [16 18],[5.02325581 3.97674419] ; [18.97674419 15.02325581],0
n3,1,0.038666,4.275474,[7 1] ; [16 18],[4.38095238 3.61904762] ; [18.61904762 15.38095238],0
p11,1,0.04995,3.843137,[12  5] ; [36 45],[8.32653061 8.67346939] ; [39.67346939 41.32653061],0
s2,1,0.052974,3.744731,[ 5 12] ; [ 9 71],[ 2.45360825 14.54639175] ; [11.54639175 68.45360825],0
p3,1,0.05778,3.6,[7 9] ; [17 63],[ 4. 12.] ; [20. 60.],0
p6,1,0.059594,3.548655,[ 5 12] ; [ 9 69],[ 2.50526316 14.49473684] ; [11.49473684 66.50526316],0
b3,1,0.065451,3.393561,[7 5] ; [15 35],[4.25806452 7.74193548] ; [17.74193548 32.25806452],0
b2,1,0.065451,3.393561,[7 5] ; [15 35],[4.25806452 7.74193548] ; [17.74193548 32.25806452],0
s5,1,0.080935,3.046027,[ 4 13] ; [ 7 73],[ 1.92783505 15.07216495] ; [ 9.07216495 70.92783505],0
p4,1,0.088763,2.896668,[8 9] ; [21 59],[ 5.08247423 11.91752577] ; [23.91752577 56.08247423],0
n6,1,0.094502,2.795958,[13  4] ; [43 36],[9.91666667 7.08333333] ; [46.08333333 32.91666667],0
v1,1,0.132461,2.263424,[ 7 10] ; [19 62],[ 4.51020408 12.48979592] ; [21.48979592 59.51020408],0
a5,1,0.133039,2.256676,[12  5] ; [41 40],[9.19387755 7.80612245] ; [43.80612245 37.19387755],0
r2,1,0.182673,1.775741,[16  1] ; [63 15],[14.13684211  2.86315789] ; [64.86315789 13.13684211],0
u1,1,0.183824,1.766436,[ 3 14] ; [ 6 75],[ 1.56122449 15.43877551] ; [ 7.43877551 73.56122449],0
d5,1,0.214131,1.543275,[13  4] ; [49 32],[10.75510204  6.24489796] ; [51.24489796 29.75510204],0
a8,1,0.242847,1.363992,[ 2 13] ; [ 4 73],[ 0.97826087 14.02173913] ; [ 5.02173913 71.97826087],0
r3,1,0.249354,1.326918,[14  3] ; [54 25],[12.04166667  4.95833333] ; [55.95833333 23.04166667],0
p7,1,0.254375,1.299116,[9 8] ; [30 49],[ 6.90625 10.09375] ; [32.09375 46.90625],0
p8,1,0.266916,1.232529,[ 6 11] ; [18 62],[ 4.20618557 12.79381443] ; [19.79381443 60.20618557],0
a3,1,0.312341,1.020749,[11  6] ; [41 39],[9.11340206 7.88659794] ; [42.88659794 37.11340206],0
r4,1,0.335984,0.925695,[12  5] ; [47 34],[10.23469388  6.76530612] ; [48.76530612 32.23469388],0
b1,1,0.371821,0.79757,[10  7] ; [38 43],[8.32653061 8.67346939] ; [39.67346939 41.32653061],0
d3,1,0.371821,0.79757,[10  7] ; [38 43],[8.32653061 8.67346939] ; [39.67346939 41.32653061],0
n4,1,0.414379,0.6662,[12  5] ; [48 32],[10.51546392  6.48453608] ; [49.48453608 30.51546392],0
a2,1,0.454827,0.558596,[ 3 14] ; [ 9 72],[ 2.08163265 14.91836735] ; [ 9.91836735 71.08163265],0
p2,1,0.478995,0.50115,[10  7] ; [40 41],[8.67346939 8.32653061] ; [41.32653061 39.67346939],0
a4,1,0.492885,0.470222,[ 7 10] ; [26 54],[ 5.78350515 11.21649485] ; [27.21649485 52.78350515],0
b5,1,0.52274,0.408484,[9 8] ; [36 45],[7.80612245 9.19387755] ; [37.19387755 43.80612245],0
v4,1,0.527089,0.4,[13  3] ; [59 21],[12.  4.] ; [60. 20.],0
r1,1,0.528278,0.397703,[12  5] ; [50 30],[10.86597938  6.13402062] ; [51.13402062 28.86597938],0
s4,1,0.550822,0.355846,[ 2 15] ; [ 6 75],[ 1.3877551 15.6122449] ; [ 6.6122449 74.3877551],0
u3,1,0.558527,0.342262,[3 3] ; [15 25],[2.34782609 3.65217391] ; [15.65217391 24.34782609],0
p1,1,0.604156,0.268773,[ 1 16] ; [ 8 73],[ 1.56122449 15.43877551] ; [ 7.43877551 73.56122449],0
u2,1,0.635836,0.224229,[2 4] ; [17 22],[2.53333333 3.46666667] ; [16.46666667 22.53333333],0
v2,1,0.655928,0.198508,[ 7 10] ; [28 51],[ 6.19791667 10.80208333] ; [28.80208333 50.19791667],0
a6,1,0.676599,0.173979,[11  6] ; [48 33],[10.23469388  6.76530612] ; [48.76530612 32.23469388],0
s1,1,0.686903,0.162459,[ 1 16] ; [ 7 72],[ 1.41666667 15.58333333] ; [ 6.58333333 72.41666667],0
d4,1,0.702584,0.145798,[10  7] ; [51 29],[10.69072165  6.30927835] ; [50.30927835 29.69072165],0
a7,1,0.813596,0.055597,[10  7] ; [44 35],[9.5625 7.4375] ; [44.4375 34.5625],0
d1,1,0.898218,0.016362,[ 7 10] ; [32 49],[ 6.76530612 10.23469388] ; [32.23469388 48.76530612],0
n5,1,0.89917,0.016055,[9 8] ; [41 39],[8.7628866 8.2371134] ; [41.2371134 38.7628866],0
d2,1,0.93779,0.006091,[8 9] ; [38 41],[8.14583333 8.85416667] ; [37.85416667 41.14583333],0
v3,1,0.968034,0.001606,[ 4 13] ; [18 60],[ 3.93684211 13.06315789] ; [18.06315789 59.93684211],0
b4,1,0.97349,0.001104,[10  7] ; [48 33],[10.06122449  6.93877551] ; [47.93877551 33.06122449],0
