Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,160.03313,[251  22] ; [29 74],[203.29787234  69.70212766] ; [76.70212766 26.29787234],1
s6,1,0.0,51.679138,[249  20] ; [64 39],[226.33602151  42.66397849] ; [86.66397849 16.33602151],1
s5,1,0.0,29.675044,[141 119] ; [23 79],[117.79005525 142.20994475] ; [46.20994475 55.79005525],1
s8,1,3.8e-05,16.974552,[210  64] ; [56 46],[193.84042553  80.15957447] ; [72.15957447 29.84042553],1
r4,1,0.00115,10.569587,[262  13] ; [88 15],[254.62962963  20.37037037] ; [95.37037037  7.62962963],0
s4,1,0.003111,8.740993,[ 67 206] ; [11 92],[ 56.63297872 216.36702128] ; [21.36702128 81.63297872],0
p9,1,0.004429,8.098788,[252  21] ; [83 18],[244.53208556  28.46791444] ; [90.46791444 10.53208556],0
n5,1,0.004478,8.079008,[243  32] ; [79 24],[234.25925926  40.74074074] ; [87.74074074 15.25925926],0
v4,1,0.004716,7.985194,[270   5] ; [95  8],[265.54232804   9.45767196] ; [99.45767196  3.54232804],0
d1,1,0.005537,7.694969,[189  86] ; [55 48],[177.51322751  97.48677249] ; [66.48677249 36.51322751],0
n4,1,0.008883,6.846166,[246  28] ; [82 21],[238.3872679  35.6127321] ; [89.6127321 13.3872679],0
r2,1,0.011951,6.318059,[269   5] ; [93  7],[265.20855615   8.79144385] ; [96.79144385  3.20855615],0
a4,1,0.0178,5.615726,[151 124] ; [42 60],[140.78249337 134.21750663] ; [52.21750663 49.78249337],0
d2,1,0.03868,4.274881,[166 109] ; [50 53],[157.14285714 117.85714286] ; [58.85714286 44.14285714],0
r1,1,0.048688,3.886072,[238  36] ; [81 22],[231.84615385  42.15384615] ; [87.15384615 15.84615385],0
u4,1,0.053886,3.716214,[ 15 260] ; [  1 102],[ 11.64021164 263.35978836] ; [ 4.35978836 98.64021164],0
p2,1,0.066442,3.368813,[241  33] ; [83 20],[235.4801061  38.5198939] ; [88.5198939 14.4801061],0
p4,1,0.067251,3.34887,[197  77] ; [64 39],[189.69230769  84.30769231] ; [71.30769231 31.69230769],0
b1,1,0.074377,3.183675,[113 162] ; [32 71],[105.48941799 169.51058201] ; [39.51058201 63.48941799],0
s1,1,0.089522,2.882943,[ 17 255] ; [  2 101],[ 13.78133333 258.21866667] ; [ 5.21866667 97.78133333],0
