Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2.1e-05,18.142193,[ 8 54] ; [19 17],[17.08163265 44.91836735] ; [ 9.91836735 26.08163265],1
s4,1,0.001249,10.416205,[ 3 59] ; [10 26],[ 8.2244898 53.7755102] ; [ 4.7755102 31.2244898],0
s7,1,0.003965,8.299556,[ 8 50] ; [13 19],[13.53333333 44.46666667] ; [ 7.46666667 24.53333333],0
s6,1,0.006687,7.355185,[17 44] ; [20 16],[23.26804124 37.73195876] ; [13.73195876 22.26804124],0
d1,1,0.010033,6.62897,[32 30] ; [ 9 27],[25.93877551 36.06122449] ; [15.06122449 20.93877551],0
b1,1,0.011921,6.322581,[37 25] ; [12 24],[31. 31.] ; [18. 18.],0
v3,1,0.066356,3.370941,[11 47] ; [12 21],[14.65934066 43.34065934] ; [ 8.34065934 24.65934066],0
d5,1,0.070032,3.282278,[44 18] ; [19 17],[39.85714286 22.14285714] ; [23.14285714 12.85714286],0
s5,1,0.084117,2.983495,[ 7 52] ; [ 9 26],[10.04255319 48.95744681] ; [ 5.95744681 29.04255319],0
p11,1,0.093676,2.810036,[35 27] ; [14 22],[31. 31.] ; [18. 18.],0
p7,1,0.115818,2.472978,[21 41] ; [18 18],[24.67346939 37.32653061] ; [14.32653061 21.67346939],0
s1,1,0.116491,2.463872,[ 2 60] ; [ 4 32],[ 3.79591837 58.20408163] ; [ 2.20408163 33.79591837],0
p1,1,0.121853,2.393336,[ 2 59] ; [ 4 32],[ 3.77319588 57.22680412] ; [ 2.22680412 33.77319588],0
v2,1,0.147781,2.09501,[32 29] ; [13 22],[28.59375 32.40625] ; [16.40625 18.59375],0
u2,1,0.241279,1.373108,[ 9 17] ; [8 7],[10.7804878 15.2195122] ; [6.2195122 8.7804878],0
s8,1,0.242965,1.363309,[ 8 53] ; [ 8 28],[10.06185567 50.93814433] ; [ 5.93814433 30.06185567],0
v1,1,0.274055,1.196337,[21 40] ; [16 19],[23.51041667 37.48958333] ; [13.48958333 21.51041667],0
p6,1,0.287572,1.130952,[14 46] ; [ 5 30],[12. 48.] ; [ 7. 28.],0
n6,1,0.321045,0.984683,[34 28] ; [16 20],[31.63265306 30.36734694] ; [18.36734694 17.63265306],0
d4,1,0.335348,0.928135,[50 12] ; [26 10],[48.08163265 13.91836735] ; [27.91836735  8.08163265],0
p3,1,0.35035,0.872188,[19 43] ; [14 21],[21.09278351 40.90721649] ; [11.90721649 23.09278351],0
n1,1,0.353235,0.861801,[ 5 18] ; [5 9],[ 6.21621622 16.78378378] ; [ 3.78378378 10.21621622],0
n3,1,0.438815,0.59938,[17  6] ; [8 5],[15.97222222  7.02777778] ; [9.02777778 3.97222222],0
p4,1,0.440272,0.595575,[21 41] ; [15 21],[22.7755102 39.2244898] ; [13.2244898 22.7755102],0
d3,1,0.473749,0.513219,[39 23] ; [20 16],[37.32653061 24.67346939] ; [21.67346939 14.32653061],0
a8,1,0.487762,0.481459,[ 6 52] ; [ 2 31],[ 5.0989011 52.9010989] ; [ 2.9010989 30.0989011],0
p9,1,0.509861,0.434352,[17 44] ; [12 23],[18.42708333 42.57291667] ; [10.57291667 24.42708333],0
r4,1,0.550935,0.355645,[43 19] ; [27  9],[44.28571429 17.71428571] ; [25.71428571 10.28571429],0
d2,1,0.570121,0.322479,[26 36] ; [13 23],[24.67346939 37.32653061] ; [14.32653061 21.67346939],0
p2,1,0.570121,0.322479,[36 26] ; [23 13],[37.32653061 24.67346939] ; [21.67346939 14.32653061],0
r2,1,0.571608,0.32,[49 11] ; [31  5],[50. 10.] ; [30.  6.],0
u1,1,0.614646,0.253465,[ 5 57] ; [ 4 32],[ 5.69387755 56.30612245] ; [ 3.30612245 32.69387755],0
r1,1,0.618714,0.247679,[40 22] ; [25 11],[41.12244898 20.87755102] ; [23.87755102 12.12244898],0
a1,1,0.61913,0.247093,[ 3 59] ; [ 1 35],[ 2.53061224 59.46938776] ; [ 1.46938776 34.53061224],0
r3,1,0.641075,0.217339,[55  7] ; [33  3],[55.67346939  6.32653061] ; [32.32653061  3.67346939],0
b2,1,0.729308,0.119748,[10 30] ; [ 5 12],[10.52631579 29.47368421] ; [ 4.47368421 12.52631579],0
b3,1,0.729308,0.119748,[10 30] ; [ 5 12],[10.52631579 29.47368421] ; [ 4.47368421 12.52631579],0
b5,1,0.773114,0.08312,[38 24] ; [21 15],[37.32653061 24.67346939] ; [21.67346939 14.32653061],0
b4,1,0.808815,0.058542,[36 26] ; [20 16],[35.42857143 26.57142857] ; [20.57142857 15.42857143],0
a5,1,0.823447,0.049779,[33 29] ; [20 16],[33.53061224 28.46938776] ; [19.46938776 16.53061224],0
p8,1,0.87346,0.025365,[18 44] ; [11 25],[18.34693878 43.65306122] ; [10.65306122 25.34693878],0
n4,1,0.888831,0.01954,[25 37] ; [14 22],[24.67346939 37.32653061] ; [14.32653061 21.67346939],0
a7,1,0.888831,0.01954,[37 25] ; [22 14],[37.32653061 24.67346939] ; [21.67346939 14.32653061],0
a3,1,0.92968,0.007788,[36 26] ; [20 15],[35.79381443 26.20618557] ; [20.20618557 14.79381443],0
a6,1,0.945165,0.004731,[34 28] ; [20 16],[34.16326531 27.83673469] ; [19.83673469 16.16326531],0
a4,1,0.956703,0.002948,[21 41] ; [12 24],[20.87755102 41.12244898] ; [12.12244898 23.87755102],0
n2,1,0.968457,0.001564,[14  8] ; [9 5],[14.05555556  7.94444444] ; [8.94444444 5.05555556],0
a2,1,0.978385,0.000734,[ 7 55] ; [ 4 32],[ 6.95918367 55.04081633] ; [ 4.04081633 31.95918367],0
v4,1,0.991369,0.000117,[50 12] ; [29  7],[49.97959184 12.02040816] ; [29.02040816  6.97959184],0
u3,1,1.0,0.0,[13 13] ; [8 8],[13. 13.] ; [8. 8.],0
