Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.006792,7.327174,[ 57 105] ; [6 1],[ 60.39053254 101.60946746] ; [2.60946746 4.39053254],0
b3,1,0.006792,7.327174,[ 57 105] ; [6 1],[ 60.39053254 101.60946746] ; [2.60946746 4.39053254],0
v3,1,0.025443,4.993462,[ 96 155] ; [5 1],[ 98.64202335 152.35797665] ; [2.35797665 3.64202335],0
a1,1,0.027021,4.889443,[ 17 239] ; [2 5],[ 18.49429658 237.50570342] ; [0.50570342 6.49429658],0
a2,1,0.043798,4.06432,[ 61 195] ; [4 3],[ 63.26996198 192.73003802] ; [1.73003802 5.26996198],0
a8,1,0.045782,3.989585,[ 34 205] ; [2 2],[ 35.40740741 203.59259259] ; [0.59259259 3.40740741],0
d2,1,0.056741,3.630179,[126 130] ; [6 1],[128.48669202 127.51330798] ; [3.51330798 3.48669202],0
u1,1,0.060494,3.523799,[ 41 215] ; [3 4],[ 42.82889734 213.17110266] ; [1.17110266 5.82889734],0
d1,1,0.115812,2.473057,[143 113] ; [6 1],[145.03422053 110.96577947] ; [3.96577947 3.03422053],0
v2,1,0.158182,1.991517,[132 111] ; [5 1],[133.69879518 109.30120482] ; [3.30120482 2.69879518],0
s8,1,0.195054,1.679029,[118 135] ; [5 2],[119.68846154 133.31153846] ; [3.31153846 3.68846154],0
p5,1,0.205351,1.6039,[ 37 216] ; [2 4],[ 38.0965251 214.9034749] ; [0.9034749 5.0965251],0
s7,1,0.216229,1.529223,[116 127] ; [5 2],[117.612 125.388] ; [3.388 3.612],0
a4,1,0.225863,1.466726,[123 132] ; [5 2],[124.58015267 130.41984733] ; [3.41984733 3.58015267],0
b5,1,0.379603,0.771987,[140 116] ; [5 2],[141.14068441 114.85931559] ; [3.85931559 3.14068441],0
p12,1,0.441547,0.59226,[ 17 234] ; [1 6],[ 17.51162791 233.48837209] ; [0.48837209 6.51162791],0
s3,1,0.445562,0.581917,[143 108] ; [5 2],[143.98449612 107.01550388] ; [4.01550388 2.98449612],0
b4,1,0.471194,0.519174,[148 108] ; [5 2],[148.92775665 107.07224335] ; [4.07224335 2.92775665],0
d5,1,0.568074,0.325916,[195  60] ; [6 1],[195.62977099  59.37022901] ; [5.37022901 1.62977099],0
r1,1,0.642855,0.215028,[200  55] ; [6 1],[200.49618321  54.50381679] ; [5.50381679 1.49618321],0
p4,1,0.677496,0.172959,[162  92] ; [5 2],[162.5210728  91.4789272] ; [4.4789272 2.5210728],0
a7,1,0.682889,0.166892,[163  92] ; [5 2],[163.51145038  91.48854962] ; [4.48854962 2.51145038],0
s2,1,0.686359,0.163055,[125 128] ; [4 3],[125.52692308 127.47307692] ; [3.47307692 3.52692308],0
a6,1,0.71316,0.135142,[165  90] ; [5 2],[165.45801527  89.54198473] ; [4.54198473 2.45801527],0
n4,1,0.764718,0.089575,[208  48] ; [6 1],[208.30418251  47.69581749] ; [5.69581749 1.30418251],0
p2,1,0.826913,0.047814,[208  44] ; [6 1],[208.21621622  43.78378378] ; [5.78378378 1.21621622],0
s5,1,0.86034,0.030956,[ 78 168] ; [2 5],[ 77.78656126 168.21343874] ; [2.21343874 4.78656126],0
p10,1,0.888281,0.019735,[211  41] ; [6 1],[211.13513514  40.86486486] ; [5.86486486 1.13513514],0
p8,1,0.896065,0.017065,[149 101] ; [4 3],[148.83268482 101.16731518] ; [4.16731518 2.83268482],0
p6,1,0.970983,0.001323,[105 144] ; [3 4],[105.046875 143.953125] ; [2.953125 4.046875],0
p7,1,0.973512,0.001103,[180  70] ; [5 2],[179.96108949  70.03891051] ; [5.03891051 1.96108949],0
p3,1,0.976204,0.00089,[146 107] ; [4 3],[145.96153846 107.03846154] ; [4.03846154 2.96153846],0
