Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,42.0,[27  5] ; [15 65],[12. 20.] ; [30. 50.],1
s6,1,3e-06,21.703174,[31  5] ; [33 50],[19.36134454 16.63865546] ; [44.63865546 38.36134454],1
n6,1,0.000252,13.397456,[34  2] ; [51 32],[25.71428571 10.28571429] ; [59.28571429 23.71428571],1
s2,1,0.000337,12.851937,[23 13] ; [24 59],[14.21848739 21.78151261] ; [32.78151261 50.21848739],1
s3,1,0.000386,12.598298,[25 11] ; [28 54],[16.16949153 19.83050847] ; [36.83050847 45.16949153],1
p9,1,0.000627,11.693668,[31  5] ; [43 38],[22.76923077 13.23076923] ; [51.23076923 29.76923077],1
s5,1,0.000717,11.445494,[15 19] ; [12 69],[ 7.9826087 26.0173913] ; [19.0173913 61.9826087],1
n5,1,0.000723,11.428571,[32  4] ; [48 36],[24. 12.] ; [56. 28.],1
p10,1,0.001466,10.120919,[30  6] ; [43 39],[22.27118644 13.72881356] ; [50.72881356 31.27118644],0
d1,1,0.004678,8.0,[28  8] ; [42 42],[21. 15.] ; [49. 35.],0
d5,1,0.005233,7.797075,[33  3] ; [56 27],[26.92436975  9.07563025] ; [62.07563025 20.92436975],0
r4,1,0.007993,7.035132,[33  3] ; [58 26],[27.3  8.7] ; [63.7 20.3],0
u1,1,0.016827,5.714286,[12 24] ; [12 72],[ 7.2 28.8] ; [16.8 67.2],0
n4,1,0.020752,5.347515,[30  6] ; [52 32],[24.6 11.4] ; [57.4 26.6],0
r3,1,0.032509,4.571429,[34  2] ; [66 18],[30.  6.] ; [70. 14.],0
d4,1,0.034093,4.490011,[33  3] ; [62 21],[28.7394958  7.2605042] ; [66.2605042 16.7394958],0
p4,1,0.037292,4.337048,[15 21] ; [19 64],[10.28571429 25.71428571] ; [23.71428571 59.28571429],0
p11,1,0.041908,4.138919,[24 12] ; [39 45],[18.9 17.1] ; [44.1 39.9],0
r2,1,0.043124,4.090523,[35  1] ; [69 13],[31.72881356  4.27118644] ; [72.27118644  9.72881356],0
v4,1,0.043483,4.076528,[34  2] ; [67 17],[30.3  5.7] ; [70.7 13.3],0
u4,1,0.045767,3.990148,[ 3 33] ; [ 1 83],[ 1.2 34.8] ; [ 2.8 81.2],0
d2,1,0.052949,3.745543,[23 13] ; [37 46],[18.1512605 17.8487395] ; [41.8487395 41.1512605],0
v2,1,0.062483,3.470215,[22 12] ; [37 44],[17.44347826 16.55652174] ; [41.55652174 39.44347826],0
a2,1,0.067378,3.345773,[14 22] ; [19 65],[ 9.9 26.1] ; [23.1 60.9],0
d3,1,0.070621,3.268526,[29  7] ; [53 30],[24.80672269 11.19327731] ; [57.19327731 25.80672269],0
p6,1,0.085547,2.956229,[10 26] ; [12 71],[ 6.65546218 29.34453782] ; [15.34453782 67.65546218],0
p12,1,0.106332,2.60791,[ 4 32] ; [ 3 81],[ 2.1 33.9] ; [ 4.9 79.1],0
b2,1,0.108666,2.573509,[ 6 23] ; [18 29],[ 9.15789474 19.84210526] ; [14.84210526 32.15789474],0
b3,1,0.108666,2.573509,[ 6 23] ; [18 29],[ 9.15789474 19.84210526] ; [14.84210526 32.15789474],0
u2,1,0.118574,2.436052,[9 3] ; [13 14],[6.76923077 5.23076923] ; [15.23076923 11.76923077],0
r1,1,0.125047,2.352941,[29  7] ; [56 28],[25.5 10.5] ; [59.5 24.5],0
v1,1,0.138886,2.190264,[16 18] ; [27 56],[12.4957265 21.5042735] ; [30.5042735 52.4957265],0
a4,1,0.14193,2.156911,[20 16] ; [34 49],[16.33613445 19.66386555] ; [37.66386555 45.33613445],0
a5,1,0.181151,1.788156,[28  8] ; [55 29],[24.9 11.1] ; [58.1 25.9],0
b5,1,0.204894,1.607143,[27  9] ; [53 31],[24. 12.] ; [56. 28.],0
b4,1,0.251293,1.316099,[25 11] ; [49 35],[22.2 13.8] ; [51.8 32.2],0
p5,1,0.290044,1.119419,[ 4 30] ; [ 5 78],[ 2.61538462 31.38461538] ; [ 6.38461538 76.61538462],0
a6,1,0.312627,1.019545,[28  8] ; [57 26],[25.71428571 10.28571429] ; [59.28571429 23.71428571],0
v3,1,0.339492,0.912348,[14 18] ; [28 54],[11.78947368 20.21052632] ; [30.21052632 51.78947368],0
p3,1,0.436005,0.606775,[13 23] ; [24 59],[11.19327731 24.80672269] ; [25.80672269 57.19327731],0
n2,1,0.469221,0.52381,[8 3] ; [20 13],[7. 4.] ; [21. 12.],0
