Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.00134,10.286453,[6 7] ; [555 126],[10.50864553  2.49135447] ; [550.49135447 130.50864553],0
d4,1,0.00644,7.422865,[7 6] ; [563 116],[10.70809249  2.29190751] ; [559.29190751 119.70809249],0
n1,1,0.011975,6.314637,[6 1] ; [52 85],[2.81944444 4.18055556] ; [55.18055556 81.81944444],0
d3,1,0.023561,5.126651,[5 8] ; [464 217],[8.78530259 4.21469741] ; [460.21469741 220.78530259],0
p2,1,0.030965,4.654927,[8 5] ; [570 109],[10.8583815  2.1416185] ; [567.1416185 111.8583815],0
a4,1,0.048549,3.890865,[ 2 10] ; [308 373],[5.36796537 6.63203463] ; [304.63203463 376.36796537],0
b4,1,0.050517,3.824208,[11  2] ; [394 290],[7.55380201 5.44619799] ; [397.44619799 286.55380201],0
p1,1,0.058265,3.586099,[ 3 10] ; [ 56 622],[ 1.10998553 11.89001447] ; [ 57.89001447 620.10998553],0
s5,1,0.06576,3.385808,[7 6] ; [199 462],[3.97329377 9.02670623] ; [202.02670623 458.97329377],0
p11,1,0.084999,2.966634,[8 5] ; [552 132],[10.44476327  2.55523673] ; [549.55523673 134.44476327],0
p8,1,0.1259,2.342348,[9 3] ; [354 317],[6.37774524 5.62225476] ; [356.62225476 314.37774524],0
d1,1,0.141085,2.16609,[5 8] ; [402 282],[7.59110473 5.40889527] ; [399.40889527 284.59110473],0
n5,1,0.148308,2.089564,[12  1] ; [508 171],[9.76878613 3.23121387] ; [510.23121387 168.76878613],0
a2,1,0.16256,1.95025,[ 1 12] ; [167 517],[3.13342898 9.86657102] ; [164.86657102 519.13342898],0
p7,1,0.163944,1.93747,[6 7] ; [431 234],[8.37905605 4.62094395] ; [428.62094395 236.37905605],0
d2,1,0.193382,1.69166,[4 9] ; [333 347],[6.32178932 6.67821068] ; [330.67821068 349.32178932],0
p5,1,0.201712,1.629934,[ 3 10] ; [ 78 597],[ 1.53052326 11.46947674] ; [ 79.46947674 595.53052326],0
v2,1,0.228078,1.452809,[5 7] ; [385 268],[7.03759398 4.96240602] ; [382.96240602 270.03759398],0
b1,1,0.230828,1.435749,[7 6] ; [257 427],[4.92395983 8.07604017] ; [259.07604017 424.92395983],0
a6,1,0.233878,1.417119,[7 6] ; [471 209],[8.96681097 4.03318903] ; [469.03318903 210.96681097],0
