Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.002224,9.354726,[ 9 21] ; [25 12],[15.2238806 14.7761194] ; [18.7761194 18.2238806],0
d3,1,0.002839,8.908396,[15 46] ; [54 59],[24.18965517 36.81034483] ; [44.81034483 68.18965517],0
b2,1,0.006741,7.340597,[ 7 32] ; [27 34],[13.26 25.74] ; [20.74 40.26],0
b3,1,0.006741,7.340597,[ 7 32] ; [27 34],[13.26 25.74] ; [20.74 40.26],0
p1,1,0.018682,5.531074,[ 9 52] ; [  5 106],[ 4.96511628 56.03488372] ; [  9.03488372 101.96511628],0
r3,1,0.046938,3.947618,[55  7] ; [107   4],[58.05780347  3.94219653] ; [103.94219653   7.05780347],0
p3,1,0.052307,3.765921,[21 41] ; [55 57],[27.08045977 34.91954023] ; [48.91954023 63.08045977],0
u3,1,0.070318,3.275589,[14 16] ; [26 12],[17.64705882 12.35294118] ; [22.35294118 15.64705882],0
n3,1,0.090628,2.863176,[15  3] ; [11  8],[12.64864865  5.35135135] ; [13.35135135  5.64864865],0
b5,1,0.09343,2.814254,[32 30] ; [73 40],[37.2 24.8] ; [67.8 45.2],0
a3,1,0.09343,2.814254,[32 30] ; [73 40],[37.2 24.8] ; [67.8 45.2],0
p8,1,0.093509,2.812897,[25 37] ; [59 51],[30.27906977 31.72093023] ; [53.72093023 56.27906977],0
p2,1,0.097268,2.749774,[44 17] ; [92 19],[48.23255814 12.76744186] ; [87.76744186 23.23255814],0
v1,1,0.106329,2.607947,[27 35] ; [62 48],[32.08139535 29.91860465] ; [56.91860465 53.08139535],0
d2,1,0.108115,2.581562,[12 50] ; [ 12 101],[ 8.50285714 53.49714286] ; [15.49714286 97.50285714],0
s4,1,0.119864,2.419099,[19 42] ; [23 89],[14.80924855 46.19075145] ; [27.19075145 84.80924855],0
s1,1,0.176742,1.82481,[ 6 55] ; [  5 105],[ 3.92397661 57.07602339] ; [  7.07602339 102.92397661],0
a8,1,0.183103,1.772257,[ 7 49] ; [23 87],[10.12048193 45.87951807] ; [19.87951807 90.12048193],0
s8,1,0.226895,1.46022,[35 27] ; [53 60],[31.17714286 30.82285714] ; [56.82285714 56.17714286],0
r4,1,0.251264,1.316263,[51 11] ; [100  13],[53.49714286  8.50285714] ; [97.50285714 15.49714286],0
p12,1,0.281916,1.15783,[ 2 60] ; [  8 103],[ 3.58381503 58.41618497] ; [  6.41618497 104.58381503],0
s5,1,0.281942,1.157706,[24 38] ; [51 57],[27.35294118 34.64705882] ; [47.64705882 60.35294118],0
n4,1,0.336316,0.924425,[40 21] ; [82 31],[42.77011494 18.22988506] ; [79.22988506 33.77011494],0
r2,1,0.339061,0.913979,[58  3] ; [102  10],[56.41618497  4.58381503] ; [103.58381503   8.41618497],0
d5,1,0.38515,0.7542,[32 29] ; [67 46],[34.70689655 26.29310345] ; [64.29310345 48.70689655],0
a7,1,0.422496,0.643363,[36 25] ; [73 39],[38.43352601 22.56647399] ; [70.56647399 41.43352601],0
p11,1,0.423909,0.639452,[42 20] ; [83 30],[44.28571429 17.71428571] ; [80.71428571 32.28571429],0
n6,1,0.428354,0.627283,[52 10] ; [86 23],[50.03508772 11.96491228] ; [87.96491228 21.03508772],0
s7,1,0.435669,0.607663,[39 20] ; [66 44],[36.65680473 22.34319527] ; [68.34319527 41.65680473],0
v2,1,0.438921,0.599103,[27 34] ; [54 53],[29.41071429 31.58928571] ; [51.58928571 55.41071429],0
r1,1,0.439968,0.596366,[42 19] ; [84 29],[44.17241379 16.82758621] ; [81.82758621 31.17241379],0
n1,1,0.463193,0.538169,[ 6 11] ; [ 9 10],[7.08333333 9.91666667] ; [ 7.91666667 11.08333333],0
p9,1,0.467353,0.528228,[49 13] ; [91 18],[50.76023392 11.23976608] ; [89.23976608 19.76023392],0
b1,1,0.467878,0.526983,[25 37] ; [52 61],[27.28 34.72] ; [49.72 63.28],0
n5,1,0.472185,0.516858,[46 15] ; [78 33],[43.97674419 17.02325581] ; [80.02325581 30.97674419],0
a4,1,0.486609,0.484015,[13 49] ; [29 84],[14.88 47.12] ; [27.12 85.88],0
b4,1,0.508354,0.437454,[33 29] ; [66 47],[35.07428571 26.92571429] ; [63.92571429 49.07428571],0
p4,1,0.512205,0.429559,[30 32] ; [60 52],[32.06896552 29.93103448] ; [57.93103448 54.06896552],0
n2,1,0.514817,0.424263,[16  2] ; [18  1],[16.54054054  1.45945946] ; [17.45945946  1.54054054],0
p7,1,0.5545,0.349318,[39 21] ; [75 33],[40.71428571 19.28571429] ; [73.28571429 34.71428571],0
a2,1,0.559082,0.341296,[ 3 59] ; [  8 105],[ 3.89714286 58.10285714] ; [  7.10285714 105.89714286],0
p6,1,0.573146,0.317447,[21 41] ; [42 68],[22.70930233 39.29069767] ; [40.29069767 69.70930233],0
v4,1,0.609239,0.261285,[55  5] ; [105   7],[55.81395349  4.18604651] ; [104.18604651   7.81395349],0
s3,1,0.619271,0.246893,[53  8] ; [95 18],[51.88505747  9.11494253] ; [96.11494253 16.88505747],0
v3,1,0.656833,0.197393,[21 40] ; [42 69],[22.34302326 38.65697674] ; [40.65697674 70.34302326],0
u1,1,0.674929,0.175891,[ 3 59] ; [  4 109],[ 2.48 59.52] ; [  4.52 108.48],0
a5,1,0.731941,0.117337,[34 28] ; [65 48],[35.07428571 26.92571429] ; [63.92571429 49.07428571],0
a6,1,0.840163,0.040677,[35 27] ; [62 51],[34.36571429 27.63428571] ; [62.63428571 50.36571429],0
s6,1,0.926493,0.008512,[49 12] ; [89 21],[49.22807018 11.77192982] ; [88.77192982 21.22807018],0
p10,1,0.977524,0.000794,[48 12] ; [89 22],[48.07017544 11.92982456] ; [88.92982456 22.07017544],0
p5,1,0.987614,0.000241,[ 6 55] ; [ 11 100],[ 6.02906977 54.97093023] ; [ 10.97093023 100.02906977],0
