Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,101.894533,[94 44] ; [ 21 150],[51.3592233 86.6407767] ; [ 63.6407767 107.3592233],1
d3,1,0.0,91.464605,[124  15] ; [ 60 109],[83.03896104 55.96103896] ; [100.96103896  68.03896104],1
d5,1,0.0,87.410088,[135   4] ; [82 88],[97.61488673 41.38511327] ; [119.38511327  50.61488673],1
d4,1,0.0,80.261097,[135   3] ; [89 82],[100.03883495  37.96116505] ; [123.96116505  47.03883495],1
a4,1,0.0,49.697427,[79 60] ; [ 31 139],[49.48220065 89.51779935] ; [ 60.51779935 109.48220065],1
a2,1,0.0,37.277276,[44 96] ; [  9 162],[ 23.8585209 116.1414791] ; [ 29.1414791 141.8585209],1
a5,1,0.0,31.412594,[107  33] ; [77 94],[82.82958199 57.17041801] ; [101.17041801  69.82958199],1
u1,1,1e-06,23.664606,[ 28 112] ; [  5 166],[ 14.85530547 125.14469453] ; [ 18.14469453 152.85530547],1
a3,1,1e-05,19.511988,[107  33] ; [88 81],[88.34951456 51.65048544] ; [106.65048544  62.34951456],1
a6,1,0.000115,14.86819,[105  34] ; [93 78],[88.78064516 50.21935484] ; [109.21935484  61.78064516],1
r1,1,0.000583,11.830737,[110  29] ; [103  66],[96.12662338 42.87337662] ; [116.87337662  52.12662338],1
a7,1,0.001509,10.067555,[106  34] ; [99 70],[92.8802589 47.1197411] ; [112.1197411  56.8802589],0
r2,1,0.008076,7.016524,[128   9] ; [142  28],[120.48859935  16.51140065] ; [149.51140065  20.48859935],0
n6,1,0.00918,6.78754,[110  30] ; [110  59],[99.6763754 40.3236246] ; [120.3236246  48.6763754],0
s7,1,0.009707,6.687799,[49 83] ; [ 38 125],[38.92881356 93.07118644] ; [ 48.07118644 114.92881356],0
v2,1,0.010647,6.523288,[71 64] ; [60 99],[60.15306122 74.84693878] ; [70.84693878 88.15306122],0
s8,1,0.019761,5.432929,[43 97] ; [ 33 138],[ 34.21221865 105.78778135] ; [ 41.78778135 129.21221865],0
r4,1,0.022166,5.232688,[114  26] ; [120  51],[105.33762058  34.66237942] ; [128.66237942  42.33762058],0
n2,1,0.029932,4.713168,[28 24] ; [40 14],[33.35849057 18.64150943] ; [34.64150943 19.35849057],0
v3,1,0.034044,4.492509,[52 81] ; [ 46 121],[43.44666667 89.55333333] ; [ 54.55333333 112.44666667],0
b5,1,0.038427,4.286004,[97 43] ; [99 72],[88.23151125 51.76848875] ; [107.76848875  63.23151125],0
r3,1,0.042248,4.12523,[127  13] ; [139  29],[120.90909091  19.09090909] ; [145.09090909  22.90909091],0
v4,1,0.098299,2.732923,[125  14] ; [141  28],[120.04545455  18.95454545] ; [145.95454545  23.04545455],0
s2,1,0.155449,2.017947,[48 91] ; [ 46 124],[42.28478964 96.71521036] ; [ 51.71521036 118.28478964],0
s4,1,0.159611,1.977912,[ 13 126] ; [ 25 146],[ 17.03870968 121.96129032] ; [ 20.96129032 150.03870968],0
p9,1,0.160247,1.971898,[99 37] ; [109  58],[93.35973597 42.64026403] ; [114.64026403  52.35973597],0
p8,1,0.162318,1.952493,[46 92] ; [ 44 125],[40.45602606 97.54397394] ; [ 49.54397394 119.45602606],0
n4,1,0.191259,1.707891,[98 42] ; [107  63],[92.58064516 47.41935484] ; [112.41935484  57.58064516],0
a8,1,0.210225,1.569878,[ 19 112] ; [ 16 148],[ 15.54237288 115.45762712] ; [ 19.45762712 144.54237288],0
p10,1,0.273371,1.199753,[92 47] ; [101  67],[87.38436482 51.61563518] ; [105.61563518  62.38436482],0
b1,1,0.360203,0.837186,[51 89] ; [ 71 100],[54.91961415 85.08038585] ; [ 67.08038585 103.91961415],0
s6,1,0.46388,0.536516,[63 76] ; [ 70 100],[59.82847896 79.17152104] ; [73.17152104 96.82847896],0
p7,1,0.471109,0.519373,[60 76] ; [66 99],[56.93023256 79.06976744] ; [69.06976744 95.93023256],0
n3,1,0.492479,0.471105,[30 21] ; [34 18],[31.68932039 19.31067961] ; [32.31067961 19.68932039],0
a1,1,0.53495,0.384979,[  6 134] ; [ 10 161],[  7.20257235 132.79742765] ; [  8.79742765 162.20257235],0
p2,1,0.53723,0.380699,[88 51] ; [114  57],[90.57419355 48.42580645] ; [111.42580645  59.57419355],0
u2,1,0.617031,0.250062,[18 15] ; [40 41],[16.78947368 16.21052632] ; [41.21052632 39.78947368],0
s1,1,0.62312,0.241507,[  5 133] ; [  8 160],[  5.8627451 132.1372549] ; [  7.1372549 160.8627451],0
n1,1,0.665286,0.187166,[15 36] ; [18 36],[16.02857143 34.97142857] ; [16.97142857 37.02857143],0
b4,1,0.666376,0.185871,[82 58] ; [96 75],[80.12861736 59.87138264] ; [97.87138264 73.12861736],0
p6,1,0.756653,0.096025,[ 18 119] ; [ 24 143],[ 18.92763158 118.07236842] ; [ 23.07236842 143.92763158],0
p11,1,0.760106,0.093234,[94 46] ; [112  59],[92.73311897 47.26688103] ; [113.26688103  57.73311897],0
p5,1,0.790476,0.070593,[  3 135] ; [  3 168],[  2.67961165 135.32038835] ; [  3.32038835 167.67961165],0
p12,1,0.816224,0.054012,[  2 137] ; [  3 166],[  2.25649351 136.74350649] ; [  2.74350649 166.25649351],0
n5,1,0.8831,0.021621,[88 51] ; [109  61],[88.61812298 50.38187702] ; [108.38187702  61.61812298],0
p1,1,0.904406,0.014423,[  7 133] ; [  8 162],[  6.77419355 133.22580645] ; [  8.22580645 161.77419355],0
s3,1,0.914996,0.011393,[58 82] ; [ 69 100],[57.54045307 82.45954693] ; [69.45954693 99.54045307],0
p3,1,0.918949,0.010355,[ 26 112] ; [ 33 138],[ 26.34951456 111.65048544] ; [ 32.65048544 138.34951456],0
b3,1,0.926582,0.008491,[25 51] ; [29 61],[24.72289157 51.27710843] ; [29.27710843 60.72289157],0
b2,1,0.926582,0.008491,[25 51] ; [29 61],[24.72289157 51.27710843] ; [29.27710843 60.72289157],0
u3,1,0.97443,0.001027,[15 18] ; [38 45],[15.07758621 17.92241379] ; [37.92241379 45.07758621],0
v1,1,0.978875,0.000701,[53 85] ; [ 64 102],[53.11184211 84.88815789] ; [ 63.88815789 102.11184211],0
