Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.199698,[ 72 100] ; [369 112],[116.15926493  55.84073507] ; [324.84073507 156.15926493],1
d3,1,0.0,59.276992,[83 89] ; [382 100],[122.29357798  49.70642202] ; [342.70642202 139.29357798],1
a2,1,0.0,32.260346,[ 15 157] ; [147 335],[ 42.60550459 129.39449541] ; [119.39449541 362.60550459],1
u1,1,2e-06,22.234591,[ 12 160] ; [113 369],[ 32.87461774 139.12538226] ; [ 92.12538226 389.87461774],1
b5,1,5e-06,20.960555,[77 95] ; [312 170],[102.3058104  69.6941896] ; [286.6941896 195.3058104],1
u3,1,0.000312,12.995227,[14 33] ; [78 51],[24.56818182 22.43181818] ; [67.43181818 61.56818182],1
r4,1,0.000527,12.017609,[146  26] ; [451  31],[157.00917431  14.99082569] ; [439.99082569  42.00917431],1
r1,1,0.001324,10.308603,[125  47] ; [401  77],[139.18769231  32.81230769] ; [386.81230769  91.18769231],0
d1,1,0.003919,8.320881,[88 84] ; [307 175],[103.88379205  68.11620795] ; [291.11620795 190.88379205],0
r3,1,0.007728,7.095398,[160  12] ; [466  12],[165.64923077   6.35076923] ; [460.35076923  17.64923077],0
p4,1,0.028126,4.820303,[101  70] ; [328 152],[112.68663594  58.31336406] ; [316.31336406 163.68663594],0
r2,1,0.030986,4.653747,[156  14] ; [457  19],[161.31578947   8.68421053] ; [451.68421053  24.31578947],0
d4,1,0.040621,4.191741,[133  38] ; [408  74],[141.67075038  29.32924962] ; [399.32924962  82.67075038],0
b1,1,0.042968,4.096651,[ 70 102] ; [155 327],[ 59.17431193 112.82568807] ; [165.82568807 316.17431193],0
v2,1,0.047389,3.931507,[86 83] ; [277 187],[96.91469194 72.08530806] ; [266.08530806 197.91469194],0
d5,1,0.056096,3.649217,[133  38] ; [406  76],[141.14701378  29.85298622] ; [397.85298622  84.14701378],0
v4,1,0.05889,3.568382,[162  10] ; [466  13],[165.92319508   6.07680492] ; [462.07680492  16.92319508],0
n5,1,0.078904,3.087332,[147  25] ; [380  99],[139.23809524  32.76190476] ; [387.76190476  91.23809524],0
n2,1,0.130484,2.286732,[28 15] ; [72 21],[31.61764706 11.38235294] ; [68.38235294 24.61764706],0
b4,1,0.15297,2.042384,[92 80] ; [288 194],[99.93883792 72.06116208] ; [280.06116208 201.93883792],0
b3,1,0.154296,2.029262,[50 62] ; [104 178],[43.77664975 68.22335025] ; [110.22335025 171.77664975],0
