Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000156,14.300595,[11  5] ; [13 51],[ 4.8 11.2] ; [19.2 44.8],1
p4,1,0.003641,8.454892,[10  6] ; [16 49],[ 5.13580247 10.86419753] ; [20.86419753 44.13580247],0
p6,1,0.006818,7.320321,[ 7 10] ; [ 8 56],[ 3.14814815 13.85185185] ; [11.85185185 52.14814815],0
v2,1,0.014617,5.96209,[10  6] ; [18 43],[ 5.81818182 10.18181818] ; [22.18181818 38.81818182],0
p3,1,0.045632,3.995135,[8 9] ; [15 51],[ 4.71084337 12.28915663] ; [18.28915663 47.71084337],0
s6,1,0.09818,2.734867,[11  6] ; [27 37],[7.97530864 9.02469136] ; [30.02469136 33.97530864],0
a5,1,0.10346,2.651376,[12  5] ; [32 34],[9.01204819 7.98795181] ; [34.98795181 31.01204819],0
a6,1,0.136137,2.221087,[9 8] ; [22 44],[ 6.34939759 10.65060241] ; [24.65060241 41.34939759],0
p5,1,0.143895,2.135803,[ 2 15] ; [ 2 62],[ 0.83950617 16.16049383] ; [ 3.16049383 60.83950617],0
r1,1,0.149458,2.077772,[ 7 10] ; [40 26],[9.62650602 7.37349398] ; [37.37349398 28.62650602],0
a3,1,0.185128,1.755973,[ 7 10] ; [39 27],[9.42168675 7.57831325] ; [36.57831325 29.42168675],0
n6,1,0.18651,1.744976,[13  4] ; [39 27],[10.65060241  6.34939759] ; [41.34939759 24.65060241],0
a8,1,0.232887,1.42314,[ 2 14] ; [ 3 63],[ 0.97560976 15.02439024] ; [ 4.02439024 61.97560976],0
u1,1,0.295061,1.096383,[ 1 16] ; [ 1 65],[ 0.40963855 16.59036145] ; [ 1.59036145 64.40963855],0
u4,1,0.295061,1.096383,[ 1 16] ; [ 1 65],[ 0.40963855 16.59036145] ; [ 1.59036145 64.40963855],0
v4,1,0.298498,1.080893,[14  3] ; [46 20],[12.28915663  4.71084337] ; [47.71084337 18.28915663],0
s4,1,0.317922,0.997476,[ 2 15] ; [15 51],[ 3.48192771 13.51807229] ; [13.51807229 52.48192771],0
d3,1,0.326076,0.964421,[ 7 10] ; [19 47],[ 5.3253012 11.6746988] ; [20.6746988 45.3253012],0
d2,1,0.393014,0.729596,[ 6 11] ; [30 34],[7.55555556 9.44444444] ; [28.44444444 35.55555556],0
s7,1,0.394553,0.724865,[ 4 13] ; [21 40],[ 5.44871795 11.55128205] ; [19.55128205 41.44871795],0
r3,1,0.415606,0.662707,[14  3] ; [48 18],[12.69879518  4.30120482] ; [49.30120482 16.69879518],0
p11,1,0.436606,0.605187,[8 9] ; [38 28],[9.42168675 7.57831325] ; [36.57831325 29.42168675],0
s2,1,0.445611,0.581792,[8 9] ; [24 41],[ 6.63414634 10.36585366] ; [25.36585366 39.63414634],0
u3,1,0.521812,0.41031,[6 4] ; [13 14],[5.13513514 4.86486486] ; [13.86486486 13.13513514],0
s3,1,0.530034,0.394326,[ 6 11] ; [28 36],[7.13580247 9.86419753] ; [26.86419753 37.13580247],0
d1,1,0.545296,0.365813,[ 7 10] ; [22 44],[ 5.93975904 11.06024096] ; [23.06024096 42.93975904],0
