Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,68.514196,[154  21] ; [33 52],[125.86538462  49.13461538] ; [61.13461538 23.86538462],1
v4,1,0.0,26.635315,[158  15] ; [55 29],[143.38132296  29.61867704] ; [69.61867704 14.38132296],1
d4,1,0.0,25.607583,[146  27] ; [47 38],[129.41472868  43.58527132] ; [63.58527132 21.41472868],1
r3,1,1e-06,24.910345,[159  15] ; [56 28],[145.  29.] ; [70. 14.],1
v2,1,1e-06,24.311244,[92 74] ; [19 65],[73.704 92.296] ; [37.296 46.704],1
r2,1,1.1e-05,19.347042,[160  13] ; [59 23],[148.57647059  24.42352941] ; [70.42352941 11.57647059],1
d3,1,1.2e-05,19.227024,[118  57] ; [33 52],[101.63461538  73.36538462] ; [49.36538462 35.63461538],1
p11,1,2.1e-05,18.085415,[136  39] ; [44 41],[121.15384615  53.84615385] ; [58.84615385 26.15384615],1
p2,1,0.000262,13.326992,[126  49] ; [41 43],[112.83783784  62.16216216] ; [54.16216216 29.83783784],1
d1,1,0.000468,12.23895,[96 79] ; [27 58],[82.78846154 92.21153846] ; [40.21153846 44.78846154],1
v3,1,0.000763,11.329553,[ 59 105] ; [13 71],[ 47.61290323 116.38709677] ; [24.38709677 59.61290323],1
a5,1,0.001101,10.648687,[121  54] ; [41 44],[109.03846154  65.96153846] ; [52.96153846 32.03846154],0
v1,1,0.002897,8.870953,[74 99] ; [19 62],[ 63.34251969 109.65748031] ; [29.65748031 51.34251969],0
a7,1,0.004036,8.267452,[120  54] ; [43 42],[109.50579151  64.49420849] ; [53.49420849 31.50579151],0
d5,1,0.005663,7.654507,[134  41] ; [51 34],[124.51923077  50.48076923] ; [60.48076923 24.51923077],0
p1,1,0.007354,7.184466,[  7 167] ; [11 73],[ 12.13953488 161.86046512] ; [ 5.86046512 78.13953488],0
u3,1,0.008758,6.871558,[31 25] ; [11 28],[24.75789474 31.24210526] ; [17.24210526 21.75789474],0
u2,1,0.011172,6.437804,[30 25] ; [11 28],[23.9893617 31.0106383] ; [17.0106383 21.9893617],0
p7,1,0.012227,6.277598,[82 91] ; [26 58],[ 72.70038911 100.29961089] ; [35.29961089 48.70038911],0
a4,1,0.013623,6.086354,[78 97] ; [24 60],[ 68.91891892 106.08108108] ; [33.08108108 50.91891892],0
p10,1,0.016912,5.705444,[122  52] ; [45 37],[113.5078125  60.4921875] ; [53.4921875 28.5078125],0
a6,1,0.018265,5.57054,[119  56] ; [45 40],[110.38461538  64.61538462] ; [53.61538462 31.38461538],0
p8,1,0.020646,5.356466,[ 69 105] ; [21 63],[ 60.69767442 113.30232558] ; [29.30232558 54.69767442],0
s8,1,0.021059,5.32192,[ 31 144] ; [ 6 79],[ 24.90384615 150.09615385] ; [12.09615385 72.90384615],0
a3,1,0.032639,4.564602,[119  55] ; [46 38],[111.27906977  62.72093023] ; [53.72093023 30.27906977],0
a2,1,0.033256,4.532542,[ 32 143] ; [ 7 78],[ 26.25 148.75] ; [12.75 72.25],0
n4,1,0.067592,3.340544,[121  54] ; [49 36],[114.42307692  60.57692308] ; [55.57692308 29.42307692],0
p4,1,0.116281,2.466709,[ 66 107] ; [24 61],[ 60.34883721 112.65116279] ; [29.65116279 55.34883721],0
a1,1,0.155818,2.014347,[  7 168] ; [ 7 78],[  9.42307692 165.57692308] ; [ 4.57692308 80.42307692],0
s4,1,0.156635,2.00642,[ 10 165] ; [ 9 76],[ 12.78846154 162.21153846] ; [ 6.21153846 78.78846154],0
b4,1,0.177363,1.819584,[104  71] ; [43 42],[98.94230769 76.05769231] ; [48.05769231 36.94230769],0
p3,1,0.190816,1.711307,[ 59 115] ; [22 63],[ 54.41698842 119.58301158] ; [26.58301158 58.41698842],0
s5,1,0.220503,1.501095,[ 21 150] ; [ 6 77],[ 18.17716535 152.82283465] ; [ 8.82283465 74.17716535],0
d2,1,0.261795,1.259242,[80 94] ; [32 51],[75.82879377 98.17120623] ; [36.17120623 46.82879377],0
b3,1,0.275117,1.191054,[33 73] ; [20 30],[36.01282051 69.98717949] ; [16.98717949 33.01282051],0
b2,1,0.275117,1.191054,[33 73] ; [20 30],[36.01282051 69.98717949] ; [16.98717949 33.01282051],0
b1,1,0.321884,0.981277,[ 69 106] ; [39 46],[ 72.69230769 102.30769231] ; [35.30769231 49.69230769],0
s7,1,0.381063,0.767271,[ 29 132] ; [11 70],[ 26.61157025 134.38842975] ; [13.38842975 67.61157025],0
b5,1,0.497821,0.459578,[91 84] ; [48 37],[93.55769231 81.44230769] ; [45.44230769 39.55769231],0
a8,1,0.520624,0.412657,[ 18 141] ; [ 7 74],[ 16.5625 142.4375] ; [ 8.4375 72.5625],0
s2,1,0.664294,0.188349,[ 30 142] ; [13 72],[ 28.77821012 143.22178988] ; [14.22178988 70.77821012],0
u1,1,0.674568,0.176305,[ 15 160] ; [ 6 79],[ 14.13461538 160.86538462] ; [ 6.86538462 78.13461538],0
s3,1,0.698012,0.150548,[ 44 129] ; [23 60],[ 45.27734375 127.72265625] ; [21.72265625 61.27734375],0
n6,1,0.712354,0.135937,[122  52] ; [57 27],[120.72093023  53.27906977] ; [58.27906977 25.72093023],0
n1,1,0.74477,0.105978,[16 30] ; [10 22],[15.33333333 30.66666667] ; [10.66666667 21.33333333],0
n3,1,0.785946,0.073755,[28 16] ; [20 13],[27.42857143 16.57142857] ; [20.57142857 12.42857143],0
p9,1,0.794305,0.067977,[116  58] ; [52 28],[115.08661417  58.91338583] ; [52.91338583 27.08661417],0
s1,1,0.79803,0.065483,[  7 167] ; [ 4 81],[  7.38996139 166.61003861] ; [ 3.61003861 81.38996139],0
n2,1,0.802664,0.062451,[28 18] ; [21 12],[28.53164557 17.46835443] ; [20.46835443 12.53164557],0
p5,1,0.944916,0.004774,[  8 165] ; [ 4 79],[  8.109375 164.890625] ; [ 3.890625 79.109375],0
n5,1,0.990697,0.000136,[108  65] ; [53 32],[107.95736434  65.04263566] ; [53.04263566 31.95736434],0
