Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.001673,9.877874,[ 1 26] ; [3 3],[ 3.27272727 23.72727273] ; [0.72727273 5.27272727],0
s8,1,0.001779,9.764493,[ 5 22] ; [5 1],[ 8.18181818 18.81818182] ; [1.81818182 4.18181818],0
a6,1,0.084695,2.972426,[12 15] ; [5 1],[13.90909091 13.09090909] ; [3.09090909 2.90909091],0
p6,1,0.088029,2.910053,[ 8 19] ; [4 2],[ 9.81818182 17.18181818] ; [2.18181818 3.81818182],0
s7,1,0.108809,2.571429,[ 6 19] ; [3 2],[ 7.5 17.5] ; [1.5 3.5],0
p4,1,0.117432,2.451235,[13 14] ; [5 1],[14.72727273 12.27272727] ; [3.27272727 2.72727273],0
a8,1,0.125122,2.352,[ 3 22] ; [2 3],[ 4.16666667 20.83333333] ; [0.83333333 4.16666667],0
d2,1,0.130663,2.284615,[ 9 18] ; [4 2],[10.63636364 16.36363636] ; [2.36363636 3.63636364],0
s3,1,0.144127,2.133333,[12 15] ; [4 1],[13.5 13.5] ; [2.5 2.5],0
b5,1,0.158147,1.991855,[14 13] ; [5 1],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
v1,1,0.248652,1.330864,[11 16] ; [4 2],[12.27272727 14.72727273] ; [2.72727273 3.27272727],0
r1,1,0.248652,1.330864,[16 11] ; [2 4],[14.72727273 12.27272727] ; [3.27272727 2.72727273],0
s2,1,0.257899,1.28,[ 9 18] ; [3 2],[10.125 16.875] ; [1.875 3.125],0
a3,1,0.267505,1.229497,[16 11] ; [5 1],[17.18181818  9.81818182] ; [3.81818182 2.18181818],0
b4,1,0.267505,1.229497,[16 11] ; [5 1],[17.18181818  9.81818182] ; [3.81818182 2.18181818],0
a4,1,0.338352,0.916667,[ 8 19] ; [3 3],[ 9. 18.] ; [2. 4.],0
d1,1,0.338352,0.916667,[ 8 19] ; [3 3],[ 9. 18.] ; [2. 4.],0
d4,1,0.421671,0.645652,[18  9] ; [5 1],[18.81818182  8.18181818] ; [4.18181818 1.81818182],0
p8,1,0.4829,0.492308,[ 9 17] ; [3 3],[ 9.75 16.25] ; [2.25 3.75],0
a7,1,0.509756,0.434568,[14 13] ; [4 2],[14.72727273 12.27272727] ; [3.27272727 2.72727273],0
d3,1,0.618402,0.24812,[15 12] ; [4 2],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
p10,1,0.66,0.193523,[19  8] ; [4 1],[19.40625  7.59375] ; [3.59375 1.40625],0
p3,1,0.678071,0.172306,[11 16] ; [3 3],[11.45454545 15.54545455] ; [2.54545455 3.45454545],0
b1,1,0.678071,0.172306,[16 11] ; [3 3],[15.54545455 11.45454545] ; [3.45454545 2.54545455],0
s6,1,0.68197,0.167917,[13 13] ; [3 2],[13.41935484 12.58064516] ; [2.58064516 2.41935484],0
p5,1,0.706063,0.142241,[ 3 24] ; [1 5],[ 3.27272727 23.72727273] ; [0.72727273 5.27272727],0
s5,1,0.745939,0.104975,[ 7 19] ; [1 4],[ 6.70967742 19.29032258] ; [1.29032258 3.70967742],0
b2,1,0.746188,0.104762,[ 6 12] ; [1 3],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
b3,1,0.746188,0.104762,[ 6 12] ; [1 3],[ 5.72727273 12.27272727] ; [1.27272727 2.72727273],0
r4,1,0.804748,0.061111,[12 15] ; [3 3],[12.27272727 14.72727273] ; [2.72727273 3.27272727],0
r2,1,0.804748,0.061111,[15 12] ; [3 3],[14.72727273 12.27272727] ; [3.27272727 2.72727273],0
a5,1,0.864547,0.029101,[17 10] ; [4 2],[17.18181818  9.81818182] ; [3.81818182 2.18181818],0
p9,1,0.912084,0.01219,[21  6] ; [4 1],[21.09375  5.90625] ; [3.90625 1.09375],0
p7,1,0.934568,0.00674,[13 14] ; [3 3],[13.09090909 13.90909091] ; [2.90909091 3.09090909],0
p11,1,1.0,0.0,[18  9] ; [4 2],[18.  9.] ; [4. 2.],0
