Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,155.834371,[534  15] ; [39 31],[508.20193861  40.79806139] ; [64.79806139  5.20193861],1
r3,1,0.0,154.585534,[537  12] ; [41 29],[512.6365105  36.3634895] ; [65.3634895  4.6365105],1
r2,1,0.0,131.346022,[535  10] ; [43 24],[514.72222222  30.27777778] ; [63.27777778  3.72222222],1
r1,1,0.0,121.609652,[473  74] ; [23 50],[437.6 109.4] ; [58.4 14.6],1
p2,1,0.0,34.735098,[469  77] ; [41 30],[451.31280389  94.68719611] ; [58.68719611 12.31280389],1
p10,1,0.0,31.628169,[454  89] ; [38 31],[436.52941176 106.47058824] ; [55.47058824 13.52941176],1
p11,1,0.0,30.325279,[455  94] ; [41 33],[437.08507223 111.91492777] ; [58.91492777 15.08507223],1
n6,1,0.0,30.203355,[489  58] ; [46 24],[474.30307942  72.69692058] ; [60.69692058  9.30307942],1
p7,1,0.0,27.572193,[356 179] ; [24 46],[336.03305785 198.96694215] ; [43.96694215 26.03305785],1
s6,1,0.0,26.184444,[362 178] ; [26 46],[342.35294118 197.64705882] ; [45.64705882 26.35294118],1
a7,1,0.0,25.821915,[405 142] ; [33 40],[386.42903226 160.57096774] ; [51.57096774 21.42903226],1
p4,1,1e-06,24.162063,[345 198] ; [24 48],[325.8 217.2] ; [43.2 28.8],1
p9,1,2e-06,23.121982,[463  77] ; [44 26],[448.81967213  91.18032787] ; [58.18032787 11.81967213],1
p8,1,4e-06,21.3677,[294 242] ; [19 54],[275.48111658 260.51888342] ; [37.51888342 35.48111658],1
p3,1,3.9e-05,16.935811,[292 253] ; [20 52],[275.59157212 269.40842788] ; [36.40842788 35.59157212],1
u3,1,4.3e-05,16.755831,[86 60] ; [ 4 22],[76.39534884 69.60465116] ; [13.60465116 12.39534884],1
d3,1,0.000265,13.304289,[375 171] ; [35 39],[361.06451613 184.93548387] ; [48.93548387 25.06451613],1
s8,1,0.000313,12.989439,[256 289] ; [18 55],[241.63430421 303.36569579] ; [32.36569579 40.63430421],1
s2,1,0.000533,11.996945,[270 276] ; [20 52],[256.21359223 289.78640777] ; [33.78640777 38.21359223],1
a1,1,0.000539,11.976346,[ 26 523] ; [11 63],[ 32.60513644 516.39486356] ; [ 4.39486356 69.60513644],1
v1,1,0.001157,10.557409,[308 226] ; [26 44],[295.29139073 238.70860927] ; [38.70860927 31.29139073],0
d4,1,0.001325,10.307723,[457  88] ; [50 23],[447.11165049  97.88834951] ; [59.88834951 13.11165049],0
