Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,7e-05,15.811765,[21  7] ; [ 9 27],[13.125 14.875] ; [16.875 19.125],1
d4,1,0.006928,7.291667,[13 14] ; [29  7],[18.  9.] ; [24. 12.],0
a8,1,0.007661,7.111111,[ 7 21] ; [ 1 35],[ 3.5 24.5] ; [ 4.5 31.5],0
r3,1,0.009516,6.723291,[13 15] ; [28  8],[17.9375 10.0625] ; [23.0625 12.9375],0
u3,1,0.013255,6.134785,[1 7] ; [10  5],[3.82608696 4.17391304] ; [7.17391304 7.82608696],0
a6,1,0.016364,5.763357,[18  9] ; [13 23],[13.28571429 13.71428571] ; [17.71428571 18.28571429],0
b5,1,0.017657,5.629838,[ 8 20] ; [21 15],[12.6875 15.3125] ; [16.3125 19.6875],0
u2,1,0.025944,4.959744,[2 6] ; [11  4],[4.52173913 3.47826087] ; [8.47826087 6.52173913],0
a1,1,0.026433,4.927497,[ 7 21] ; [ 2 34],[ 3.9375 24.0625] ; [ 5.0625 30.9375],0
s4,1,0.095888,2.772646,[ 1 27] ; [ 6 30],[ 3.0625 24.9375] ; [ 3.9375 32.0625],0
d5,1,0.09653,2.761957,[14 13] ; [26 10],[17.14285714  9.85714286] ; [22.85714286 13.14285714],0
p6,1,0.097342,2.748569,[ 1 26] ; [ 6 29],[ 3.0483871 23.9516129] ; [ 3.9516129 31.0483871],0
a7,1,0.11458,2.489885,[18 10] ; [16 20],[14.875 13.125] ; [19.125 16.875],0
d1,1,0.151289,2.059202,[ 9 19] ; [18 18],[11.8125 16.1875] ; [15.1875 20.8125],0
n1,1,0.169327,1.888889,[10  6] ; [ 7 11],[8. 8.] ; [9. 9.],0
s6,1,0.176875,1.823684,[ 6 22] ; [13 22],[ 8.44444444 19.55555556] ; [10.55555556 24.44444444],0
a3,1,0.194646,1.682095,[20  7] ; [21 15],[17.57142857  9.42857143] ; [23.42857143 12.57142857],0
r4,1,0.196354,1.669289,[11 17] ; [20 16],[13.5625 14.4375] ; [17.4375 18.5625],0
a2,1,0.259444,1.271723,[ 6 22] ; [ 4 32],[ 4.375 23.625] ; [ 5.625 30.375],0
s1,1,0.274689,1.193182,[ 2 25] ; [ 6 30],[ 3.42857143 23.57142857] ; [ 4.57142857 31.42857143],0
p7,1,0.280406,1.165119,[ 9 17] ; [ 8 28],[ 7.12903226 18.87096774] ; [ 9.87096774 26.12903226],0
s5,1,0.286476,1.136109,[ 2 26] ; [ 5 26],[ 3.3220339 24.6779661] ; [ 3.6779661 27.3220339],0
p4,1,0.290565,1.117001,[ 4 24] ; [ 9 27],[ 5.6875 22.3125] ; [ 7.3125 28.6875],0
p8,1,0.322864,0.977308,[ 4 23] ; [ 9 27],[ 5.57142857 21.42857143] ; [ 7.42857143 28.57142857],0
s8,1,0.339976,0.910523,[ 3 25] ; [ 7 29],[ 4.375 23.625] ; [ 5.625 30.375],0
v1,1,0.341431,0.905051,[ 7 21] ; [13 23],[ 8.75 19.25] ; [11.25 24.75],0
v2,1,0.358035,0.844774,[ 8 18] ; [14 19],[ 9.69491525 16.30508475] ; [12.30508475 20.69491525],0
s2,1,0.388633,0.743214,[ 8 20] ; [14 22],[ 9.625 18.375] ; [12.375 23.625],0
p3,1,0.389284,0.741176,[ 4 24] ; [ 8 27],[ 5.33333333 22.66666667] ; [ 6.66666667 28.33333333],0
b3,1,0.436275,0.606061,[ 6 12] ; [10 12],[ 7.2 10.8] ; [ 8.8 13.2],0
b2,1,0.436275,0.606061,[ 6 12] ; [10 12],[ 7.2 10.8] ; [ 8.8 13.2],0
r1,1,0.544591,0.367097,[15 13] ; [22 14],[16.1875 11.8125] ; [20.8125 15.1875],0
s3,1,0.571925,0.319473,[14 14] ; [15 20],[12.88888889 15.11111111] ; [16.11111111 18.88888889],0
n2,1,0.580758,0.305011,[11  6] ; [10  8],[10.2  6.8] ; [10.8  7.2],0
v4,1,0.583184,0.301115,[16 12] ; [23 13],[17.0625 10.9375] ; [21.9375 14.0625],0
n3,1,0.61093,0.258824,[8 8] ; [10  7],[8.72727273 7.27272727] ; [9.27272727 7.72727273],0
b4,1,0.614295,0.253968,[13 15] ; [19 17],[14. 14.] ; [18. 18.],0
a5,1,0.628257,0.234432,[18 10] ; [21 15],[17.0625 10.9375] ; [21.9375 14.0625],0
p9,1,0.678084,0.172291,[13 14] ; [15 20],[12.19354839 14.80645161] ; [15.80645161 19.19354839],0
a4,1,0.703239,0.145125,[13 15] ; [15 21],[12.25 15.75] ; [15.75 20.25],0
s7,1,0.766486,0.088194,[ 7 20] ; [ 7 24],[ 6.51724138 20.48275862] ; [ 7.48275862 23.51724138],0
d2,1,0.77038,0.085193,[13 14] ; [16 20],[12.42857143 14.57142857] ; [16.57142857 19.42857143],0
r2,1,0.842708,0.039375,[21  7] ; [27  8],[21.33333333  6.66666667] ; [26.66666667  8.33333333],0
u1,1,0.856348,0.03277,[ 1 27] ; [ 1 35],[ 0.875 27.125] ; [ 1.125 34.875],0
b1,1,0.874313,0.025022,[15 13] ; [20 16],[15.3125 12.6875] ; [19.6875 16.3125],0
p11,1,0.891896,0.01847,[ 9 19] ; [11 25],[ 8.75 19.25] ; [11.25 24.75],0
v3,1,0.935144,0.006622,[ 7 20] ; [ 8 24],[ 6.86440678 20.13559322] ; [ 8.13559322 23.86440678],0
d3,1,0.941948,0.005303,[13 14] ; [17 19],[12.85714286 14.14285714] ; [17.14285714 18.85714286],0
p1,1,0.959757,0.002546,[ 3 25] ; [ 4 32],[ 3.0625 24.9375] ; [ 3.9375 32.0625],0
p10,1,0.993176,7.3e-05,[10 17] ; [13 22],[10.01612903 16.98387097] ; [12.98387097 22.01612903],0
