Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,23.409174,[15 22] ; [50  7],[25.58510638 11.41489362] ; [39.41489362 17.58510638],1
r2,1,0.001505,10.071978,[24 13] ; [52  5],[29.91489362  7.08510638] ; [46.08510638 10.91489362],0
v4,1,0.001505,10.071978,[24 13] ; [52  5],[29.91489362  7.08510638] ; [46.08510638 10.91489362],0
a5,1,0.001541,10.02845,[11 26] ; [36 21],[18.5 18.5] ; [28.5 28.5],0
a6,1,0.002072,9.484705,[12 25] ; [37 20],[19.28723404 17.71276596] ; [29.71276596 27.28723404],0
u2,1,0.002674,9.017438,[ 5 20] ; [17 11],[10.37735849 14.62264151] ; [11.62264151 16.37735849],0
n4,1,0.012187,6.283411,[21 16] ; [46 11],[26.37234043 10.62765957] ; [40.62765957 16.37234043],0
r3,1,0.013133,6.151063,[23 13] ; [49  8],[27.87096774  8.12903226] ; [44.12903226 12.87096774],0
s6,1,0.01507,5.908303,[11 26] ; [31 25],[16.70967742 20.29032258] ; [25.29032258 30.70967742],0
a7,1,0.015764,5.828962,[12 25] ; [33 24],[17.71276596 19.28723404] ; [27.28723404 29.71276596],0
v2,1,0.01769,5.626641,[ 6 30] ; [21 31],[11.04545455 24.95454545] ; [15.95454545 36.04545455],0
p11,1,0.026672,4.911898,[19 18] ; [42 15],[24.0106383 12.9893617] ; [36.9893617 20.0106383],0
d3,1,0.027323,4.870272,[ 8 29] ; [25 32],[12.9893617 24.0106383] ; [20.0106383 36.9893617],0
p3,1,0.028389,4.804272,[ 3 34] ; [15 42],[ 7.08510638 29.91489362] ; [10.91489362 46.08510638],0
v3,1,0.046456,3.964974,[ 6 31] ; [19 35],[10.16483516 26.83516484] ; [14.83516484 39.16483516],0
a3,1,0.054811,3.687818,[12 25] ; [29 26],[16.48913043 20.51086957] ; [24.51086957 30.48913043],0
d4,1,0.078111,3.103779,[12 25] ; [29 28],[16.13829787 20.86170213] ; [24.86170213 32.13829787],0
s2,1,0.082495,3.015049,[ 8 29] ; [21 33],[11.79120879 25.20879121] ; [17.20879121 36.79120879],0
a4,1,0.090033,2.873784,[ 4 33] ; [14 42],[ 7.16129032 29.83870968] ; [10.83870968 45.16129032],0
s8,1,0.097861,2.740067,[ 4 33] ; [14 43],[ 7.08510638 29.91489362] ; [10.91489362 46.08510638],0
u3,1,0.102122,2.672083,[ 7 18] ; [14 14],[ 9.90566038 15.09433962] ; [11.09433962 16.90566038],0
v1,1,0.103921,2.644309,[10 26] ; [25 31],[13.69565217 22.30434783] ; [21.30434783 34.69565217],0
s3,1,0.112396,2.52021,[11 26] ; [25 29],[14.63736264 22.36263736] ; [21.36263736 32.63736264],0
p4,1,0.121854,2.39333,[ 6 31] ; [17 39],[ 9.15053763 27.84946237] ; [13.84946237 42.15053763],0
s1,1,0.145478,2.119041,[ 1 36] ; [ 6 49],[ 2.81521739 34.18478261] ; [ 4.18478261 50.81521739],0
p10,1,0.232862,1.423291,[20 16] ; [38 18],[22.69565217 13.30434783] ; [35.30434783 20.69565217],0
p12,1,0.251754,1.313546,[ 1 35] ; [ 5 52],[ 2.32258065 33.67741935] ; [ 3.67741935 53.32258065],0
n6,1,0.291915,1.11077,[24 13] ; [42 14],[26.25806452 10.74193548] ; [39.74193548 16.25806452],0
p2,1,0.33373,0.934372,[17 20] ; [32 25],[19.28723404 17.71276596] ; [29.71276596 27.28723404],0
a2,1,0.362441,0.829419,[ 1 36] ; [ 4 53],[ 1.96808511 35.03191489] ; [ 3.03191489 53.96808511],0
a8,1,0.382018,0.764196,[ 3 32] ; [ 8 46],[ 4.3258427 30.6741573] ; [ 6.6741573 47.3258427],0
n3,1,0.392959,0.729766,[11  6] ; [8 8],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
b4,1,0.426803,0.631506,[21 16] ; [37 20],[22.82978723 14.17021277] ; [35.17021277 21.82978723],0
n5,1,0.447585,0.576761,[28  9] ; [39 18],[26.37234043 10.62765957] ; [40.62765957 16.37234043],0
n1,1,0.485845,0.485714,[ 6 11] ; [8 9],[ 7. 10.] ; [ 7. 10.],0
p8,1,0.525754,0.402592,[ 9 28] ; [17 39],[10.34408602 26.65591398] ; [15.65591398 40.34408602],0
d1,1,0.547938,0.361024,[ 1 36] ; [ 3 54],[ 1.57446809 35.42553191] ; [ 2.42553191 54.57446809],0
s4,1,0.560422,0.338973,[ 6 31] ; [12 45],[ 7.08510638 29.91489362] ; [10.91489362 46.08510638],0
b5,1,0.576755,0.31151,[21 16] ; [29 28],[19.68085106 17.31914894] ; [30.31914894 26.68085106],0
p1,1,0.647201,0.209447,[ 4 33] ; [ 8 49],[ 4.72340426 32.27659574] ; [ 7.27659574 49.72340426],0
s5,1,0.715108,0.133229,[ 6 31] ; [10 42],[ 6.65168539 30.34831461] ; [ 9.34831461 42.65168539],0
