Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.4e-05,18.847265,[16 77] ; [101 136],[32.97272727 60.02727273] ; [ 84.02727273 152.97272727],1
p9,1,1.9e-05,18.241507,[57 33] ; [202  36],[71.06707317 18.93292683] ; [187.93292683  50.06707317],1
p7,1,0.000148,14.403653,[30 61] ; [132 102],[45.36 45.64] ; [116.64 117.36],1
p11,1,0.000192,13.9103,[56 37] ; [196  49],[69.33727811 23.66272189] ; [182.66272189  62.33727811],1
p10,1,0.00029,13.130754,[53 38] ; [189  53],[66.13213213 24.86786787] ; [175.86786787  66.13213213],1
b1,1,0.000866,11.093239,[47 46] ; [ 76 169],[33.84319527 59.15680473] ; [ 89.15680473 155.84319527],1
s1,1,0.002414,9.204864,[ 7 85] ; [  3 237],[ 2.77108434 89.22891566] ; [  7.22891566 232.77108434],0
d5,1,0.003734,8.408981,[60 32] ; [196  48],[70.0952381 21.9047619] ; [185.9047619  58.0952381],0
u4,1,0.008107,7.00972,[ 4 89] ; [  1 244],[ 1.37573964 91.62426036] ; [  3.62426036 241.37573964],0
r3,1,0.025401,4.996323,[88  5] ; [241   3],[90.79228487  2.20771513] ; [238.20771513   5.79228487],0
n1,1,0.081387,3.036985,[17 15] ; [21 40],[13.07526882 18.92473118] ; [24.92473118 36.07526882],0
a6,1,0.100241,2.701711,[55 37] ; [169  75],[61.33333333 30.66666667] ; [162.66666667  81.33333333],0
a5,1,0.109601,2.559964,[56 37] ; [170  75],[62.18343195 30.81656805] ; [163.81656805  81.18343195],0
s3,1,0.165659,1.921798,[41 49] ; [132 112],[46.61676647 43.38323353] ; [126.38323353 117.61676647],0
v1,1,0.179601,1.800919,[36 57] ; [112 127],[41.45783133 51.54216867] ; [106.54216867 132.45783133],0
s4,1,0.197994,1.657109,[19 73] ; [ 36 207],[15.10447761 76.89552239] ; [ 39.89552239 203.10447761],0
d4,1,0.201307,1.632865,[68 24] ; [196  48],[72.28571429 19.71428571] ; [191.71428571  52.28571429],0
r1,1,0.239579,1.383071,[73 20] ; [204  39],[76.66964286 16.33035714] ; [200.33035714  42.66964286],0
a8,1,0.261005,1.263416,[10 80] ; [ 36 188],[13.18471338 76.81528662] ; [ 32.81528662 191.18471338],0
v4,1,0.270065,1.216416,[88  5] ; [236   7],[89.67857143  3.32142857] ; [234.32142857   8.67857143],0
a3,1,0.277578,1.178909,[58 34] ; [169  75],[62.1547619 29.8452381] ; [164.8452381  79.1547619],0
n6,1,0.283776,1.148915,[71 22] ; [199  45],[74.51038576 18.48961424] ; [195.48961424  48.51038576],0
b3,1,0.300029,1.074067,[17 40] ; [49 81],[20.11764706 36.88235294] ; [45.88235294 84.11764706],0
b2,1,0.300029,1.074067,[17 40] ; [49 81],[20.11764706 36.88235294] ; [45.88235294 84.11764706],0
d3,1,0.300093,1.07378,[52 40] ; [153  91],[56.13095238 35.86904762] ; [148.86904762  95.13095238],0
a1,1,0.36948,0.805413,[ 4 89] ; [  6 239],[ 2.75147929 90.24852071] ; [  7.24852071 237.75147929],0
a7,1,0.426244,0.633036,[61 32] ; [171  73],[64.02373887 28.97626113] ; [167.97626113  76.02373887],0
p12,1,0.468039,0.526602,[ 6 86] ; [ 11 230],[ 4.6966967 87.3033033] ; [ 12.3033033 228.6966967],0
p1,1,0.47136,0.518787,[ 6 87] ; [ 11 232],[ 4.70535714 88.29464286] ; [ 12.29464286 230.70535714],0
n2,1,0.501206,0.452381,[24  8] ; [51 12],[25.26315789  6.73684211] ; [49.73684211 13.26315789],0
n4,1,0.517571,0.418731,[61 32] ; [169  75],[63.47181009 29.52818991] ; [166.52818991  77.47181009],0
p6,1,0.544745,0.366816,[15 78] ; [ 45 192],[16.90909091 76.09090909] ; [ 43.09090909 193.90909091],0
a4,1,0.545697,0.365082,[39 53] ; [ 95 150],[36.58160237 55.41839763] ; [ 97.41839763 147.58160237],0
u3,1,0.550711,0.356045,[21 14] ; [41 35],[19.54954955 15.45045045] ; [42.45045045 33.54954955],0
n5,1,0.598998,0.276509,[58 35] ; [159  84],[60.0625 32.9375] ; [156.9375  86.0625],0
v2,1,0.616334,0.251053,[42 43] ; [122 110],[43.97476341 41.02523659] ; [120.02523659 111.97476341],0
v3,1,0.616945,0.250184,[31 54] ; [ 80 159],[29.12037037 55.87962963] ; [ 81.87962963 157.12037037],0
a2,1,0.665537,0.186867,[19 74] ; [ 45 200],[17.60946746 75.39053254] ; [ 46.39053254 198.60946746],0
d1,1,0.683293,0.166442,[44 49] ; [122 123],[45.67455621 47.32544379] ; [120.32544379 124.67455621],0
b5,1,0.690887,0.158127,[61 32] ; [155  90],[59.43195266 33.56804734] ; [156.56804734  88.43195266],0
p3,1,0.713463,0.134843,[21 72] ; [ 60 185],[22.28698225 70.71301775] ; [ 58.71301775 186.28698225],0
d2,1,0.782673,0.076086,[36 55] ; [101 144],[37.10416667 53.89583333] ; [ 99.89583333 145.10416667],0
s5,1,0.784926,0.074477,[23 64] ; [ 66 170],[23.97213622 63.02786378] ; [ 65.02786378 170.97213622],0
n3,1,0.791752,0.069715,[21  8] ; [48 16],[21.51612903  7.48387097] ; [47.48387097 16.51612903],0
b4,1,0.925686,0.0087,[53 40] ; [141 104],[53.37869822 39.62130178] ; [140.62130178 104.37869822],0
s2,1,0.927248,0.008337,[40 52] ; [107 136],[40.37014925 51.62985075] ; [106.62985075 136.37014925],0
r2,1,0.939162,0.005825,[90  2] ; [240   5],[90.08902077  1.91097923] ; [239.91097923   5.08902077],0
u2,1,0.955449,0.003121,[18 17] ; [39 36],[18.13636364 16.86363636] ; [38.86363636 36.13636364],0
s7,1,0.968511,0.001558,[34 54] ; [ 91 146],[33.84615385 54.15384615] ; [ 91.15384615 145.84615385],0
u1,1,0.969248,0.001486,[12 81] ; [ 32 213],[12.10650888 80.89349112] ; [ 31.89349112 213.10650888],0
s6,1,0.987963,0.000228,[53 38] ; [140 100],[53.06042296 37.93957704] ; [139.93957704 100.06042296],0
s8,1,0.990367,0.000146,[34 58] ; [ 90 154],[33.95238095 58.04761905] ; [ 90.04761905 153.95238095],0
p5,1,0.99347,6.7e-05,[ 3 89] ; [  8 236],[ 3.01190476 88.98809524] ; [  7.98809524 236.01190476],0
