Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,23.098458,[117  27] ; [82 67],[97.80204778 46.19795222] ; [101.19795222  47.80204778],1
p7,1,1.1e-05,19.411172,[118  23] ; [88 58],[101.20557491  39.79442509] ; [104.79442509  41.20557491],1
p8,1,5.3e-05,16.328288,[99 43] ; [69 80],[81.97938144 60.02061856] ; [86.02061856 62.97938144],1
p3,1,8.1e-05,15.526875,[99 45] ; [69 81],[82.28571429 61.71428571] ; [85.71428571 64.28571429],1
p5,1,0.003546,8.502878,[ 36 108] ; [ 17 128],[ 26.4083045 117.5916955] ; [ 26.5916955 118.4083045],0
p1,1,0.010811,6.496146,[ 23 120] ; [ 10 140],[ 16.10580205 126.89419795] ; [ 16.89419795 133.10580205],0
v1,1,0.011292,6.418792,[100  42] ; [80 63],[89.68421053 52.31578947] ; [90.31578947 52.68421053],0
n6,1,0.014406,5.987718,[135   8] ; [127  21],[128.74914089  14.25085911] ; [133.25085911  14.74914089],0
p2,1,0.015591,5.84843,[129  15] ; [119  31],[121.46938776  22.53061224] ; [126.53061224  23.46938776],0
s5,1,0.017639,5.631679,[75 59] ; [61 85],[65.08571429 68.91428571] ; [70.91428571 75.08571429],0
p12,1,0.032951,4.548317,[ 23 120] ; [ 12 138],[ 17.08191126 125.91808874] ; [ 17.91808874 132.08191126],0
n4,1,0.04909,3.872289,[127  17] ; [118  30],[120.82191781  23.17808219] ; [124.17808219  23.82191781],0
r2,1,0.062214,3.477351,[140   2] ; [140   8],[137.10344828   4.89655172] ; [142.89655172   5.10344828],0
p9,1,0.09743,2.747113,[136   7] ; [135  15],[132.26279863  10.73720137] ; [138.73720137  11.26279863],0
a1,1,0.121313,2.40029,[ 12 132] ; [  6 144],[  8.81632653 135.18367347] ; [  9.18367347 140.81632653],0
a4,1,0.131085,2.279612,[77 67] ; [67 83],[70.53061224 73.46938776] ; [73.46938776 76.53061224],0
n5,1,0.132251,2.265885,[126  18] ; [120  28],[121.31506849  22.68493151] ; [124.68493151  23.31506849],0
