Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,5.7e-05,16.213107,[23 79] ; [16  9],[31.32283465 70.67716535] ; [ 7.67716535 17.32283465],1
s8,1,0.001014,10.801022,[18 88] ; [13 15],[24.52238806 81.47761194] ; [ 6.47761194 21.52238806],0
v2,1,0.001416,10.185031,[29 74] ; [16 10],[35.93023256 67.06976744] ; [ 9.06976744 16.93023256],0
p4,1,0.008152,6.999728,[32 74] ; [16 12],[37.97014925 68.02985075] ; [10.02985075 17.97014925],0
d5,1,0.01038,6.568497,[67 39] ; [24  3],[72.52631579 33.47368421] ; [18.47368421  8.52631579],0
s2,1,0.01103,6.460416,[33 73] ; [16 12],[38.76119403 67.23880597] ; [10.23880597 17.76119403],0
u2,1,0.021846,5.258015,[14 27] ; [5 1],[16.57446809 24.42553191] ; [2.42553191 3.57446809],0
r2,1,0.022995,5.168864,[73 29] ; [25  2],[77.48837209 24.51162791] ; [20.51162791  6.48837209],0
s5,1,0.028972,4.769254,[19 85] ; [ 9 14],[22.92913386 81.07086614] ; [ 5.07086614 17.92913386],0
a4,1,0.03018,4.699007,[33 72] ; [15 13],[37.89473684 67.10526316] ; [10.10526316 17.89473684],0
p2,1,0.033873,4.501102,[60 46] ; [22  6],[64.86567164 41.13432836] ; [17.13432836 10.86567164],0
v3,1,0.037373,4.333333,[20 84] ; [10 16],[24. 80.] ; [ 6. 20.],0
r3,1,0.06297,3.457369,[76 29] ; [25  3],[79.73684211 25.26315789] ; [21.26315789  6.73684211],0
p3,1,0.067631,3.339609,[30 76] ; [13 15],[34.01492537 71.98507463] ; [ 8.98507463 19.01492537],0
n1,1,0.070008,3.282828,[13 26] ; [7 4],[15.6 23.4] ; [4.4 6.6],0
u1,1,0.071998,3.236869,[  5 101] ; [ 4 24],[ 7.11940299 98.88059701] ; [ 1.88059701 26.11940299],0
a3,1,0.083106,3.003084,[64 41] ; [22  6],[67.89473684 37.10526316] ; [18.10526316  9.89473684],0
p7,1,0.091177,2.853477,[31 74] ; [13 15],[34.73684211 70.26315789] ; [ 9.26315789 18.73684211],0
a6,1,0.092837,2.824476,[57 49] ; [20  8],[60.91044776 45.08955224] ; [16.08955224 11.91044776],0
b2,1,0.133755,2.248372,[23 41] ; [10  8],[25.75609756 38.24390244] ; [ 7.24390244 10.75609756],0
b3,1,0.133755,2.248372,[23 41] ; [10  8],[25.75609756 38.24390244] ; [ 7.24390244 10.75609756],0
p9,1,0.144524,2.129115,[68 32] ; [23  5],[71.09375 28.90625] ; [19.90625  8.09375],0
v4,1,0.153286,2.039243,[77 29] ; [24  4],[79.89552239 26.10447761] ; [21.10447761  6.89552239],0
p1,1,0.187818,1.734654,[ 7 99] ; [ 4 24],[ 8.70149254 97.29850746] ; [ 2.29850746 25.70149254],0
p11,1,0.210992,1.564604,[58 48] ; [19  9],[60.91044776 45.08955224] ; [16.08955224 11.91044776],0
r4,1,0.235535,1.40712,[51 55] ; [17 11],[53.79104478 52.20895522] ; [14.20895522 13.79104478],0
d2,1,0.247296,1.338514,[43 61] ; [15 13],[45.6969697 58.3030303] ; [12.3030303 15.6969697],0
n4,1,0.282196,1.156483,[64 42] ; [20  8],[66.44776119 39.55223881] ; [17.55223881 10.44776119],0
s6,1,0.290096,1.119177,[43 63] ; [14 13],[45.42857143 60.57142857] ; [11.57142857 15.42857143],0
s1,1,0.292742,1.106968,[  1 105] ; [ 1 26],[  1.59398496 104.40601504] ; [ 0.40601504 26.59398496],0
s4,1,0.332667,0.938487,[18 88] ; [ 7 21],[19.7761194 86.2238806] ; [ 5.2238806 22.7761194],0
s3,1,0.34096,0.906818,[42 63] ; [14 14],[44.21052632 60.78947368] ; [11.78947368 16.21052632],0
n3,1,0.343939,0.895694,[24 16] ; [9 3],[25.38461538 14.61538462] ; [7.61538462 4.38461538],0
b1,1,0.347819,0.881397,[50 56] ; [16 12],[52.20895522 53.79104478] ; [13.79104478 14.20895522],0
d1,1,0.402772,0.700034,[40 66] ; [13 15],[41.92537313 64.07462687] ; [11.07462687 16.92537313],0
u3,1,0.424592,0.637571,[14 28] ; [3 3],[14.875 27.125] ; [2.125 3.875],0
v1,1,0.433037,0.614665,[33 68] ; [11 16],[34.71875 66.28125] ; [ 9.28125 17.71875],0
p10,1,0.471673,0.518053,[59 45] ; [18 10],[60.66666667 43.33333333] ; [16.33333333 11.66666667],0
d3,1,0.481871,0.494627,[53 53] ; [15 11],[54.60606061 51.39393939] ; [13.39393939 12.60606061],0
a5,1,0.501184,0.452429,[53 53] ; [16 12],[54.58208955 51.41791045] ; [14.41791045 13.58208955],0
a2,1,0.666955,0.185184,[12 94] ; [ 4 24],[12.65671642 93.34328358] ; [ 3.34328358 24.65671642],0
a7,1,0.671476,0.179881,[58 48] ; [16 11],[58.97744361 47.02255639] ; [15.02255639 11.97744361],0
n6,1,0.722218,0.126378,[72 34] ; [20  8],[72.7761194 33.2238806] ; [19.2238806  8.7761194],0
n2,1,0.737392,0.112432,[28 12] ; [9 3],[28.46153846 11.53846154] ; [8.53846154 3.46153846],0
a8,1,0.793807,0.068314,[10 92] ; [ 3 23],[10.359375 91.640625] ; [ 2.640625 23.359375],0
a1,1,0.817265,0.05339,[ 9 97] ; [ 2 26],[ 8.70149254 97.29850746] ; [ 2.29850746 25.70149254],0
b5,1,0.880584,0.022569,[66 40] ; [17 11],[65.65671642 40.34328358] ; [17.34328358 10.65671642],0
d4,1,0.930043,0.007707,[71 35] ; [19  9],[71.19402985 34.80597015] ; [18.80597015  9.19402985],0
n5,1,0.936437,0.00636,[69 37] ; [18 10],[68.82089552 37.17910448] ; [18.17910448  9.82089552],0
b4,1,0.959161,0.002622,[60 46] ; [16 12],[60.11940299 45.88059701] ; [15.88059701 12.11940299],0
