Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,4e-06,21.199242,[115   6] ; [34 15],[106.05294118  14.94705882] ; [42.94705882  6.05294118],1
r4,1,1e-05,19.480092,[109  12] ; [30 19],[98.93529412 22.06470588] ; [40.06470588  8.93529412],1
r3,1,0.000194,13.886449,[111  10] ; [34 15],[103.20588235  17.79411765] ; [41.79411765  7.20588235],1
p11,1,0.000268,13.281254,[79 42] ; [17 32],[68.32941176 52.67058824] ; [27.67058824 21.32941176],1
n5,1,0.00059,11.807067,[87 34] ; [21 27],[77.32544379 43.67455621] ; [30.67455621 17.32544379],1
s6,1,0.00081,11.218127,[76 43] ; [17 31],[66.26946108 52.73053892] ; [26.73053892 21.26946108],1
p10,1,0.002959,8.832883,[77 42] ; [19 29],[68.40718563 50.59281437] ; [27.59281437 20.40718563],0
n4,1,0.004461,8.085956,[87 34] ; [24 25],[79.00588235 41.99411765] ; [31.99411765 17.00588235],0
s8,1,0.006663,7.361632,[51 69] ; [10 39],[43.31360947 76.68639053] ; [17.68639053 31.31360947],0
u1,1,0.016783,5.718945,[22 99] ; [ 2 47],[ 17.08235294 103.91764706] ; [ 6.91764706 42.08235294],0
a7,1,0.020471,5.371262,[80 41] ; [23 26],[73.31176471 47.68823529] ; [29.68823529 19.31176471],0
s5,1,0.040275,4.206257,[37 78] ; [ 7 37],[31.82389937 83.17610063] ; [12.17610063 31.82389937],0
p3,1,0.042976,4.096359,[44 77] ; [10 39],[38.43529412 82.56470588] ; [15.56470588 33.43529412],0
p9,1,0.067921,3.332557,[77 41] ; [24 24],[71.79518072 46.20481928] ; [29.20481928 18.79518072],0
b5,1,0.072158,3.233245,[75 46] ; [23 26],[69.75294118 51.24705882] ; [28.24705882 20.75294118],0
p4,1,0.07276,3.219629,[42 78] ; [10 38],[37.14285714 82.85714286] ; [14.85714286 33.14285714],0
p6,1,0.078381,3.09815,[30 91] ; [ 6 42],[25.77514793 95.22485207] ; [10.22485207 37.77514793],0
v2,1,0.080775,3.049242,[60 55] ; [17 29],[55. 60.] ; [22. 24.],0
s7,1,0.089465,2.883973,[50 65] ; [13 32],[45.28125 69.71875] ; [17.71875 27.28125],0
s4,1,0.097987,2.738005,[28 91] ; [ 6 43],[24.08333333 94.91666667] ; [ 9.91666667 39.08333333],0
a1,1,0.110078,2.553097,[  8 113] ; [ 7 42],[ 10.67647059 110.32352941] ; [ 4.32352941 44.67647059],0
b4,1,0.135043,2.233547,[72 49] ; [23 26],[67.61764706 53.38235294] ; [27.38235294 21.61764706],0
p12,1,0.141853,2.157741,[ 10 111] ; [ 1 47],[  7.87573964 113.12426036] ; [ 3.12426036 44.87573964],0
p5,1,0.173512,1.852335,[  9 109] ; [ 1 47],[  7.10843373 110.89156627] ; [ 2.89156627 45.10843373],0
a6,1,0.199724,1.644394,[76 45] ; [25 23],[72.31360947 48.68639053] ; [28.68639053 19.31360947],0
d4,1,0.214141,1.543205,[92 29] ; [32 16],[88.78106509 32.21893491] ; [35.21893491 12.78106509],0
s1,1,0.216522,1.527273,[  8 112] ; [ 6 42],[ 10. 110.] ; [ 4. 44.],0
u2,1,0.227842,1.454282,[19 24] ; [11  7],[21.14754098 21.85245902] ; [8.85245902 9.14754098],0
v1,1,0.242069,1.368503,[50 68] ; [16 33],[46.63473054 71.36526946] ; [19.36526946 29.63473054],0
d1,1,0.254202,1.300059,[66 55] ; [22 27],[62.63529412 58.36470588] ; [25.36470588 23.63529412],0
a2,1,0.282224,1.156348,[26 95] ; [ 7 42],[23.48823529 97.51176471] ; [ 9.51176471 39.48823529],0
n2,1,0.28606,1.138075,[29  9] ; [18 10],[27.06060606 10.93939394] ; [19.93939394  8.06060606],0
v3,1,0.288255,1.127756,[44 70] ; [13 31],[41.12658228 72.87341772] ; [15.87341772 28.12658228],0
r1,1,0.296119,1.091591,[91 30] ; [33 16],[88.25882353 32.74117647] ; [35.74117647 13.25882353],0
p1,1,0.316901,1.001692,[  9 112] ; [ 6 43],[ 10.67647059 110.32352941] ; [ 4.32352941 44.67647059],0
d5,1,0.350031,0.873345,[87 34] ; [31 17],[84.4852071 36.5147929] ; [33.5147929 14.4852071],0
p7,1,0.350749,0.870747,[40 79] ; [12 34],[37.5030303 81.4969697] ; [14.4969697 31.5030303],0
a8,1,0.35407,0.858818,[  7 108] ; [ 5 44],[  8.41463415 106.58536585] ; [ 3.58536585 45.41463415],0
a5,1,0.393389,0.728442,[80 41] ; [29 20],[77.58235294 43.41764706] ; [31.41764706 17.58235294],0
s3,1,0.411823,0.67353,[52 66] ; [25 24],[54.40718563 63.59281437] ; [22.59281437 26.40718563],0
a4,1,0.45997,0.545969,[56 63] ; [20 29],[53.83333333 65.16666667] ; [22.16666667 26.83333333],0
