Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,34.967154,[197  59] ; [15 30],[180.30564784  75.69435216] ; [31.69435216 13.30564784],1
p8,1,0.0,30.065404,[168  89] ; [11 37],[150.8295082 106.1704918] ; [28.1704918 19.8295082],1
p9,1,0.0,29.50028,[235  23] ; [29 18],[223.31803279  34.68196721] ; [40.68196721  6.31803279],1
p10,1,2e-06,22.633499,[234  26] ; [30 17],[223.58306189  36.41693811] ; [40.41693811  6.58306189],1
p4,1,3e-06,21.970291,[184  77] ; [16 30],[170.03257329  90.96742671] ; [29.96742671 16.03257329],1
p3,1,3e-05,17.390197,[167  96] ; [15 33],[153.90996785 109.09003215] ; [28.09003215 19.90996785],1
p11,1,4.1e-05,16.803738,[228  35] ; [30 18],[218.18006431  44.81993569] ; [39.81993569  8.18006431],1
v2,1,0.00033,12.891927,[215  45] ; [28 19],[205.7980456  54.2019544] ; [37.2019544  9.7980456],1
s1,1,0.000843,11.144644,[  4 254] ; [ 5 43],[  7.58823529 250.41176471] ; [ 1.41176471 46.58823529],1
v1,1,0.000844,11.141856,[186  74] ; [22 25],[176.15635179  83.84364821] ; [31.84364821 15.15635179],1
r3,1,0.002222,9.356313,[256   5] ; [43  5],[252.55339806   8.44660194] ; [46.44660194  1.55339806],0
d5,1,0.002629,9.048651,[226  36] ; [33 15],[218.89677419  43.10322581] ; [40.10322581  7.89677419],0
s3,1,0.00588,7.586852,[158  97] ; [19 28],[149.45364238 105.54635762] ; [27.54635762 19.45364238],0
a4,1,0.012837,6.191438,[133 129] ; [15 33],[125.08387097 136.91612903] ; [22.91612903 25.08387097],0
r4,1,0.018714,5.52809,[249  14] ; [41  7],[245.24115756  17.75884244] ; [44.75884244  3.24115756],0
v4,1,0.029367,4.745971,[256   6] ; [44  4],[253.5483871   8.4516129] ; [46.4516129  1.5483871],0
d4,1,0.032212,4.587179,[227  34] ; [36 12],[222.14563107  38.85436893] ; [40.85436893  7.14563107],0
p6,1,0.035238,4.433617,[111 145] ; [13 35],[104.42105263 151.57894737] ; [19.57894737 28.42105263],0
n5,1,0.039121,4.255598,[231  31] ; [37 11],[226.50322581  35.49677419] ; [41.49677419  6.50322581],0
d1,1,0.042155,4.128956,[177  86] ; [25 23],[170.82315113  92.17684887] ; [31.17684887 16.82315113],0
a5,1,0.054235,3.705441,[204  59] ; [31 17],[198.72990354  64.27009646] ; [36.27009646 11.72990354],0
n4,1,0.060739,3.517078,[233  29] ; [38 10],[229.03870968  32.96129032] ; [41.96129032  6.03870968],0
u3,1,0.070076,3.28125,[29 27] ; [11  3],[32. 24.] ; [8. 6.],0
d3,1,0.109862,2.556203,[194  69] ; [30 18],[189.42765273  73.57234727] ; [34.57234727 13.42765273],0
n3,1,0.118937,2.43127,[38 11] ; [6 5],[35.93333333 13.06666667] ; [8.06666667 2.93333333],0
s2,1,0.12675,2.331865,[149 109] ; [22 26],[144.17647059 113.82352941] ; [26.82352941 21.17647059],0
s5,1,0.176966,1.822917,[105 147] ; [15 33],[100.8 151.2] ; [19.2 28.8],0
a3,1,0.19262,1.697461,[207  54] ; [34 14],[203.5631068  57.4368932] ; [37.4368932 10.5631068],0
a2,1,0.230704,1.436516,[ 77 186] ; [10 38],[ 73.57234727 189.42765273] ; [13.42765273 34.57234727],0
a8,1,0.239877,1.381318,[ 38 195] ; [ 4 39],[ 35.45652174 197.54347826] ; [ 6.54347826 36.45652174],0
n2,1,0.272734,1.202946,[39  9] ; [8 4],[37.6 10.4] ; [9.4 2.6],0
s8,1,0.302342,1.063837,[145 114] ; [23 25],[141.73289902 117.26710098] ; [26.26710098 21.73289902],0
r2,1,0.3385,0.916103,[252   9] ; [44  3],[250.83116883  10.16883117] ; [45.16883117  1.83116883],0
s7,1,0.371145,0.799828,[153  95] ; [24 20],[150.32876712  97.67123288] ; [26.67123288 17.32876712],0
b1,1,0.374897,0.787367,[ 92 171] ; [20 28],[ 94.71382637 168.28617363] ; [17.28617363 30.71382637],0
s4,1,0.377006,0.780442,[ 32 228] ; [ 8 39],[ 33.8762215 226.1237785] ; [ 6.1237785 40.8762215],0
a1,1,0.384433,0.756478,[ 18 245] ; [ 5 43],[ 19.45016077 243.54983923] ; [ 3.54983923 44.45016077],0
r1,1,0.406301,0.6896,[221  42] ; [38 10],[219.02572347  43.97427653] ; [39.97427653  8.02572347],0
b2,1,0.41429,0.666456,[72 99] ; [11 21],[ 69.91625616 101.08374384] ; [13.08374384 18.91625616],0
b3,1,0.41429,0.666456,[72 99] ; [11 21],[ 69.91625616 101.08374384] ; [13.08374384 18.91625616],0
u2,1,0.437607,0.60255,[29 26] ; [9 5],[30.28985507 24.71014493] ; [7.71014493 6.28985507],0
n1,1,0.493401,0.469101,[18 29] ; [3 8],[17.01724138 29.98275862] ; [3.98275862 7.01724138],0
b4,1,0.556436,0.345913,[158 105] ; [31 17],[159.82958199 103.17041801] ; [29.17041801 18.82958199],0
s6,1,0.586603,0.295681,[180  73] ; [36 12],[181.55481728  71.44518272] ; [34.44518272 13.55481728],0
a7,1,0.603971,0.269048,[189  72] ; [33 15],[187.51456311  73.48543689] ; [34.48543689 13.51456311],0
b5,1,0.643638,0.214016,[155 108] ; [30 18],[156.44694534 106.55305466] ; [28.55305466 19.44694534],0
u4,1,0.715645,0.132704,[  8 255] ; [ 1 47],[  7.61093248 255.38906752] ; [ 1.38906752 46.61093248],0
p1,1,0.784927,0.074477,[ 31 232] ; [ 5 43],[ 30.4437299 232.5562701] ; [ 5.5562701 42.4437299],0
p5,1,0.833419,0.044234,[ 46 217] ; [ 9 39],[ 46.51125402 216.48874598] ; [ 8.48874598 39.51125402],0
u1,1,0.896469,0.016932,[ 57 206] ; [10 38],[ 56.65916399 206.34083601] ; [10.34083601 37.65916399],0
p12,1,0.920404,0.009985,[ 34 227] ; [ 6 42],[ 33.78640777 227.21359223] ; [ 6.21359223 41.78640777],0
d2,1,0.936524,0.006342,[143 118] ; [26 22],[142.74757282 118.25242718] ; [26.25242718 21.74757282],0
a6,1,0.953096,0.00346,[179  83] ; [33 15],[179.17419355  82.82580645] ; [32.82580645 15.17419355],0
