Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1.1e-05,19.370533,[ 2 29] ; [5 1],[ 5.86486486 25.13513514] ; [1.13513514 4.86486486],1
r4,1,0.014447,5.982738,[ 6 26] ; [4 2],[ 8.42105263 23.57894737] ; [1.57894737 4.42105263],0
b1,1,0.025818,4.968158,[21 11] ; [1 5],[18.52631579 13.47368421] ; [3.47368421 2.52631579],0
p6,1,0.033699,4.509908,[ 4 27] ; [3 3],[ 5.86486486 25.13513514] ; [1.13513514 4.86486486],0
p1,1,0.04729,3.935049,[ 2 30] ; [2 4],[ 3.36842105 28.63157895] ; [0.63157895 5.36842105],0
p12,1,0.04729,3.935049,[ 2 30] ; [2 4],[ 3.36842105 28.63157895] ; [0.63157895 5.36842105],0
s6,1,0.054522,3.696644,[13 19] ; [5 1],[15.15789474 16.84210526] ; [2.84210526 3.15789474],0
b4,1,0.075156,3.166667,[14 18] ; [5 1],[16. 16.] ; [3. 3.],0
p3,1,0.077141,3.124138,[ 9 22] ; [4 2],[10.89189189 20.10810811] ; [2.10810811 3.89189189],0
d2,1,0.098868,2.72371,[10 22] ; [4 2],[11.78947368 20.21052632] ; [2.21052632 3.78947368],0
p4,1,0.131834,2.270775,[16 16] ; [5 1],[17.68421053 14.31578947] ; [3.31578947 2.68421053],0
n4,1,0.131834,2.270775,[16 16] ; [5 1],[17.68421053 14.31578947] ; [3.31578947 2.68421053],0
p7,1,0.169038,1.891454,[17 15] ; [5 1],[18.52631579 13.47368421] ; [3.47368421 2.52631579],0
r1,1,0.184219,1.763258,[12 20] ; [4 2],[13.47368421 18.52631579] ; [2.52631579 3.47368421],0
v3,1,0.215311,1.535354,[ 8 24] ; [3 3],[ 9.26315789 22.73684211] ; [1.73684211 4.26315789],0
s8,1,0.215311,1.535354,[ 8 24] ; [3 3],[ 9.26315789 22.73684211] ; [1.73684211 4.26315789],0
p8,1,0.265854,1.238014,[13 18] ; [4 2],[14.24324324 16.75675676] ; [2.75675676 3.24324324],0
d5,1,0.323595,0.974359,[20 12] ; [5 1],[21.05263158 10.94736842] ; [3.94736842 2.05263158],0
s7,1,0.338352,0.916667,[ 8 19] ; [3 3],[ 9. 18.] ; [2. 4.],0
b3,1,0.35002,0.873383,[ 7 12] ; [3 2],[ 7.91666667 11.08333333] ; [2.08333333 2.91666667],0
b2,1,0.35002,0.873383,[ 7 12] ; [3 2],[ 7.91666667 11.08333333] ; [2.08333333 2.91666667],0
a6,1,0.466551,0.530134,[21 11] ; [3 3],[20.21052632 11.78947368] ; [3.78947368 2.21052632],0
r3,1,0.532433,0.389745,[22  9] ; [5 1],[22.62162162  8.37837838] ; [4.37837838 1.62162162],0
s3,1,0.532433,0.389745,[ 9 22] ; [1 5],[ 8.37837838 22.62162162] ; [1.62162162 4.37837838],0
a7,1,0.565403,0.330435,[20 12] ; [3 3],[19.36842105 12.63157895] ; [3.63157895 2.36842105],0
a1,1,0.593292,0.285233,[ 3 29] ; [1 5],[ 3.36842105 28.63157895] ; [0.63157895 5.36842105],0
v2,1,0.606139,0.265836,[12 19] ; [3 3],[12.56756757 18.43243243] ; [2.43243243 3.56756757],0
a4,1,0.635327,0.224905,[14 18] ; [2 4],[13.47368421 18.52631579] ; [2.52631579 3.47368421],0
v1,1,0.669512,0.182173,[13 19] ; [3 3],[13.47368421 18.52631579] ; [2.52631579 3.47368421],0
s2,1,0.703941,0.144405,[ 8 23] ; [2 4],[ 8.37837838 22.62162162] ; [1.62162162 4.37837838],0
n3,1,0.825498,0.048611,[7 5] ; [1 1],[6.85714286 5.14285714] ; [1.14285714 0.85714286],0
a8,1,0.829357,0.046452,[ 4 26] ; [1 5],[ 4.16666667 25.83333333] ; [0.83333333 5.16666667],0
d3,1,0.88812,0.019792,[17 15] ; [3 3],[16.84210526 15.15789474] ; [3.15789474 2.84210526],0
a3,1,0.958926,0.002652,[21 10] ; [4 2],[20.94594595 10.05405405] ; [4.05405405 1.94594595],0
n5,1,0.960637,0.002436,[21 11] ; [4 2],[21.05263158 10.94736842] ; [3.94736842 2.05263158],0
d1,1,0.960637,0.002436,[11 21] ; [2 4],[10.94736842 21.05263158] ; [2.05263158 3.94736842],0
b5,1,1.0,0.0,[16 16] ; [3 3],[16. 16.] ; [3. 3.],0
v4,1,1.0,0.0,[16 16] ; [3 3],[16. 16.] ; [3. 3.],0
