Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,2.5e-05,17.727087,[63 13] ; [12 17],[54.28571429 21.71428571] ; [20.71428571  8.28571429],1
p10,1,0.003856,8.350255,[62 14] ; [15 13],[56.26923077 19.73076923] ; [20.73076923  7.26923077],0
p7,1,0.004396,8.112534,[46 28] ; [ 9 20],[39.51456311 34.48543689] ; [15.48543689 13.51456311],0
p9,1,0.012579,6.227375,[63 13] ; [16 11],[58.29126214 17.70873786] ; [20.70873786  6.29126214],0
a6,1,0.016033,5.799287,[54 23] ; [13 16],[48.66981132 28.33018868] ; [18.33018868 10.66981132],0
v4,1,0.02617,4.944768,[75  2] ; [25  4],[72.64150943  4.35849057] ; [27.35849057  1.64150943],0
d3,1,0.035211,4.434912,[60 16] ; [17 12],[55.73333333 20.26666667] ; [21.26666667  7.73333333],0
p6,1,0.05803,3.592825,[28 49] ; [ 5 24],[23.97169811 53.02830189] ; [ 9.02830189 19.97169811],0
p11,1,0.060171,3.532652,[50 27] ; [13 16],[45.76415094 31.23584906] ; [17.23584906 11.76415094],0
p8,1,0.068874,3.309651,[33 43] ; [ 7 22],[28.95238095 47.04761905] ; [11.04761905 17.95238095],0
v1,1,0.093386,2.815012,[27 46] ; [16 13],[30.7745098 42.2254902] ; [12.2254902 16.7745098],0
p4,1,0.100045,2.70483,[43 34] ; [11 18],[39.22641509 37.77358491] ; [14.77358491 14.22641509],0
u3,1,0.103126,2.656529,[24  6] ; [6 5],[21.95121951  8.04878049] ; [8.04878049 2.95121951],0
n6,1,0.111414,2.534049,[52 24] ; [15 14],[48.4952381 27.5047619] ; [18.5047619 10.4952381],0
p3,1,0.115041,2.483563,[37 40] ; [ 9 20],[33.41509434 43.58490566] ; [12.58490566 16.41509434],0
b4,1,0.117987,2.443846,[50 27] ; [14 15],[46.49056604 30.50943396] ; [17.50943396 11.49056604],0
a4,1,0.132434,2.263743,[25 52] ; [14 15],[28.33018868 48.66981132] ; [10.66981132 18.33018868],0
u2,1,0.148252,2.09014,[21  9] ; [5 6],[19.02439024 10.97560976] ; [6.97560976 4.02439024],0
s8,1,0.159675,1.977299,[41 36] ; [11 18],[37.77358491 39.22641509] ; [14.22641509 14.77358491],0
n3,1,0.199165,1.648489,[16  3] ; [7 4],[14.56666667  4.43333333] ; [8.43333333 2.56666667],0
s3,1,0.228453,1.450465,[66 11] ; [22  7],[63.9245283 13.0754717] ; [24.0754717  4.9245283],0
r4,1,0.235888,1.405001,[68  9] ; [23  6],[66.10377358 10.89622642] ; [24.89622642  4.10377358],0
b3,1,0.236553,1.401018,[ 8 32] ; [5 9],[ 9.62962963 30.37037037] ; [ 3.37037037 10.62962963],0
b2,1,0.236553,1.401018,[ 8 32] ; [5 9],[ 9.62962963 30.37037037] ; [ 3.37037037 10.62962963],0
r3,1,0.300436,1.072258,[75  2] ; [27  2],[74.09433962  2.90566038] ; [27.90566038  1.09433962],0
d5,1,0.302172,1.064583,[62 14] ; [21  8],[60.07619048 15.92380952] ; [22.92380952  6.07619048],0
p1,1,0.319693,0.990201,[ 7 69] ; [ 1 28],[ 5.79047619 70.20952381] ; [ 2.20952381 26.79047619],0
s4,1,0.322388,0.979234,[24 53] ; [12 17],[26.1509434 50.8490566] ; [ 9.8490566 19.1509434],0
s1,1,0.341205,0.905899,[ 4 73] ; [ 3 26],[ 5.08490566 71.91509434] ; [ 1.91509434 27.08490566],0
d1,1,0.347627,0.882102,[45 32] ; [14 15],[42.85849057 34.14150943] ; [16.14150943 12.85849057],0
p12,1,0.443235,0.587894,[ 6 71] ; [ 1 27],[ 5.13333333 71.86666667] ; [ 1.86666667 26.13333333],0
n1,1,0.447256,0.577597,[ 6 13] ; [5 6],[ 6.96666667 12.03333333] ; [4.03333333 6.96666667],0
a8,1,0.474072,0.512468,[ 5 64] ; [ 1 28],[ 4.2244898 64.7755102] ; [ 1.7755102 27.2244898],0
r1,1,0.491372,0.47352,[55 21] ; [19 10],[53.56190476 22.43809524] ; [20.43809524  8.56190476],0
a1,1,0.503375,0.447814,[ 5 72] ; [ 3 26],[ 5.81132075 71.18867925] ; [ 2.18867925 26.81132075],0
r2,1,0.515477,0.422934,[71  5] ; [26  3],[70.20952381  5.79047619] ; [26.79047619  2.20952381],0
s7,1,0.565545,0.330194,[39 35] ; [12 14],[37.74 36.26] ; [13.26 12.74],0
a2,1,0.683717,0.165971,[16 61] ; [ 5 24],[15.25471698 61.74528302] ; [ 5.74528302 23.25471698],0
b1,1,0.688405,0.160817,[26 51] ; [11 18],[26.87735849 50.12264151] ; [10.12264151 18.87735849],0
d2,1,0.704025,0.144319,[34 43] ; [14 15],[34.86792453 42.13207547] ; [13.13207547 15.86792453],0
a3,1,0.734557,0.114968,[45 32] ; [18 11],[45.76415094 31.23584906] ; [17.23584906 11.76415094],0
