Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,119.407541,[254  61] ; [ 89 162],[190.89222615 124.10777385] ; [152.10777385  98.89222615],1
s2,1,0.0,46.719068,[255  73] ; [131 127],[216.05460751 111.94539249] ; [169.94539249  88.05460751],1
s3,1,0.0,28.800595,[260  67] ; [150 104],[230.75731497  96.24268503] ; [179.24268503  74.75731497],1
a3,1,0.000116,14.849656,[257  72] ; [165  94],[236.11904762  92.88095238] ; [185.88095238  73.11904762],1
d2,1,0.000138,14.531282,[184 146] ; [103 155],[161.07142857 168.92857143] ; [125.92857143 132.07142857],1
p6,1,0.000363,12.711925,[153 173] ; [ 82 172],[132.0862069 193.9137931] ; [102.9137931 151.0862069],1
d1,1,0.000751,11.357818,[219 111] ; [137 123],[199.11864407 130.88135593] ; [156.88135593 103.11864407],1
p10,1,0.001808,9.734449,[287  39] ; [200  55],[273.25645439  52.74354561] ; [213.74354561  41.25645439],0
v1,1,0.002247,9.335697,[197 119] ; [127 129],[178.99300699 137.00699301] ; [145.00699301 110.99300699],0
p9,1,0.003319,8.623216,[298  30] ; [210  44],[286.29553265  41.70446735] ; [221.70446735  32.29553265],0
n4,1,0.006667,7.360491,[268  60] ; [188  72],[254.36734694  73.63265306] ; [201.63265306  58.36734694],0
s5,1,0.009131,6.79704,[151 166] ; [ 93 160],[135.69824561 181.30175439] ; [108.30175439 144.69824561],0
v3,1,0.009653,6.6979,[143 173] ; [ 87 165],[127.95774648 188.04225352] ; [102.04225352 149.95774648],0
a5,1,0.010386,6.567515,[261  69] ; [181  78],[247.64006791  82.35993209] ; [194.35993209  64.64006791],0
d5,1,0.011433,6.396723,[285  44] ; [204  55],[273.60714286  55.39285714] ; [215.39285714  43.60714286],0
p3,1,0.011494,6.387241,[190 140] ; [122 137],[174.80475382 155.19524618] ; [137.19524618 121.80475382],0
b1,1,0.01466,5.956868,[139 191] ; [ 84 176],[124.72881356 205.27118644] ; [ 98.27118644 161.72881356],0
p7,1,0.015863,5.818041,[227  93] ; [154  97],[213.52014011 106.47985989] ; [167.47985989  83.52014011],0
u4,1,0.017399,5.655645,[ 15 315] ; [  3 257],[ 10.06779661 319.93220339] ; [  7.93220339 252.06779661],0
u1,1,0.020056,5.407038,[ 79 251] ; [ 42 218],[ 67.6779661 262.3220339] ; [ 53.3220339 206.6779661],0
r1,1,0.021983,5.247164,[283  45] ; [205  54],[272.68143101  55.31856899] ; [215.31856899  43.68143101],0
p8,1,0.02204,5.242608,[186 138] ; [122 133],[172.35233161 151.64766839] ; [135.64766839 119.35233161],0
b3,1,0.024024,5.092898,[ 91 131] ; [39 95],[ 81.06741573 140.93258427] ; [48.93258427 85.06741573],0
b2,1,0.024024,5.092898,[ 91 131] ; [39 95],[ 81.06741573 140.93258427] ; [48.93258427 85.06741573],0
a7,1,0.02979,4.721393,[229 100] ; [201  58],[240.5952381  88.4047619] ; [189.4047619  69.5952381],0
p1,1,0.031454,4.627985,[ 34 294] ; [ 14 243],[ 26.91282051 301.08717949] ; [ 21.08717949 235.91282051],0
p5,1,0.039621,4.234052,[ 52 275] ; [ 26 232],[ 43.6 283.4] ; [ 34.4 223.6],0
n5,1,0.043868,4.061618,[263  66] ; [188  70],[252.77512777  76.22487223] ; [198.22487223  59.77512777],0
p4,1,0.068414,3.320669,[224 105] ; [157 101],[213.54173765 115.45826235] ; [167.45826235  90.54173765],0
a4,1,0.070202,3.278282,[159 171] ; [105 153],[148.16326531 181.83673469] ; [115.83673469 142.16326531],0
u3,1,0.070776,3.264938,[52 21] ; [53 39],[46.45454545 26.54545455] ; [58.54545455 33.45454545],0
r4,1,0.076349,3.140947,[313  17] ; [237  23],[307.62711864  22.37288136] ; [242.37288136  17.62711864],0
a8,1,0.127639,2.32099,[ 51 250] ; [ 29 208],[ 44.75836431 256.24163569] ; [ 35.24163569 201.75836431],0
n6,1,0.128098,2.315408,[288  40] ; [216  43],[281.62180579  46.37819421] ; [222.37819421  36.62180579],0
a2,1,0.130098,2.291336,[ 93 237] ; [ 59 201],[ 85.01694915 244.98305085] ; [ 66.98305085 193.01694915],0
v4,1,0.147435,2.098593,[320   9] ; [246  13],[316.69047619  12.30952381] ; [249.30952381   9.69047619],0
p11,1,0.160517,1.969346,[267  63] ; [198  62],[260.08474576  69.91525424] ; [204.91525424  55.08474576],0
p12,1,0.168783,1.893723,[ 38 290] ; [ 21 237],[ 33.02389078 294.97610922] ; [ 25.97610922 232.02389078],0
u2,1,0.2058,1.600727,[48 24] ; [53 40],[44.07272727 27.92727273] ; [56.92727273 36.07272727],0
n2,1,0.234648,1.41246,[51 19] ; [49 11],[53.84615385 16.15384615] ; [46.15384615 13.84615385],0
b4,1,0.244755,1.352998,[190 140] ; [162  98],[196.88135593 133.11864407] ; [155.11864407 104.88135593],0
d4,1,0.34758,0.882271,[281  48] ; [213  45],[276.87563884  52.12436116] ; [217.12436116  40.87563884],0
d3,1,0.399939,0.70851,[230 100] ; [188  70],[234.59183673  95.40816327] ; [183.40816327  74.59183673],0
n1,1,0.400551,0.706671,[30 40] ; [21 38],[27.6744186 42.3255814] ; [23.3255814 35.6744186],0
v2,1,0.408479,0.683223,[188 127] ; [140 109],[183.19148936 131.80851064] ; [144.80851064 104.19148936],0
r2,1,0.546167,0.364228,[312  13] ; [245  13],[310.50600343  14.49399657] ; [246.49399657  11.50600343],0
a1,1,0.686676,0.162707,[ 19 311] ; [ 13 247],[ 17.89830508 312.10169492] ; [ 14.10169492 245.89830508],0
a6,1,0.729404,0.119659,[220 109] ; [176  82],[221.94889267 107.05110733] ; [174.05110733  83.94889267],0
s1,1,0.773943,0.082496,[ 13 313] ; [  9 246],[ 12.34423408 313.65576592] ; [  9.65576592 245.34423408],0
n3,1,0.85459,0.033586,[50 20] ; [43 16],[50.46511628 19.53488372] ; [42.53488372 16.46511628],0
s4,1,0.889215,0.019404,[ 70 258] ; [ 53 201],[ 69.31958763 258.68041237] ; [ 53.68041237 200.31958763],0
b5,1,0.903186,0.014796,[204 126] ; [162  98],[204.71186441 125.28813559] ; [161.28813559  98.71186441],0
p2,1,0.977405,0.000802,[277  52] ; [217  41],[276.87563884  52.12436116] ; [217.12436116  40.87563884],0
