Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,50.244361,[106  65] ; [ 26 100],[76. 95.] ; [56. 70.],1
p2,1,0.0,40.302864,[154  20] ; [71 55],[130.5  43.5] ; [94.5 31.5],1
p6,1,0.0,26.481656,[ 69 104] ; [ 16 110],[ 49.18060201 123.81939799] ; [35.81939799 90.18060201],1
p3,1,0.0,26.451049,[100  75] ; [34 91],[78.16666667 96.83333333] ; [55.83333333 69.16666667],1
p4,1,2e-06,22.496302,[115  59] ; [48 77],[94.85618729 79.14381271] ; [68.14381271 56.85618729],1
p9,1,0.000132,14.608659,[151  23] ; [85 39],[137.79865772  36.20134228] ; [98.20134228 25.79865772],1
s6,1,0.000565,11.88658,[118  52] ; [62 63],[103.72881356  66.27118644] ; [76.27118644 48.72881356],1
p10,1,0.001051,10.735049,[146  29] ; [84 41],[134.16666667  40.83333333] ; [95.83333333 29.16666667],0
r4,1,0.001531,10.040668,[159  16] ; [98 28],[149.41860465  25.58139535] ; [107.58139535  18.41860465],0
p11,1,0.001912,9.632,[137  38] ; [78 48],[125.  50.] ; [90. 36.],0
s7,1,0.00202,9.531253,[89 77] ; [41 76],[76.25441696 89.74558304] ; [53.74558304 63.25441696],0
s2,1,0.005429,7.730775,[88 86] ; [43 82],[76.23411371 97.76588629] ; [54.76588629 70.23411371],0
s3,1,0.006581,7.383858,[103  70] ; [55 71],[91.4180602 81.5819398] ; [66.5819398 59.4180602],0
r3,1,0.00681,7.32238,[164   9] ; [108  18],[157.37792642  15.62207358] ; [114.62207358  11.37792642],0
n3,1,0.014019,6.035804,[36  7] ; [29 19],[30.71428571 12.28571429] ; [34.28571429 13.71428571],0
a8,1,0.018448,5.553052,[ 24 137] ; [  7 111],[ 17.88888889 143.11111111] ; [ 13.11111111 104.88888889],0
b4,1,0.019739,5.434841,[86 89] ; [79 47],[95.93023256 79.06976744] ; [69.06976744 56.93023256],0
s8,1,0.023092,5.161608,[ 73 100] ; [37 89],[ 63.64548495 109.35451505] ; [46.35451505 79.64548495],0
p5,1,0.029056,4.764311,[ 21 153] ; [  6 120],[ 15.66 158.34] ; [ 11.34 114.66],0
s5,1,0.037393,4.3324,[ 59 111] ; [28 92],[ 51. 119.] ; [36. 84.],0
v4,1,0.058929,3.567286,[162  11] ; [110  16],[157.37792642  15.62207358] ; [114.62207358  11.37792642],0
v2,1,0.108212,2.580144,[83 87] ; [48 74],[76.26712329 93.73287671] ; [54.73287671 67.26712329],0
