Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,2e-05,18.225,[ 7 25] ; [29 11],[16. 16.] ; [20. 20.],1
s6,1,0.001,10.827485,[14 18] ; [31  7],[20.57142857 11.42857143] ; [24.42857143 13.57142857],0
r3,1,0.012117,6.293706,[26  7] ; [38  1],[29.33333333  3.66666667] ; [34.66666667  4.33333333],0
r4,1,0.017323,5.663381,[25  8] ; [38  2],[28.47945205  4.52054795] ; [34.52054795  5.47945205],0
s8,1,0.050044,3.84,[ 8 24] ; [19 21],[12. 20.] ; [15. 25.],0
s5,1,0.059451,3.552632,[ 6 26] ; [15 23],[ 9.6 22.4] ; [11.4 26.6],0
n4,1,0.066812,3.359659,[18 15] ; [30 10],[21.69863014 11.30136986] ; [26.30136986 13.69863014],0
s7,1,0.088307,2.904969,[12 19] ; [22 15],[15.5 15.5] ; [18.5 18.5],0
p2,1,0.115719,2.474325,[23 10] ; [34  6],[25.76712329  7.23287671] ; [31.23287671  8.76712329],0
d2,1,0.123561,2.371595,[13 20] ; [23 17],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
u1,1,0.123931,2.366924,[ 3 30] ; [ 9 31],[ 5.42465753 27.57534247] ; [ 6.57534247 33.42465753],0
a3,1,0.141645,2.16,[23  9] ; [22 18],[20. 12.] ; [25. 15.],0
r1,1,0.17299,1.856842,[23  9] ; [34  6],[25.33333333  6.66666667] ; [31.66666667  8.33333333],0
r2,1,0.205695,1.601471,[29  3] ; [39  1],[30.22222222  1.77777778] ; [37.77777778  2.22222222],0
p1,1,0.20971,1.573427,[ 2 31] ; [ 6 33],[ 3.66666667 29.33333333] ; [ 4.33333333 34.66666667],0
u3,1,0.212183,1.556471,[6 4] ; [ 6 11],[4.44444444 5.55555556] ; [7.55555556 9.44444444],0
u2,1,0.28315,1.151909,[6 4] ; [ 7 11],[4.64285714 5.35714286] ; [8.35714286 9.64285714],0
p5,1,0.298347,1.081569,[ 3 30] ; [ 7 33],[ 4.52054795 28.47945205] ; [ 5.47945205 34.52054795],0
d5,1,0.309404,1.033217,[23 10] ; [32  8],[24.8630137  8.1369863] ; [30.1369863  9.8630137],0
p4,1,0.327187,0.96,[18 14] ; [27 13],[20. 12.] ; [25. 15.],0
