Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,32.804492,[23 15] ; [14 92],[ 9.76388889 28.23611111] ; [27.23611111 78.76388889],1
p8,1,0.000286,13.160315,[16 22] ; [15 92],[ 8.12413793 29.87586207] ; [22.87586207 84.12413793],1
p7,1,0.000415,12.462128,[20 18] ; [22 79],[11.48201439 26.51798561] ; [30.51798561 70.48201439],1
p6,1,0.008169,6.995957,[ 9 29] ; [ 8 98],[ 4.48611111 33.51388889] ; [12.51388889 93.48611111],0
r4,1,0.010062,6.623859,[31  7] ; [63 45],[24.46575342 13.53424658] ; [69.53424658 38.46575342],0
p10,1,0.010155,6.607549,[25 13] ; [44 62],[18.20833333 19.79166667] ; [50.79166667 55.20833333],0
n6,1,0.011546,6.379355,[30  7] ; [62 45],[23.63888889 13.36111111] ; [68.36111111 38.63888889],0
n5,1,0.023035,5.165839,[31  7] ; [65 41],[25.33333333 12.66666667] ; [70.66666667 35.33333333],0
n3,1,0.028397,4.803796,[9 1] ; [23 21],[5.92592593 4.07407407] ; [26.07407407 17.92592593],0
s3,1,0.032765,4.558002,[20 18] ; [35 71],[14.51388889 23.48611111] ; [40.48611111 65.51388889],0
s6,1,0.058718,3.573229,[20 18] ; [38 70],[15.09589041 22.90410959] ; [42.90410959 65.09589041],0
r1,1,0.06974,3.289137,[28 10] ; [61 46],[23.32413793 14.67586207] ; [65.67586207 41.32413793],0
p9,1,0.080993,3.044856,[24 14] ; [48 55],[19.40425532 18.59574468] ; [52.59574468 50.40425532],0
s8,1,0.085651,2.954277,[13 25] ; [22 86],[ 9.10958904 28.89041096] ; [25.89041096 82.10958904],0
p11,1,0.090951,2.857468,[24 14] ; [51 57],[19.52054795 18.47945205] ; [55.47945205 52.52054795],0
a5,1,0.094022,2.804122,[26 12] ; [57 51],[21.60273973 16.39726027] ; [61.39726027 46.60273973],0
s2,1,0.102007,2.673883,[16 22] ; [30 78],[11.97260274 26.02739726] ; [34.02739726 73.97260274],0
n4,1,0.103036,2.657914,[29  9] ; [66 41],[24.89655172 13.10344828] ; [70.10344828 36.89655172],0
r3,1,0.109327,2.563922,[32  6] ; [76 31],[28.30344828  9.69655172] ; [79.69655172 27.30344828],0
v2,1,0.135335,2.230219,[19 18] ; [38 64],[15.17266187 21.82733813] ; [41.82733813 60.17266187],0
a7,1,0.217383,1.521561,[26 12] ; [61 46],[22.8 15.2] ; [64.2 42.8],0
v4,1,0.242783,1.364359,[31  7] ; [77 30],[28.30344828  9.69655172] ; [79.69655172 27.30344828],0
a4,1,0.252708,1.308272,[18 20] ; [39 67],[15.04166667 22.95833333] ; [41.95833333 64.04166667],0
n2,1,0.270915,1.21211,[8 2] ; [29 18],[6.49122807 3.50877193] ; [30.50877193 16.49122807],0
b4,1,0.321604,0.982413,[19 19] ; [64 44],[21.60273973 16.39726027] ; [61.39726027 46.60273973],0
d3,1,0.365977,0.817277,[17 21] ; [57 50],[19.39310345 18.60689655] ; [54.60689655 52.39310345],0
r2,1,0.387858,0.745646,[33  5] ; [83 20],[31.26241135  6.73758865] ; [84.73758865 18.26241135],0
u2,1,0.393026,0.72956,[7 9] ; [22 17],[8.43636364 7.56363636] ; [20.56363636 18.43636364],0
a3,1,0.429795,0.623378,[22 16] ; [69 37],[24.01388889 13.98611111] ; [66.98611111 39.01388889],0
p1,1,0.446858,0.57861,[ 3 35] ; [  5 103],[ 2.08219178 35.91780822] ; [  5.91780822 102.08219178],0
u4,1,0.468718,0.524997,[ 2 36] ; [  3 105],[ 1.30136986 36.69863014] ; [  3.69863014 104.30136986],0
a6,1,0.500271,0.454362,[23 15] ; [58 49],[21.22758621 16.77241379] ; [59.77241379 47.22758621],0
d5,1,0.521608,0.410713,[26 12] ; [67 40],[24.37241379 13.62758621] ; [68.62758621 38.37241379],0
a2,1,0.617692,0.249125,[ 6 32] ; [21 87],[ 7.02739726 30.97260274] ; [19.97260274 88.02739726],0
